folder,stock,name,category,industry,industry_l2
01_新华保险,601336,新华保险,insurance,非银金融,保险
02_三美股份,603379,三美股份,non_financial,基础化工,化学制品
03_蜜雪集团,2097,蜜雪集团,hk,食品饮料,软饮料
05_中国中车,601766,中国中车,non_financial,机械设备,轨交设备
06_贵州茅台,600519,贵州茅台,non_financial,食品饮料,白酒
07_美的集团,333,美的集团,non_financial,家用电器,白色家电
08_立讯精密,2475,立讯精密,non_financial,电子,消费电子
09_三花智控,2050,三花智控,non_financial,家用电器,家电零部件
10_比亚迪,2594,比亚迪,non_financial,汽车,乘用车
11_五粮液,858,五粮液,non_financial,食品饮料,白酒
12_招商银行,600036,招商银行,bank,银行,股份制银行
13_伊利股份,600887,伊利股份,non_financial,食品饮料,饮料乳品
14_中际旭创,300308,中际旭创,non_financial,通信,通信设备
15_恒瑞医药,600276,恒瑞医药,non_financial,医药生物,化学制药
16_宁德时代,300750,宁德时代,non_financial,电力设备,电池
17_迈瑞医疗,300760,迈瑞医疗,non_financial,医药生物,化学制药
18_赣锋锂业,2460,赣锋锂业,non_financial,电力设备,电池
19_亿纬锂能,300014,亿纬锂能,non_financial,电力设备,电池
20_歌尔股份,2241,歌尔股份,non_financial,电子,消费电子
21_中兴通讯,63,中兴通讯,non_financial,通信,通信设备
22_新易盛,300502,新易盛,non_financial,通信,通信设备
23_爱尔眼科,300015,爱尔眼科,non_financial,医药生物,医疗服务
24_药明康德,603259,药明康德,non_financial,医药生物,医疗服务
25_长春高新,661,长春高新,non_financial,医药生物,生物制品
26_阳光电源,300274,阳光电源,non_financial,电力设备,光伏设备
27_隆基绿能,601012,隆基绿能,non_financial,电力设备,光伏设备
28_汇川技术,300124,汇川技术,non_financial,电力设备,工业自动化
29_北方华创,2371,北方华创,non_financial,电子,半导体设备
30_海康威视,2415,海康威视,non_financial,电子,安防设备
31_韦尔股份,603501,韦尔股份,non_financial,电子,集成电路
32_中芯国际,688981,中芯国际,non_financial,电子,集成电路
33_科大讯飞,2230,科大讯飞,non_financial,计算机,软件开发
34_格力电器,651,格力电器,non_financial,家用电器,白色家电
35_海尔智家,600690,海尔智家,non_financial,家用电器,白色家电
36_泸州老窖,568,泸州老窖,non_financial,食品饮料,白酒
37_山西汾酒,600809,山西汾酒,non_financial,食品饮料,白酒
38_海天味业,603288,海天味业,non_financial,食品饮料,饮料乳品
39_福耀玻璃,600660,福耀玻璃,non_financial,汽车,汽车零部件
40_长安汽车,625,长安汽车,non_financial,汽车,乘用车
41_赛力斯,601127,赛力斯,non_financial,汽车,乘用车
42_万华化学,600309,万华化学,non_financial,基础化工,化学制品
43_三一重工,600031,三一重工,non_financial,机械设备,工程机械
44_中国神华,601088,中国神华,non_financial,煤炭,煤炭开采
45_中远海控,601919,中远海控,non_financial,交通运输,航运港口
46_海螺水泥,600585,海螺水泥,non_financial,建筑材料,水泥
47_洛阳钼业,603993,洛阳钼业,non_financial,有色金属,工业金属
48_紫金矿业,601899,紫金矿业,non_financial,有色金属,工业金属/黄金
49_徐工机械,425,徐工机械,non_financial,机械设备,工程机械
50_中信证券,600030,中信证券,security,非银金融,证券
51_平安银行,1,平安银行,bank,银行,股份制银行
52_浦发银行,600000,浦发银行,bank,银行,股份制银行
53_兴业银行,601166,兴业银行,bank,银行,股份制银行
54_工商银行,601398,工商银行,bank,银行,国有大型银行
55_中国平安,601318,中国平安,insurance,非银金融,保险
56_中国太保,601601,中国太保,insurance,非银金融,保险
57_中国人寿,601628,中国人寿,insurance,非银金融,保险
58_建设银行,601939,建设银行,bank,银行,国有大型银行
59_中国银行,601988,中国银行,bank,银行,国有大型银行
60_农业银行,601288,农业银行,bank,银行,国有大型银行
61_邮储银行,601658,邮储银行,bank,银行,国有大型银行
62_中国石油,601857,中国石油,non_financial,石油石化,油气开采
63_中国石化,600028,中国石化,non_financial,石油石化,炼化销售
64_中国海油,600938,中国海油,non_financial,石油石化,油气开采
65_长江电力,600900,长江电力,non_financial,公用事业,水力发电
66_华能国际,600011,华能国际,non_financial,公用事业,火力发电
67_国投电力,600886,国投电力,non_financial,公用事业,水电+火电
68_中国核电,601985,中国核电,non_financial,公用事业,核电
69_三峡能源,600905,三峡能源,non_financial,公用事业,新能源发电
70_中国移动,600941,中国移动,non_financial,通信,电信运营
71_中国电信,601728,中国电信,non_financial,通信,电信运营
72_中国建筑,601668,中国建筑,non_financial,建筑装饰,房建+基建
73_中国中铁,601390,中国中铁,non_financial,建筑装饰,基建
74_中国铁建,601186,中国铁建,non_financial,建筑装饰,基建
75_中国交建,601800,中国交建,non_financial,建筑装饰,基建+港口
76_宁沪高速,600377,宁沪高速,non_financial,交通运输,公路
77_上海机场,600009,上海机场,non_financial,交通运输,机场
78_陕西煤业,601225,陕西煤业,non_financial,煤炭,煤炭开采
79_中煤能源,601898,中煤能源,non_financial,煤炭,煤炭开采
80_江西铜业,600362,江西铜业,non_financial,有色金属,工业金属
81_保利发展,600048,保利发展,non_financial,房地产,房地产开发
82_招商蛇口,001979,招商蛇口,non_financial,房地产,房地产开发
83_万科A,000002,万科A,non_financial,房地产,房地产开发
84_青岛啤酒,600600,青岛啤酒,non_financial,食品饮料,啤酒
85_双汇发展,000895,双汇发展,non_financial,食品饮料,肉制品
86_洋河股份,002304,洋河股份,non_financial,食品饮料,白酒
87_云南白药,000538,云南白药,non_financial,医药生物,中药
88_片仔癀,600436,片仔癀,non_financial,医药生物,中药
89_华润三九,000999,华润三九,non_financial,医药生物,中药
90_上港集团,600018,上港集团,non_financial,交通运输,港口
91_宝钢股份,600019,宝钢股份,non_financial,钢铁,普钢
92_中国巨石,600176,中国巨石,non_financial,建筑材料,玻纤
93_中国人保,601319,中国人保,insurance,非银金融,保险
94_宁波银行,002142,宁波银行,bank,银行,城商行
95_中信银行,601998,中信银行,bank,银行,股份制银行
96_北京银行,601169,北京银行,bank,银行,城商行
97_兖矿能源,600188,兖矿能源,non_financial,煤炭,煤炭+化工
98_国电南瑞,600406,国电南瑞,non_financial,电力设备,电网二次设备
99_复星医药,600196,复星医药,non_financial,医药生物,医药控股
100_国电电力,600795,国电电力,non_financial,公用事业,火电
101_招商轮船,601872,招商轮船,non_financial,交通运输,航运港口
