date,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,股息率,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,市值(元)
2026-05-06,5.4676,0.0169,21.9888,11.1849,7.7129,0.0422,1.3775,0.8890,1.2917,0.9406,0.6937,1.6330,0.3998,2.3356,1.8807,1.0325,201772274088.0
2026-04-30,5.4440,0.0169,21.9888,11.1849,7.7129,0.0424,1.3715,0.8890,1.2917,0.9406,0.6937,1.6260,0.3998,2.3356,1.8807,1.0325,200898801040.0
2026-04-29,5.5110,0.0169,21.9888,11.1849,7.7129,0.0426,1.2676,0.8890,1.2917,0.9406,0.6937,1.7927,0.3998,2.3356,1.8807,1.0325,199962937060.0
2026-04-28,5.3572,0.0169,21.9888,11.1849,7.7129,0.0438,1.2322,0.8890,1.2917,0.9406,0.6937,1.7426,0.3998,2.3356,1.8807,1.0325,194378948646.0
2026-04-27,5.3460,0.0169,21.9888,11.1849,7.7129,0.0439,1.2297,0.8890,1.2917,0.9406,0.6937,1.7390,0.3998,2.3356,1.8807,1.0325,193973407588.0
2026-04-24,5.3658,0.0169,21.9888,11.1849,7.7129,0.0437,1.2342,0.8890,1.2917,0.9406,0.6937,1.7454,0.3998,2.3356,1.8807,1.0325,194690903306.0
2026-04-23,5.4036,0.0169,21.9888,11.1849,7.7129,0.0434,1.2429,0.8890,1.2917,0.9406,0.6937,1.7577,0.3998,2.3356,1.8807,1.0325,196063503810.0
2026-04-22,5.4758,0.0169,21.9888,11.1849,7.7129,0.0429,1.2595,0.8890,1.2917,0.9406,0.6937,1.7812,0.3998,2.3356,1.8807,1.0325,198683922954.0
2026-04-21,5.4956,0.0169,21.9888,11.1849,7.7129,0.0427,1.2641,0.8890,1.2917,0.9406,0.6937,1.7876,0.3998,2.3356,1.8807,1.0325,199401418672.0
2026-04-20,5.5437,0.0169,21.9888,11.1849,7.7129,0.0423,1.2751,0.8890,1.2917,0.9406,0.6937,1.8033,0.3998,2.3356,1.8807,1.0325,201148364768.0
2026-04-17,5.5257,0.0169,21.9888,11.1849,7.7129,0.0425,1.2710,0.8890,1.2917,0.9406,0.6937,1.7974,0.3998,2.3356,1.8807,1.0325,200493259982.0
2026-04-16,5.4930,0.0169,21.9888,11.1849,7.7129,0.0427,1.2635,0.8890,1.2917,0.9406,0.6937,1.7868,0.3998,2.3356,1.8807,1.0325,199307832274.0
2026-04-15,5.3013,0.0169,21.9888,11.1849,7.7129,0.0443,1.2194,0.8890,1.2917,0.9406,0.6937,1.7244,0.3998,2.3356,1.8807,1.0325,192351243356.0
2026-04-14,5.3443,0.0169,21.9888,11.1849,7.7129,0.0439,1.2293,0.8890,1.2917,0.9406,0.6937,1.7384,0.3998,2.3356,1.8807,1.0325,193911016656.0
2026-04-13,5.2712,0.0169,21.9888,11.1849,7.7129,0.0445,1.2125,0.8890,1.2917,0.9406,0.6937,1.7147,0.3998,2.3356,1.8807,1.0325,191259402046.0
2026-04-10,5.3563,0.0169,21.9888,11.1849,7.7129,0.0438,1.2320,0.8890,1.2917,0.9406,0.6937,1.7423,0.3998,2.3356,1.8807,1.0325,194347753180.0
2026-04-09,5.2566,0.0169,21.9888,11.1849,7.7129,0.0447,1.2091,0.8890,1.2917,0.9406,0.6937,1.7099,0.3998,2.3356,1.8807,1.0325,190729079124.0
2026-04-08,5.4225,0.0169,21.9888,11.1849,7.7129,0.0433,1.2473,0.8890,1.2917,0.9406,0.6937,1.7639,0.3998,2.3356,1.8807,1.0325,196749804062.0
2026-04-07,5.1001,0.0169,21.9888,11.1849,7.7129,0.0460,1.1731,0.8890,1.2917,0.9406,0.6937,1.6590,0.3998,2.3356,1.8807,1.0325,185051504312.0
2026-04-03,5.1414,0.0169,21.9888,11.1849,7.7129,0.0457,1.1826,0.8890,1.2917,0.9406,0.6937,1.6724,0.3998,2.3356,1.8807,1.0325,186548886680.0
2026-04-02,5.2144,0.0169,21.9888,11.1849,7.7129,0.0450,1.1994,0.8890,1.2917,0.9406,0.6937,1.6962,0.3998,2.3356,1.8807,1.0325,189200501290.0
2026-04-01,5.3632,0.0169,21.9888,11.1849,7.7129,0.0438,1.2336,0.8890,1.2917,0.9406,0.6937,1.7446,0.3998,2.3356,1.8807,1.0325,194597316908.0
2026-03-31,5.2901,0.0169,21.9888,11.1849,7.7129,0.0444,1.2168,0.8890,1.2917,0.9406,0.6937,1.7208,0.3998,2.3356,1.8807,1.0325,191945702298.0
2026-03-30,5.3245,0.0169,21.9888,11.1849,7.7129,0.0441,1.2247,0.8890,1.2917,0.9406,0.6937,1.7320,0.3998,2.3356,1.8807,1.0325,193193520938.0
2026-03-27,5.1432,0.0169,21.9888,11.1849,7.7129,0.0420,1.2129,0.8890,1.2917,0.9406,0.6937,2.0071,0.3998,2.3356,1.8807,1.0325,197529690712.0
2026-03-26,5.1781,0.0169,21.9888,11.1849,7.7129,0.0417,1.2212,0.8890,1.2917,0.9406,0.6937,2.0207,0.3998,2.3356,1.8807,1.0325,198871095750.0
2026-03-25,5.4096,0.0169,21.9888,11.1849,7.7129,0.0399,1.2758,0.8890,1.2917,0.9406,0.6937,2.1110,0.3998,2.3356,1.8807,1.0325,207761803560.0
2026-03-24,5.3097,0.0169,21.9888,11.1849,7.7129,0.0407,1.2522,0.8890,1.2917,0.9406,0.6937,2.0720,0.3998,2.3356,1.8807,1.0325,203924761242.0
2026-03-23,5.3243,0.0169,21.9888,11.1849,7.7129,0.0406,1.2557,0.8890,1.2917,0.9406,0.6937,2.0777,0.3998,2.3356,1.8807,1.0325,204486279630.0
