date,净资产收益率(ROE),净利润率,总资产收益率(ROA)
2026-03-31,0.3628,0.252,0.0205
2025-12-31,0.3492,0.23,0.0202
2025-09-30,0.4009,0.2359,0.0219
2025-06-30,0.3453,0.2037,0.0183
2025-03-31,0.3125,0.1948,0.0171
2024-12-31,0.2606,0.1979,0.0169
2024-09-30,0.1991,0.1702,0.0131
2024-06-30,0.0971,0.1256,0.007
2024-03-31,0.0625,0.0977,0.005
2023-12-31,0.0838,0.1218,0.0066
2023-09-30,0.1361,0.135,0.0111
2023-06-30,0.1348,0.1056,0.0117
2023-03-31,0.1378,0.0915,0.0127
2022-12-31,0.093,0.0458,0.0082
2022-09-30,0.0799,0.0391,0.0073
2022-06-30,0.0909,0.0446,0.0087
2022-03-31,0.0971,0.0463,0.0093
2021-12-31,0.1423,0.0672,0.014
2021-09-30,0.1525,0.0686,0.0151
2021-06-30,0.1682,0.0756,0.017
2021-03-31,0.1668,0.0727,0.0165
2020-12-31,0.1536,0.0692,0.0152
2020-09-30,0.1458,0.0599,0.0144
2020-06-30,0.1458,0.0603,0.014
2020-03-31,0.1968,0.0819,0.0185
2019-12-31,0.1941,0.0834,0.0181
2019-09-30,0.1806,0.0809,0.0168
2019-06-30,0.178,0.0788,0.0162
2019-03-31,0.1252,0.0551,0.0117
2018-12-31,0.1225,0.0514,0.011
2018-09-30,0.1235,0.0529,0.011
2018-06-30,0.1246,0.0527,0.0109
2018-03-31,0.0969,0.0423,0.0086
2017-12-31,0.0877,0.0374,0.0076
2017-09-30,0.0843,0.0361,0.0074
2017-06-30,0.0811,0.0357,0.007
2017-03-31,0.0805,0.0353,0.007
2016-12-31,0.0845,0.0338,0.0073
2016-09-30,0.0833,0.0334,0.0072
