日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值
2026-07-03,=75.1300,=75.1300,=75.1300,=75.1300,=45865290049.81,=45865290050.0,=18808518570.82,,=5.8144,,,,
2026-07-02,=83.4800,=83.4800,=83.4800,=83.4800,=50962790008.76,=50962790009.0,=20898910292.72,,=6.4606,,,,
2026-07-01,=83.4800,=83.4800,=83.4800,=83.4800,=50962790008.76,=50962790009.0,=20898910292.72,,=6.4606,,,,
2026-06-30,=75.8900,=75.8900,=75.8900,=75.8900,=46329254117.93,=46329254118.0,=18998781769.46,,=5.8732,,,,
2026-06-29,=68.9900,=68.9900,=68.9900,=68.9900,=42116948762.63,=42116948763.0,=17271392202.86,,=5.3392,,,,
2026-06-26,=66.0900,=66.0900,=66.0900,=66.0900,=40346559555.33,=40346559555.0,=16545387892.26,,=5.1148,,,,
2026-06-25,=67.3600,=67.3600,=67.3600,=67.3600,=41121867932.32,=41121867932.0,=16863327711.04,,=5.2131,,,,
2026-06-24,=69.1600,=69.1600,=69.1600,=69.1600,=42220730198.92,=42220730199.0,=17313951076.24,,=5.3524,,,,
2026-06-23,=65.5700,=65.5700,=65.5700,=65.5700,=40029110456.09,=40029110456.0,=16415207808.98,,=5.0746,,,,
2026-06-22,=69.4800,=69.4800,=69.4800,=69.4800,=42416083490.76,=42416083491.0,=17394061896.72,,=5.3772,,,,
2026-06-18,=65.4300,=65.4300,=65.4300,=65.4300,=39943643390.91,=39943643391.0,=16380159325.02,,=5.0637,,,,
2026-06-17,=68.9500,=68.9500,=68.9500,=68.9500,=42092529601.15,=42092529601.0,=17261378350.3,,=5.3361,,,,
2026-06-16,=66.8100,=66.8100,=66.8100,=66.8100,=40786104461.97,=40786104462.0,=16725637238.34,,=5.1705,,,,
2026-06-15,=67.2900,=67.2900,=67.2900,=67.2900,=41079134399.73,=41079134400.0,=16845803469.06,,=5.2077,,,,
2026-06-12,=63.5800,=63.5800,=63.5800,=63.5800,=38814257172.46,=38814257172.0,=15917018644.12,,=4.9206,,,,
2026-06-11,=61.1000,=61.1000,=61.1000,=61.1000,=37300269160.7,=37300269161.0,=15296159785.4,,=4.7286,,,,
2026-06-10,=60.7000,=60.7000,=60.7000,=60.7000,=37056077545.9,=37056077546.0,=15196021259.8,,=4.6977,,,,
2026-06-09,=56.6800,=56.6800,=56.6800,=56.6800,=34601951817.16,=34601951817.0,=14189629077.52,,=4.3866,,,,
2026-06-08,=58.0000,=58.0000,=58.0000,=58.0000,=35407784146.0,=35407784146.0,=14520086212.0,,=4.4887,,,,
2026-06-05,=60.2400,=60.2400,=60.2400,=60.2400,=36775257188.88,=36775257189.0,=15080861955.36,,=4.6621,,,,
