date,市值(元),PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,股息率,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值
2026-07-03,45865290049.81,7.5991,,,,,0.0202,21.1708,,,,,5.8144,,,,,5.8144,,,,,21.3826,,,,
2026-07-02,50962790008.76,8.4436,,,,,0.0182,23.5237,,,,,6.4606,,,,,6.4606,,,,,23.7591,,,,
2026-07-01,50962790008.76,8.4436,,,,,0.0182,23.5237,,,,,6.4606,,,,,6.4606,,,,,23.7591,,,,
2026-06-30,46329254117.93,7.6759,,,,,0.0200,21.3850,,,,,5.8732,,,,,5.8732,,,,,21.5989,,,,
2026-06-29,42116948762.63,6.9780,,,,,0.0220,19.4406,,,,,5.3392,,,,,5.3392,,,,,19.6351,,,,
2026-06-26,40346559555.33,6.6847,,,,,0.0230,18.6234,,,,,5.1148,,,,,5.1148,,,,,18.8097,,,,
2026-06-25,41121867932.32,6.8132,,,,,0.0226,18.9813,,,,,5.2131,,,,,5.2131,,,,,19.1712,,,,
2026-06-24,42220730198.92,6.9952,,,,,0.0220,19.4885,,,,,5.3524,,,,,5.3524,,,,,19.6835,,,,
2026-06-23,40029110456.09,6.6321,,,,,0.0232,18.4769,,,,,5.0746,,,,,5.0746,,,,,18.6617,,,,
2026-06-22,42416083490.76,7.0276,,,,,0.0219,19.5787,,,,,5.3772,,,,,5.3772,,,,,19.7746,,,,
2026-06-18,39943643390.91,6.6179,,,,,0.0232,18.4374,,,,,5.0637,,,,,5.0637,,,,,18.6219,,,,
2026-06-17,42092529601.15,6.9740,,,,,0.0220,19.4293,,,,,5.3361,,,,,5.3361,,,,,19.6237,,,,
2026-06-16,40786104461.97,6.7575,,,,,0.0228,18.8263,,,,,5.1705,,,,,5.1705,,,,,19.0147,,,,
2026-06-15,41079134399.73,6.8061,,,,,0.0226,18.9616,,,,,5.2077,,,,,5.2077,,,,,19.1513,,,,
2026-06-12,38814257172.46,6.4308,,,,,0.0239,17.9161,,,,,4.9206,,,,,4.9206,,,,,18.0954,,,,
2026-06-11,37300269160.7,6.1800,,,,,0.0249,17.2173,,,,,4.7286,,,,,4.7286,,,,,17.3895,,,,
2026-06-10,37056077545.9,6.1395,,,,,0.0250,17.1046,,,,,4.6977,,,,,4.6977,,,,,17.2757,,,,
2026-06-09,34601951817.16,5.7329,,,,,0.0268,15.9718,,,,,4.3866,,,,,4.3866,,,,,16.1316,,,,
2026-06-08,35407784146.0,5.8664,,,,,0.0262,16.3438,,,,,4.4887,,,,,4.4887,,,,,16.5073,,,,
2026-06-05,36775257188.88,6.0930,,,,,0.0252,16.9750,,,,,4.6621,,,,,4.6621,,,,,17.1448,,,,
2026-06-04,35896167375.6,5.9474,,,,,0.0259,16.5692,,,,,4.5506,,,,,4.5506,,,,,16.7349,,,,
2026-06-03,37440679339.21,6.2033,,,,,0.0248,17.2821,,,,,4.3431,,,,,4.3431,,,,,17.4550,,,,
2026-06-02,37269745208.85,6.1749,,,,,0.0249,17.2032,,,,,4.3233,,,,,4.3233,,,,,17.3753,,,,
2026-06-01,37495622452.54,6.2124,,,,,0.0247,17.3075,,,,,4.3495,,,,,4.3495,,,,,17.4806,,,,
2026-05-29,35108649417.87,5.8169,,,,,0.0264,16.2057,,,,,4.0726,,,,,4.0726,,,,,16.3678,,,,
2026-05-28,36109835038.55,5.9828,,,,,0.0257,16.6678,,,,,4.1887,,,,,4.1887,,,,,16.8346,,,,
2026-05-27,36811885931.1,6.0991,,,,,0.0252,16.9919,,,,,4.2701,,,,,4.2701,,,,,17.1619,,,,
2026-05-26,37666556582.9,6.2407,,,,,0.0246,17.3864,,,,,4.3693,,,,,4.3693,,,,,17.5603,,,,
2026-05-25,37001134432.57,6.1304,,,,,0.0251,17.0792,,,,,4.2921,,,,,4.2921,,,,,17.2501,,,,
2026-05-22,36952296109.61,6.1223,,,,,0.0251,17.0567,,,,,4.2864,,,,,4.2864,,,,,17.2273,,,,
2026-05-21,33594661406.11,5.5660,,,,,0.0276,15.5068,,,,,3.8969,,,,,3.8969,,,,,15.6620,,,,
2026-05-20,34253978766.07,5.6753,,,,,0.0271,15.8112,,,,,3.9734,,,,,3.9734,,,,,15.9694,,,,
2026-05-19,33637394938.7,5.5731,,,,,0.0276,15.5266,,,,,3.9019,,,,,3.9019,,,,,15.6819,,,,
2026-05-18,35407784146.0,5.8664,,,,,0.0262,16.3438,,,,,4.1073,,,,,4.1073,,,,,16.5073,,,,
2026-05-15,38148835022.13,6.3206,,,,,0.0243,17.6090,,,,,4.4252,,,,,4.4252,,,,,17.7852,,,,
2026-05-14,37251430837.74,6.1719,,,,,0.0249,17.1948,,,,,4.3211,,,,,4.3211,,,,,17.3668,,,,
2026-05-13,37422364968.1,6.2002,,,,,0.0248,17.2737,,,,,4.3410,,,,,4.3410,,,,,17.4465,,,,
2026-05-12,37361317064.4,6.1901,,,,,0.0248,17.2455,,,,,4.3339,,,,,4.3339,,,,,17.4180,,,,
2026-05-11,37855805084.37,6.2720,,,,,0.0245,17.4737,,,,,4.3912,,,,,4.3912,,,,,17.6485,,,,
2026-05-08,38570065557.66,6.3904,,,,,0.0241,17.8034,,,,,4.4741,,,,,4.4741,,,,,17.9815,,,,
2026-05-07,38887514656.9,6.4430,,,,,0.0239,17.9500,,,,,4.5109,,,,,4.5109,,,,,18.1295,,,,
2026-05-06,39632299082.04,6.5664,,,,,0.0234,18.2937,,,,,4.5973,,,,,4.5973,,,,,18.4768,,,,
2026-04-30,39845966744.99,6.6018,,,,,0.0233,18.3924,,,,,4.6221,,,,,4.6221,,,,,18.5764,,,,
2026-04-29,40505284104.95,6.7110,,,,,0.0229,18.6967,,,,,4.6986,,,,,4.6986,,,,,18.8837,,,,
2026-04-28,39497993693.9,6.5441,,,,,0.0235,18.2317,,,,,4.5817,,,,,4.5817,,,,,18.4141,,,,
2026-04-27,39650613453.15,7.3033,,,,,0.0118,21.9231,,,,,5.2080,,,,,5.2080,,,,,22.2763,,,,
2026-04-24,38832571543.57,7.1526,,,,,0.0121,21.4708,,,,,5.1006,,,,,5.1006,,,,,21.8167,,,,
2026-04-23,37294164370.33,6.8692,,,,,0.0126,20.6202,,,,,4.8985,,,,,4.8985,,,,,20.9524,,,,
2026-04-22,37788652390.3,6.9603,,,,,0.0124,20.8936,,,,,4.9635,,,,,4.9635,,,,,21.2302,,,,
2026-04-21,38356397894.71,7.0649,,,,,0.0122,21.2076,,,,,5.0380,,,,,5.0380,,,,,21.5492,,,,
2026-04-20,38014529633.99,7.0019,,,,,0.0123,21.0185,,,,,4.9931,,,,,4.9931,,,,,21.3571,,,,
2026-04-17,38185463764.35,7.0334,,,,,0.0123,21.1130,,,,,5.0156,,,,,5.0156,,,,,21.4532,,,,
2026-04-16,38051158376.21,7.0087,,,,,0.0123,21.0388,,,,,4.9979,,,,,4.9979,,,,,21.3777,,,,
2026-04-15,37660451792.53,6.9367,,,,,0.0124,20.8228,,,,,4.9466,,,,,4.9466,,,,,21.1582,,,,
2026-04-14,38283140410.27,7.0514,,,,,0.0122,21.1671,,,,,5.0284,,,,,5.0284,,,,,21.5080,,,,
2026-04-13,37129335030.34,6.8389,,,,,0.0126,20.5291,,,,,4.8769,,,,,4.8769,,,,,20.8598,,,,
2026-04-10,38032844005.1,7.0053,,,,,0.0123,21.0287,,,,,4.9955,,,,,4.9955,,,,,21.3674,,,,
2026-04-09,38215987716.2,7.0390,,,,,0.0123,21.1299,,,,,5.0196,,,,,5.0196,,,,,21.4703,,,,
2026-04-08,38795942801.35,7.1458,,,,,0.0121,21.4506,,,,,5.0958,,,,,5.0958,,,,,21.7961,,,,
2026-04-07,38289245200.64,7.0525,,,,,0.0122,21.1704,,,,,5.0292,,,,,5.0292,,,,,21.5115,,,,
2026-04-03,37715394905.86,6.9468,,,,,0.0124,20.8531,,,,,4.9538,,,,,4.9538,,,,,21.1891,,,,
2026-04-02,37538355985.13,6.9142,,,,,0.0125,20.7553,,,,,4.9306,,,,,4.9306,,,,,21.0896,,,,
2026-04-01,38185463764.35,7.0334,,,,,0.0123,21.1130,,,,,5.0156,,,,,5.0156,,,,,21.4532,,,,
2026-03-31,37623823050.31,6.9299,,,,,0.0124,20.8025,,,,,4.9418,,,,,4.9418,,,,,21.1376,,,,
2026-03-30,38411341008.04,7.0750,,,,,0.0122,21.2379,,,,,5.0453,,,,,5.0453,,,,,21.5801,,,,
2026-03-27,38557855976.92,7.1020,,,,,0.0121,21.3189,,,,,5.0645,,,,,5.0645,,,,,21.6624,,,,
2026-03-26,38112206279.91,7.0199,,,,,0.0123,21.0725,,,,,5.0060,,,,,5.0060,,,,,21.4120,,,,
2026-03-25,38393026636.93,7.0716,,,,,0.0122,21.2278,,,,,5.0428,,,,,5.0428,,,,,21.5698,,,,
2026-03-24,37855805084.37,6.9727,,,,,0.0124,20.9308,,,,,4.9723,,,,,4.9723,,,,,21.2680,,,,
2026-03-23,36708104494.81,6.7613,,,,,0.0128,20.2962,,,,,4.8215,,,,,4.8215,,,,,20.6232,,,,
2026-03-20,38356397894.71,7.0649,,,,,0.0122,21.2076,,,,,5.0380,,,,,5.0380,,,,,21.5492,,,,
2026-03-19,39668927824.26,7.3066,,,,,0.0118,21.9333,,,,,5.2104,,,,,5.2104,,,,,22.2866,,,,
2026-03-18,41530888887.11,7.6496,,,,,0.0113,22.9628,,,,,5.4550,,,,,5.4550,,,,,23.3327,,,,
2026-03-17,41463736193.04,7.6372,,,,,0.0113,22.9256,,,,,5.4462,,,,,5.4462,,,,,23.2949,,,,
2026-03-16,41671299065.62,7.6754,,,,,0.0112,23.0404,,,,,5.4734,,,,,5.4734,,,,,23.4116,,,,
2026-03-13,41872757147.83,7.7126,,,,,0.0112,23.1518,,,,,5.4999,,,,,5.4999,,,,,23.5247,,,,
2026-03-12,42641960734.45,7.8542,,,,,0.0110,23.5771,,,,,5.6009,,,,,5.6009,,,,,23.9569,,,,
2026-03-11,43777451743.27,8.0634,,,,,0.0107,24.2049,,,,,5.7501,,,,,5.7501,,,,,24.5948,,,,
2026-03-10,44784742154.32,8.2489,,,,,0.0105,24.7618,,,,,5.8824,,,,,5.8824,,,,,25.1607,,,,
2026-03-09,44461188264.71,8.1893,,,,,0.0105,24.5829,,,,,5.8399,,,,,5.8399,,,,,24.9790,,,,
2026-03-06,46811532557.16,8.6222,,,,,0.0100,25.8825,,,,,6.1486,,,,,6.1486,,,,,26.2994,,,,
2026-03-05,45242601432.07,8.3332,,,,,0.0104,25.0150,,,,,5.9425,,,,,5.9425,,,,,25.4180,,,,
2026-03-04,44168158326.95,8.1353,,,,,0.0106,24.4209,,,,,5.8014,,,,,5.8014,,,,,24.8143,,,,
2026-03-03,44882418800.24,8.2669,,,,,0.0104,24.8158,,,,,5.8952,,,,,5.8952,,,,,25.2156,,,,
2026-03-02,46835951718.64,8.6267,,,,,0.0100,25.8960,,,,,6.1518,,,,,6.1518,,,,,26.3131,,,,
2026-02-27,44668751137.29,8.2275,,,,,0.0105,24.6977,,,,,5.8671,,,,,5.8671,,,,,25.0956,,,,
2026-02-26,44216996649.91,8.1443,,,,,0.0106,24.4479,,,,,5.8078,,,,,5.8078,,,,,24.8418,,,,
2026-02-25,43325697255.89,7.9802,,,,,0.0108,23.9551,,,,,5.6907,,,,,5.6907,,,,,24.3410,,,,
2026-02-24,43460002644.03,8.0049,,,,,0.0108,24.0294,,,,,5.7084,,,,,5.7084,,,,,24.4165,,,,
2026-02-13,41213439787.87,7.5911,,,,,0.0114,22.7872,,,,,5.4133,,,,,5.4133,,,,,23.1543,,,,
2026-02-12,41994852955.23,7.7350,,,,,0.0112,23.2193,,,,,5.5159,,,,,5.5159,,,,,23.5933,,,,
2026-02-11,42171891875.96,7.7677,,,,,0.0111,23.3172,,,,,5.5392,,,,,5.5392,,,,,23.6928,,,,
2026-02-10,41799499663.39,7.6991,,,,,0.0112,23.1113,,,,,5.4903,,,,,5.4903,,,,,23.4836,,,,
2026-02-09,41952119422.64,7.7272,,,,,0.0112,23.1957,,,,,5.5103,,,,,5.5103,,,,,23.5693,,,,
2026-02-06,41939909841.9,7.7249,,,,,0.0112,23.1889,,,,,5.5087,,,,,5.5087,,,,,23.5625,,,,
2026-02-05,41421002660.45,7.6293,,,,,0.0113,22.9020,,,,,5.4406,,,,,5.4406,,,,,23.2709,,,,
2026-02-04,41555308048.59,7.6541,,,,,0.0113,22.9763,,,,,5.4582,,,,,5.4582,,,,,23.3464,,,,
2026-02-03,41872757147.83,7.7126,,,,,0.0112,23.1518,,,,,5.4999,,,,,5.4999,,,,,23.5247,,,,
2026-02-02,40694532606.42,7.4955,,,,,0.0115,22.5003,,,,,5.3451,,,,,5.3451,,,,,22.8628,,,,
2026-01-30,42208520618.18,7.7744,,,,,0.0111,23.3374,,,,,5.5440,,,,,5.5440,,,,,23.7134,,,,
2026-01-29,42440502652.24,7.8171,,,,,0.0110,23.4657,,,,,5.5745,,,,,5.5745,,,,,23.8437,,,,
2026-01-28,42147472714.48,7.7632,,,,,0.0111,23.3037,,,,,5.5360,,,,,5.5360,,,,,23.6791,,,,
2026-01-27,41775080501.91,7.6946,,,,,0.0112,23.0978,,,,,5.4871,,,,,5.4871,,,,,23.4699,,,,
2026-01-26,41457631402.67,7.6361,,,,,0.0113,22.9223,,,,,5.4454,,,,,5.4454,,,,,23.2915,,,,
2026-01-23,41512574516.0,7.6462,,,,,0.0113,22.9526,,,,,5.4526,,,,,5.4526,,,,,23.3224,,,,
2026-01-22,39717766147.22,7.3156,,,,,0.0118,21.9603,,,,,5.2168,,,,,5.2168,,,,,22.3140,,,,
2026-01-21,38814257172.46,7.1492,,,,,0.0121,21.4607,,,,,5.0982,,,,,5.0982,,,,,21.8064,,,,
2026-01-20,37843595503.63,6.9704,,,,,0.0124,20.9240,,,,,4.9707,,,,,4.9707,,,,,21.2611,,,,
2026-01-19,37404050596.99,6.8895,,,,,0.0125,20.6810,,,,,4.9129,,,,,4.9129,,,,,21.0142,,,,
2026-01-16,35554299114.88,6.5488,,,,,0.0132,19.6583,,,,,4.6700,,,,,4.6700,,,,,19.9749,,,,
2026-01-15,35023182352.69,6.4509,,,,,0.0134,19.3646,,,,,4.6002,,,,,4.6002,,,,,19.6765,,,,
2026-01-14,34589742236.42,6.3711,,,,,0.0135,19.1249,,,,,4.5433,,,,,4.5433,,,,,19.4330,,,,
2026-01-13,34675209301.6,6.3868,,,,,0.0135,19.1722,,,,,4.5545,,,,,4.5545,,,,,19.4810,,,,
2026-01-12,34962134448.99,6.4397,,,,,0.0134,19.3308,,,,,4.5922,,,,,4.5922,,,,,19.6422,,,,
2026-01-09,36128149409.66,6.6545,,,,,0.0130,19.9755,,,,,4.7454,,,,,4.7454,,,,,20.2973,,,,
2026-01-08,35993844021.52,6.6297,,,,,0.0130,19.9013,,,,,4.7277,,,,,4.7277,,,,,20.2219,,,,
2026-01-07,36830200302.21,6.7838,,,,,0.0127,20.3637,,,,,4.8376,,,,,4.8376,,,,,20.6918,,,,
2026-01-06,37117125449.6,6.8366,,,,,0.0126,20.5224,,,,,4.8753,,,,,4.8753,,,,,20.8530,,,,
