date,自由现金流量,经营活动产生的现金流量净额对净利润的比率,经营活动产生的现金流量净额,累积同比
2026-03-31,857593007,1.0574,474235925,0.2954
2025-12-31,805908731,1.0571,2160886171,2.0484
2025-09-30,663312858,1.0877,1560924441,3.9325
2025-06-30,383828053,1.0815,943865350,4.875
2025-03-31,61975244,0.9208,366078368,1.6696
2024-12-31,-13347470,0.9149,708863908,0.4652
2024-09-30,-148808926,0.6221,316459187,-0.2581
2024-06-30,-324621242,0.4041,160659163,-0.6253
2024-03-31,-192641595,0.9616,137126387,-0.3847
2023-12-31,-152077990,1.7301,483813049,-0.2305
2023-09-30,-235949898,1.7432,426578985,-0.2876
2023-06-30,134116345,2.5924,428805841,0.2102
2023-03-31,115333739,1.9662,222854467,-0.0599
2022-12-31,202918696,1.2948,628726702,1.5822
2022-09-30,356068726,0.8213,598794811,1.6944
2022-06-30,272894482,0.6945,354319812,3.1797
2022-03-31,275415317,0.7097,237046946,28.1091
2021-12-31,102245565,0.4541,243488178,-0.5316
2021-09-30,145521596,1.0822,222239854,-0.5269
2021-06-30,69492654,0.9336,84771253,-0.8014
2021-03-31,163832522,1.5098,8143402,-0.9672
2020-12-31,423387715,2.3458,519775864,-0.2122
2020-09-30,413497555,2.1539,469789735,-0.2197
2020-06-30,577584521,1.8577,426858561,0.168
2020-03-31,591217888,1.362,248400483,0.3158
2019-12-31,506878813,1.0224,659777620,-0.4571
2019-09-30,811726208,1.165,602038140,-0.2668
2019-06-30,929715946,1.1712,365471061,-0.254
2019-03-31,982130435,1.0678,188783127,-0.2327
2018-12-31,1044048707,1.0965,1215367656,0.537
2018-09-30,,,821131994,
2018-06-30,,,489920408,
2018-03-31,,,246034391,
2017-12-31,703068958,0.8277,790736252,0.3725
2016-12-31,485639916,1.5797,576125068,
