date,流动负债合计,速动比率,货币资金,有息负债率,资产合计,负债合计,所有者权益合计,资产负债率,流动资产合计,应收账款,长期负债合计,流动比率
2026-03-31,35995567000,0.7295,181950798317.92,0.0569,553363200000,333478490000,219884710000,0.6026,29436982000,117184610000,7425914000,1.1894
2025-12-31,34284868000,0.746,195726253080.16,0.0514,550774434000,334695934000,216078500000,0.6077,29656388000,116502100000,7558981000,1.1796
2025-09-30,33410867000,0.6934,214380514737.36,0.0497,569815152000,357479227000,212335925000,0.6274,40019428000,129810525000,6346612000,1.1866
2025-06-30,33288953000,0.7413,202040003179.52,0.0493,542823600000,330892666000,211930934000,0.6096,38400418000,123224668000,6308888000,1.2147
2025-03-31,30603220000,0.7396,202613980461.28,0.05,528009218000,315035093000,212974125000,0.5966,35645950000,110135585000,5816402000,1.226
2024-12-31,28183686000,0.7927,240496481057.44,0.0489,512823630000,302629036000,210194594000,0.5901,37738998000,110844449000,5648597000,1.2425
2024-09-30,27737439000,0.7267,234469719598.96,0.0524,501501315000,297689529000,203811786000,0.5936,38041899000,110358522000,5883147000,1.2401
2024-06-30,25081830000,0.7389,215528469300.88,0.0541,479499893000,279593282000,199906611000,0.5831,36389557000,100136115000,6315552000,1.2505
2024-03-31,24775291000,0.7679,195726253080.16,0.0557,471534809000,273531027000,198003782000,0.5801,32095590000,81418971000,7151767000,1.261
2023-12-31,23176845000,0.8229,150956025102.88,0.0569,471791735000,275268420000,196523315000,0.5835,33590135000,105705827000,6984860000,1.2563
2023-09-30,24244840000,0.7541,167601366273.92,0.0603,476716004000,283934135000,192781869000,0.5956,26306136000,98651035000,6887445000,1.235
2023-06-30,23054725000,0.7614,186542616572,0.0621,463432426000,273406991000,190025435000,0.59,26608290000,98485442000,6350549000,1.2335
2023-03-31,23240791000,0.7972,175637048218.56,0.0648,448389293000,256364407000,192024886000,0.5717,24659942000,83591990000,6396157000,1.2628
2022-12-31,23732490000,0.8557,146651195489.68,0.0691,442140146000,251154230000,190985916000,0.568,25148513000,88987037000,6096122000,1.2773
2022-09-30,25869394000,0.7761,134597672572.72,0.0694,458586639000,274291014000,184295625000,0.5981,23141744000,86044874000,3720845000,1.2377
2022-06-30,23959466000,0.797,149234093257.6,0.0899,446826196000,266177284000,180648912000,0.5957,20646062000,85016819000,3492820000,1.2263
2022-03-31,25490295000,0.8281,154973866075.2,0.0891,428401601000,245702440000,182699161000,0.5735,21152234000,72303974000,3628419000,1.2872
2021-12-31,25397986000,0.8903,174776082295.92,0.0872,426826499000,244534993000,182291506000,0.5729,19696717000,72985213000,7454276000,1.2984
2021-09-30,28020265000,0.8072,178219945986.48,0.092,447424066000,268344990000,179079076000,0.5998,21937695000,93112024000,7836125000,1.265
2021-06-30,27301240000,0.7736,174489093655.04,0.0886,437319629000,268522464000,168797165000,0.614,20867912000,96215630000,7320793000,1.2095
2021-03-31,27544014000,0.7774,184246707444.96,0.098,425285527000,254189763000,171095764000,0.5977,19843989000,82193985000,6864847000,1.245
2020-12-31,27841813000,0.8071,152390968307.28,0.0802,392380368000,223238804000,169141564000,0.5689,18885381000,71969626000,4202602000,1.2645
2020-09-30,31769681000,0.7318,157556763843.12,0.0846,437177698000,274801290000,162376408000,0.6286,23499077000,93312550000,5841529000,1.2039
2020-06-30,32968149000,0.7434,159852672981.3,0.0765,421524117000,262763749000,158760368000,0.6234,22175924000,82778274000,3427606000,1.2016
2020-03-31,33671702000,0.7635,188264548430.4,0.081,396820597000,237187144000,159633453000,0.5977,18167082000,67657568000,2977033000,1.2441
2019-12-31,28167471000,0.8199,204909889602.6,0.0735,383572485000,224744003000,158828482000,0.5859,16364966000,59712424000,2589644000,1.255
2019-09-30,26150014000,0.7465,210075685138.8,0.0725,411643536000,256428956000,155214580000,0.6229,17974905000,90272197000,2209464000,1.1963
2019-06-30,24745071000,0.7499,232173810488.1,0.0777,399133484000,247780234000,151353250000,0.6208,17234693000,90274430000,1416899000,1.1881
2019-03-31,24280073000,0.7528,261159663219,0.0908,377226401000,224598278000,152628123000,0.5954,14315401000,0,1038796000,1.2195
2018-12-31,22335899000,0.7886,258863754091.8,0.0772,357523050000,207838423000,149684627000,0.5813,14657889000,64205603000,880011000,1.2079
2018-09-30,24997406000,0.725,247958185737.6,0.1151,398130210000,252263995000,145866215000,0.6336,17595334000,0,3355840000,1.2041
2018-06-30,23594991000,0.737,220981253493,0.1211,376033676000,234240424000,141793252000,0.6229,14115784000,0,3983757000,1.2068
2018-03-31,0,0.8329,288423584104.5,0.1325,372388316000,229071255000,143317061000,0.6151,0,84754986000,4380971000,1.2372
2017-12-31,0,0.9316,347543244129.9,0.1446,375170887000,233301484000,141869403000,0.6219,0,77672935000,4459542000,1.2554
2017-09-30,0,0.8178,279239947595.7,0.1347,375777968000,238056047000,137721921000,0.6335,0,95705010000,3365759000,1.2264
2017-06-30,0,0.8142,290432504590.8,0.124,360667671000,226750708000,133916963000,0.6287,0,96610204000,2252318000,1.2114
2017-03-31,0,0.8284,293876368281.6,0.1197,344176454000,206685512000,137490942000,0.6005,0,78666420000,2105947000,1.268
2016-12-31,0,0.8376,266611168884.1,0.1398,338310612000,214505996000,123804616000,0.6341,0,74052872000,3721502000,1.1974
2016-09-30,0,0.7615,244507274636.8,0.128,343302346000,225014966000,118287380000,0.6554,0,82170903000,6348705000,1.1888
