date,市值(元),PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,股息率,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值
2026-07-03,153825911511.68,11.3892,,,,,13.5751,,,,,0.8773,,,,,0.0429,0.5529,,,,,0.8757,,,,
2026-07-02,152964945589.04,11.3254,,,,,13.4991,,,,,0.8724,,,,,0.0432,0.5498,,,,,0.8708,,,,
2026-07-01,152390968307.28,11.2829,,,,,13.4485,,,,,0.8691,,,,,0.0433,0.5478,,,,,0.8676,,,,
2026-06-30,149234093257.6,11.0492,,,,,13.1699,,,,,0.8511,,,,,0.0442,0.5364,,,,,0.8496,,,,
2026-06-29,151530002384.64,11.2192,,,,,13.3725,,,,,0.8642,,,,,0.0436,0.5447,,,,,0.8627,,,,
2026-06-26,149808070539.36,11.0917,,,,,13.2205,,,,,0.8544,,,,,0.0441,0.5385,,,,,0.8529,,,,
2026-06-25,152390968307.28,11.2829,,,,,13.4485,,,,,0.8691,,,,,0.0433,0.5478,,,,,0.8676,,,,
2026-06-24,150956025102.88,11.1767,,,,,13.3218,,,,,0.8609,,,,,0.0437,0.5426,,,,,0.8594,,,,
2026-06-23,155834831997.84,11.5379,,,,,13.7524,,,,,0.8888,,,,,0.0424,0.5601,,,,,0.8872,,,,
2026-06-22,162722559378.96,12.0479,,,,,14.3602,,,,,0.9280,,,,,0.0406,0.5849,,,,,0.9264,,,,
2026-06-18,160713638892.8,11.8991,,,,,14.1829,,,,,0.9166,,,,,0.0411,0.5777,,,,,0.9149,,,,
2026-06-17,164444491224.24,12.1753,,,,,14.5122,,,,,0.9379,,,,,0.0401,0.5911,,,,,0.9362,,,,
2026-06-16,164157502583.36,12.1541,,,,,14.4869,,,,,0.9362,,,,,0.0402,0.5900,,,,,0.9346,,,,
2026-06-15,165305457146.88,12.2391,,,,,14.5882,,,,,0.9428,,,,,0.0399,0.5942,,,,,0.9411,,,,
2026-06-12,165305457146.88,12.2391,,,,,14.5882,,,,,0.9428,,,,,0.0399,0.5942,,,,,0.9411,,,,
2026-06-11,163870513942.48,12.1328,,,,,14.4615,,,,,0.9346,,,,,0.0403,0.5890,,,,,0.9329,,,,
2026-06-10,162148582097.2,12.0054,,,,,14.3096,,,,,0.9248,,,,,0.0407,0.5828,,,,,0.9231,,,,
2026-06-09,161000627533.68,11.9204,,,,,14.2083,,,,,0.9182,,,,,0.0410,0.5787,,,,,0.9166,,,,
2026-06-08,159852672970.16,11.8354,,,,,14.1070,,,,,0.9117,,,,,0.0413,0.5746,,,,,0.9100,,,,
