date,自由现金流量,经营活动产生的现金流量净额对净利润的比率,经营活动产生的现金流量净额,累积同比
2026-03-31,11316941000,1.1648,-9084455000,-0.7922
2025-12-31,15709832000,1.4315,24185716000,-0.1061
2025-09-30,-1892008000,0.4249,-11527861000,-2.5278
2025-06-30,6688230000,0.854,-8997544000,-5.8867
2025-03-31,-2369095000,0.4274,-5034444000,-1.3475
2024-12-31,17354096000,1.7318,27127503000,0.8427
2024-09-30,17352081000,1.644,7622185000,2.9093
2024-06-30,22245560000,2.0171,1845139000,1.1248
2024-03-31,28661629000,2.4224,14487790000,3.0031
2023-12-31,6769873000,1.0104,14721616000,-0.3854
2023-09-30,2221905000,0.6906,-3992206000,-1.4049
2023-06-30,4050216000,0.7494,-14780023000,-6.6617
2023-03-31,18728871000,1.7335,-7232528000,0.198
2022-12-31,17742536000,1.669,23953216000,0.1632
2022-09-30,28322599000,2.574,9859793000,7.9504
2022-06-30,26452941000,2.5981,-1929087000,0.8333
2022-03-31,20812356000,2.1648,-9017614000,0.3024
2021-12-31,16051867000,1.6584,20592700000,11.1322
2021-09-30,6850833000,0.8811,-1418588000,0.9065
2021-06-30,-5125346000,0.0833,-11571341000,0.2174
2021-03-31,-12341835000,-0.4082,-12927072000,-0.43
2020-12-31,-8600986000,-0.147,-2032393000,-1.0902
2020-09-30,6095741000,1.0346,-15168007000,-1.7405
2020-06-30,15835860000,1.6572,-14785418000,-0.1042
2020-03-31,12547095000,1.4061,-9040061000,-1.029
2019-12-31,17141244000,1.6298,22530536000,0.194
2019-09-30,7367191000,1.0065,-5534844000,-6.4564
2019-06-30,8931132000,1.1761,-13390166000,-0.2687
2019-03-31,16520676000,1.7635,-4455488000,0.5261
2018-12-31,11163023000,1.4517,18869344000,0.1659
2018-09-30,17863179000,1.8565,-731088000,0.923
2018-06-30,15820516000,1.7364,-10541846000,0.3979
2018-03-31,14725649000,1.713,-9389000000,0.3953
2017-12-31,8508444000,1.2457,16209056000,-0.2274
2017-09-30,-1572120000,0.6369,-9489946000,-3.8339
2017-06-30,2000296000,0.9321,-17509635000,-1.1568
2017-03-31,-73739000,0.7784,-15528557000,-2.3537
2016-12-31,10997078000,1.5087,20986379000,0.4008
2016-09-30,18729054000,2.0567,3354216000,1.3296
