date,毛利率(GM),总资产收益率(ROA),净利润率,净资产收益率(ROE),资本回报率(ROIC)
2026-03-31,0.2149,0.032,0.0621,0.0799,0.0744
2025-12-31,0.2138,0.0318,0.0619,0.0793,0.0745
2025-09-30,0.2142,0.035,0.0676,0.0902,0.0843
2025-06-30,0.2156,0.0373,0.069,0.0926,0.0866
2025-03-31,0.2133,0.0356,0.0677,0.0866,0.0814
2024-12-31,0.2138,0.0318,0.0636,0.077,0.073
2024-09-30,0.2187,0.0328,0.0657,0.0808,0.0755
2024-06-30,0.2236,0.033,0.0656,0.0797,0.0747
2024-03-31,0.2274,0.0327,0.0643,0.0771,0.0721
2023-12-31,0.2227,0.0319,0.0622,0.0752,0.0701
2023-09-30,0.2198,0.0313,0.0635,0.0776,0.0714
2023-06-30,0.2157,0.0326,0.0647,0.0799,0.0721
2023-03-31,0.2135,0.0339,0.0661,0.0792,0.0717
2022-12-31,0.2122,0.033,0.0644,0.0769,0.0696
2022-09-30,0.2017,0.0273,0.0571,0.0681,0.0615
2022-06-30,0.2019,0.0263,0.055,0.0666,0.059
2022-03-31,0.2045,0.0265,0.0527,0.064,0.0571
2021-12-31,0.2057,0.0303,0.055,0.0707,0.0641
2021-09-30,0.2177,0.0301,0.0588,0.0779,0.0674
2021-06-30,0.2214,0.033,0.0607,0.0866,0.0758
2021-03-31,0.2222,0.0353,0.0615,0.0877,0.0758
2020-12-31,0.2227,0.0356,0.0607,0.0843,0.0756
2020-09-30,0.2271,0.0294,0.0566,0.0785,0.0694
2020-06-30,0.2263,0.0311,0.0574,0.0823,0.0726
2020-03-31,0.23,0.033,0.0573,0.0817,0.0719
2019-12-31,0.2308,0.0373,0.0604,0.0896,0.0806
2019-09-30,0.2199,0.0345,0.0587,0.0928,0.0807
2019-06-30,0.2188,0.0351,0.0595,0.0929,0.0828
2019-03-31,0.2207,0.036,0.0598,0.0912,
2018-12-31,0.2216,0.0355,0.0593,0.0892,0.0762
2018-09-30,0.2292,0.0348,0.0654,0.0949,
2018-06-30,0.232,0.0362,0.064,0.0968,
2018-03-31,0.2278,0.0364,0.062,0.0929,
2017-12-31,0.2268,0.0365,0.0617,0.098,
2017-09-30,0.2075,0.0356,0.0572,0.0999,
2017-06-30,0.2031,0.036,0.0555,0.1,
2017-03-31,0.2055,0.0391,0.0581,0.1023,
2016-12-31,0.2079,0.0428,0.0606,0.1172,
2016-09-30,0.2044,0.0418,0.0577,0.1202,
