date,资产负债率,资产合计,所有者权益合计,货币资金,流动资产合计,长期负债合计,速动比率,应收账款,流动负债合计,流动比率,负债合计,有息负债率
2026-03-31,0.1212,319918844906,281135886436,1815791811750,0,0,5.4818,32344588,3027195224,7.0607,38782958470,0.053
2025-12-31,0.1642,303834844021,253959253909,1724601494693.7,0,0,3.8517,2609048,8006739781,5.09,49875590112,0.0601
2025-09-30,0.1281,304738184930,265705024873,1808265667757.85,0,0,5.1777,25531738,7749027043,6.6193,39033160057,0.0484
2025-06-30,0.1475,292257789096,249135586263,1770635923056,0,0,4.4461,37961242,5506895536,5.7297,43122202833,0.0715
2025-03-31,0.1414,312368697395,268190335170,1960924765800,0,0,4.8248,15199312,8788014142,6.0749,44178362225,0.0493
2024-12-31,0.1904,298944579919,242011315121,1914445447200,0,0,3.492,18974193,9592453015,4.4541,56933264798,0.0787
2024-09-30,0.1363,286770722958,247688164238,2195833754400,0,0,4.9105,10131703,9930767400,6.1569,39082558720,0.0445
2024-06-30,0.1832,279207261167,228044809649,1843332089742,0,0,3.6307,1358595,9993058770,4.5714,51162451517,0.0855
2024-03-31,0.1295,285524543268,248536768551,2139179233620,0,0,5.2007,73124663,9523298230,6.481,36987774718,0.0305
2023-12-31,0.1798,272699660092,223656469295,2168197402800,0,0,3.6696,60373410,14125755802,4.6239,49043190797,0.0453
2023-09-30,0.1414,262076424771,225018799759,2259334553190,0,0,4.8378,131214180,11394683920,5.9588,37057625012,0.0378
2023-06-30,0.1339,241604264016,209247480092,2124230479800,0,0,5.0715,32571319,7334210270,6.3536,32356783924,0.0401
2023-03-31,0.1236,258390782822,226463574203,2286279996000,0,0,5.6653,58410416,8329985211,6.9427,31927208619,0.0321
2022-12-31,0.1942,254364804995,204964688254,2169453600600,0,0,3.6052,20937144,15471920925,4.4147,49400116741,0.0524
2022-09-30,0.1385,247756923862,213446576010,2352230380500,0,0,5.1433,0,11836515743,6.1942,34310347853,0.0356
2022-06-30,0.1726,239849179963,198456449962,2568924501000,0,0,4.0928,0,9668589215,4.948,41392730001,0.0713
2022-03-31,0.1448,251301891385,214908276450,2159404018200,0,0,5.0339,0,8321990420,5.9767,36393614936,0.049
2021-12-31,0.2281,255168195160,196957506705,2575205490000,0,0,3.2286,0,12718465288,3.8119,58210688455,0.0869
2021-09-30,0.1953,224702253941,180814940353,2298841974000,0,0,3.7096,0,9136768802,4.4324,43887313588,0.0994
2021-06-30,0.2128,212868536823,167564091731,2583622015260,0,0,3.3484,0,9244138851,4.0522,45304445091,0.1135
2021-03-31,0.1521,215218185985,182489767766,2523701380200,0,0,4.8014,0,5340569221,5.7487,32728418219,0.0729
2020-12-31,0.214,213395810527,167720683101,2509883204400,0,0,3.413,0,13321549148,4.0648,45675127426,0.0667
2020-09-30,0.1647,184579196651,154171658125,2095966029300,0,0,4.2555,0,9410595312,5.1796,30407538525,0.0565
2020-06-30,0.1724,172197875166,142517887676,1837666637664,0,0,3.9725,0,9463614702,4.8922,29679987489,0.0561
2020-03-31,0.1425,181624733882,155734823056,1395635755800,0,0,5.0837,0,6908882424,6.1169,25889910826,0.0443
2019-12-31,0.2249,183042372043,141876380229,1486081997400,0,0,3.2168,0,0,3.8698,41165991814,0.0604
2019-09-30,0.1952,162550409174,130822045139,1444627470000,0,0,3.6028,0,0,4.4177,31728364035,0.0658
2019-06-30,0.2756,165121648978,119606776154,1236098635200,0,0,2.5775,0,0,3.1372,45514872823,0.1427
2019-03-31,0.1912,159888176447,129322061399,1072780359222,0,0,3.6873,0,0,4.5107,30566115049,0.0705
2018-12-31,0.2655,159846674736,117408487923,741169263978,0,0,2.6668,0,0,3.2485,42438186813,0.0718
2018-09-30,0.2786,147147672376,106157062049,917024394000,0,0,2.4856,0,0,3.0465,40990610327,0.127
2018-06-30,0.2572,129914832498,96504474571,918858442788,0,0,2.5403,0,0,3.2262,33410357928,0.1
2018-03-31,0.2177,134404941948,105149681155,858761940036,0,0,3.0437,0,0,3.8229,29255260793,0.0644
2017-12-31,0.2867,134610116875,96019627475,876185403522,0,0,2.3176,0,0,2.9099,38590489400,0.0777
2017-09-30,0.3083,127780036133,88380845274,650258229192,0,0,2.1108,0,0,2.6611,39399190859,0.0931
2017-06-30,0.3432,120382739968,79063250670,592736931930,0,0,1.8294,0,0,2.3581,41319489297,0.073
2017-03-31,0.307,118978719020,82453887316,485344582008,0,0,2.0342,0,0,2.6264,36524831705,0.0886
2016-12-31,0.3279,112934538280,75898542855,419758494870,0,0,1.8507,0,0,2.436,37035995426,0.0954
2016-09-30,0.3221,105146032285,71283503461,374233886598,0,0,1.8731,8502001,0,2.4671,33862528824,0.1187
