date,营业收入,累积同比,基本每股收益,归属于母公司普通股股东的净利润
2026-03-31,53909252221,0.0654,21.76,27242512886
2025-12-31,168838102515,-0.0121,65.66,82320067102
2025-09-30,128453707656,0.0636,51.53,64626746712
2025-06-30,89389354417,0.091,36.18,45402962298
2025-03-31,50600957886,0.1054,21.38,26847474239
2024-12-31,170899152276,0.1571,68.64,86228146422
2024-09-30,120776131875,0.1695,48.42,60827552119
2024-06-30,81930977668,0.1776,33.19,41695610983
2024-03-31,45775517043,0.1811,19.16,24065262374
2023-12-31,147693604994,0.1901,59.49,74734071551
2023-09-30,103268354688,0.1848,42.09,52876217064
2023-06-30,69576019446,0.2076,28.64,35980415091
2023-03-31,38755812097,0.2,16.55,20794882755
2022-12-31,124099843772,0.1687,49.93,62716443738
2022-09-30,87160232759,0.1677,35.34,44399815584
2022-06-30,57616866647,0.1738,23.72,29793908078
2022-03-31,32295763804,0.1843,13.73,17244968587
2021-12-31,106190154844,0.1188,41.76,52460144378
2021-09-30,74642203803,0.1105,29.67,37266174160
2021-06-30,49087277796,0.1168,19.63,24653985552
2021-03-31,27270884813,0.1174,11.11,13954462086
2020-12-31,94915380917,0.111,37.17,46697285430
2020-09-30,67214944638,0.1031,26.93,33827103961
2020-06-30,43952804664,0.1131,17.99,22601655086
2020-03-31,24405394535,0.1276,10.42,13093770211
2019-12-31,85429573467,0.1601,32.8,41206471014
2019-09-30,60934658071,0.1664,24.24,30454855385
2019-06-30,39487788340,0.1824,15.88,19951025609
2019-03-31,21644002713,0.2392,8.93,11221431345
2018-12-31,73638872388,0.2649,28.02,35203625263
2018-09-30,52241669986,0.2307,19.69,24733552720
2018-06-30,33396709893,0.3806,12.55,15764185783
2018-03-31,17466166385,0.3124,6.77,8506906678
2017-12-31,58217861314,0.4981,21.56,27079360256
2017-09-30,42450467500,0.594,15.91,19983846984
2017-06-30,24190030219,0.3311,8.96,11250860930
2017-03-31,13308639085,0.3324,4.87,6123119324
2016-12-31,38862189994,0.1899,13.31,16718362734
2016-09-30,26631884032,0.1505,9.92,12465577764
