date,市值(元),PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,股息率,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值
2026-07-03,1493159968314.45,6.3307,,,,,8.5171,,,,,18.0588,,,,,6.3307,,,,,0.0436,18.0518,,,,
2026-07-02,1503848166003.0,6.3760,,,,,8.5780,,,,,18.1881,,,,,6.3760,,,,,0.0432,18.1811,,,,
2026-07-01,1491359850809.01,6.3230,,,,,8.5068,,,,,18.0370,,,,,6.3230,,,,,0.0436,18.0301,,,,
2026-06-30,1481959237169.49,6.2832,,,,,8.4532,,,,,17.9233,,,,,6.2832,,,,,0.0439,17.9164,,,,
2026-06-29,1493797509930.96,6.3334,,,,,8.5207,,,,,18.0665,,,,,6.3334,,,,,0.0435,18.0595,,,,
2026-06-26,1460882861376.63,6.1938,,,,,8.3330,,,,,17.6684,,,,,6.1938,,,,,0.0445,17.6616,,,,
2026-06-25,1515223908572.1,5.5934,,,,,8.6429,,,,,18.3257,,,,,5.5934,,,,,0.0429,18.3186,,,,
2026-06-24,1509698547895.6802,5.5730,,,,,8.6114,,,,,18.2588,,,,,5.5730,,,,,0.0431,18.2518,,,,
2026-06-23,1528162253142.45,5.6412,,,,,8.7167,,,,,18.4821,,,,,5.6412,,,,,0.0426,18.4750,,,,
2026-06-22,1551863800297.4102,5.7287,,,,,8.8519,,,,,18.7688,,,,,5.7287,,,,,0.0419,18.7616,,,,
2026-06-18,1518849145215.0,5.6068,,,,,8.6636,,,,,18.3695,,,,,5.6068,,,,,0.0428,18.3624,,,,
2026-06-17,1550101185240.0,5.7222,,,,,8.8419,,,,,18.7475,,,,,5.7222,,,,,0.0420,18.7402,,,,
2026-06-16,1569689963927.6702,5.7945,,,,,8.9536,,,,,18.9844,,,,,5.7945,,,,,0.0414,18.9771,,,,
2026-06-15,1588978723031.1,5.8657,,,,,9.0636,,,,,19.2177,,,,,5.8657,,,,,0.0409,19.2103,,,,
2026-06-12,1614992921147.9102,5.9617,,,,,9.2120,,,,,19.5323,,,,,5.9617,,,,,0.0403,19.5248,,,,
2026-06-11,1598854367679.0,5.9021,,,,,9.1200,,,,,19.3371,,,,,5.9021,,,,,0.0407,19.3297,,,,
2026-06-10,1594954113083.88,5.8877,,,,,9.0977,,,,,19.2899,,,,,5.8877,,,,,0.0408,19.2825,,,,
2026-06-09,1570102490856.0,5.7960,,,,,8.9560,,,,,18.9894,,,,,5.7960,,,,,0.0414,18.9821,,,,
2026-06-08,1578828060430.98,5.8282,,,,,9.0057,,,,,19.0949,,,,,5.8282,,,,,0.0412,19.0875,,,,
