date,metric,value
2026-03-31,长期负债合计,0
2026-03-31,负债合计,38782958470
2026-03-31,净利润率,0.4888
2026-03-31,总资产收益率(ROA),0.271
2026-03-31,净资产收益率(ROE),0.312
2026-03-31,资产负债率,0.1212
2026-03-31,营业收入,53909252221
2026-03-31,货币资金,1815791811750
2026-03-31,流动资产合计,0
2026-03-31,速动比率,5.4818
2026-03-31,自由现金流量,76791778179
2026-03-31,流动负债合计,3027195224
2026-03-31,经营活动产生的现金流量净额对净利润的比率,0.9292
2026-03-31,归属于母公司普通股股东的净利润,27242512886
2026-03-31,所有者权益合计,281135886436
2026-03-31,毛利率(GM),0.905
2026-03-31,有息负债率,0.053
2026-03-31,经营活动产生的现金流量净额,26909891269
2026-03-31,资产合计,319918844906
2026-03-31,流动比率,7.0607
2026-03-31,资本回报率(ROIC),0.2949
2026-03-31,基本每股收益,21.76
2026-03-31,应收账款,32344588
