date,经营活动产生的现金流量净额对净利润的比率,经营活动产生的现金流量净额,累积同比,自由现金流量
2026-03-31,0.9292,26909891269,2.0548,76791778179
2025-12-31,0.7212,61522204989,-0.3346,58394766023
2025-09-30,0.9253,38196802155,-0.1401,82152627800
2025-06-30,0.7404,13119061031,-0.6418,64217891701
2025-03-31,0.9985,8809195646,-0.0412,87302397774
2024-12-31,1.035,92463692168,0.3885,87785695822
2024-09-30,0.7117,44421386217,-0.1116,57487186292
2024-06-30,0.8736,36621833813,0.2052,70106313882
2024-03-31,0.8721,9187422415,0.7517,68050790926
2023-12-31,0.859,66593247721,0.8146,63998440185
2023-09-30,1.0461,50002007019,4.3163,72683972797
2023-06-30,0.9371,30387178195,2722.9042,62072306029
2023-03-31,0.7081,5244796294,1.7628,43830583940
2022-12-31,0.5614,36698595830,-0.4268,31392404562
2022-09-30,0.5873,9405337009,-0.7441,32888268126
2022-06-30,0.6978,-11163941,-1.0005,39059675406
2022-03-31,0.9955,-6876059094,-3.6307,55418992735
2021-12-31,1.1491,64028676147,0.2392,60622355089
2021-09-30,1.189,36752297356,0.4636,60584812713
2021-06-30,1.1731,21719470733,0.7209,57788919807
2021-03-31,0.9494,-1484892859,-1.6447,44795377443
2020-12-31,1.0433,51669068693,0.1429,49579795099
2020-09-30,0.9071,25111002820,-0.0807,40270273417
2020-06-30,0.7226,12620963440,-0.476,30756354398
2020-03-31,1.0089,2303109388,0.9367,43370705329
2019-12-31,1.0282,45210612633,0.0924,42061786052
2019-09-30,0.9269,27315401962,-0.0321,37861038783
2019-06-30,1.1338,24086920146,0.3582,45722221215
2019-03-31,0.9267,1189210085,-0.759,35997350036
2018-12-31,1.094,41385234407,0.8682,39778484181
2018-09-30,0.8063,28221285916,0.2385,26203054137
2018-06-30,0.9725,17735030962,1.5572,31592065377
2018-03-31,0.6641,4935500707,-0.1921,19587291361
2017-12-31,0.7637,22153036084,-0.4085,21028035342
2017-09-30,1.0671,22786767198,-0.2996,26701814262
2017-06-30,1.4945,6935360410,-0.4902,29779094628
2017-03-31,1.8753,6108975097,-0.1785,35164694340
2016-12-31,2.0887,37451249647,1.1479,36432163595
2016-09-30,2.183,32535332632,1.8481,37531196689
2016-06-30,1.4964,13603962284,1.7754,24865291735
