date,流动比率,有息负债率,应收账款,流动负债合计,负债合计,货币资金,长期负债合计,流动资产合计,资产合计,速动比率,所有者权益合计,资产负债率
2026-03-31,1.1499,0.385,43548712834,1129666584,216638429970,358907611789.86,22407472676,1150777450,325616587672,0.8853,108978157702,0.6653
2025-12-31,1.1107,0.3151,48438796114,931291965,202517443007,413179015751.64,16441982591,1138331189,306537675786,0.8562,104020232780,0.6607
2025-09-30,1.1503,0.3177,51738639976,837581682,201219454366,471060190053.68,16910745012,0,300261877912,0.8396,99042423546,0.6701
2025-06-30,1.2223,0.3779,30881042758,527665496,153630727553,251550942642.36,17208979419,0,244354584895,0.9514,90723857342,0.6287
2025-03-31,1.2528,0.3597,31344031159,366064911,149781232472,296346014466.45,22540024324,0,238103234479,0.9562,88322002008,0.6291
2024-12-31,1.2166,0.2742,32561098917,262507707,139140458018,295013390105.44,19619741635,0,223827584433,0.9348,84687126415,0.6216
2024-09-30,1.2221,0.2821,38356509675,365474214,135590512285,314051031796.94,17683962048,0,215083574490,0.8339,79493062205,0.6304
2024-06-30,1.2746,0.3257,24969276616,327572164,108794434518,283068416115.73,18680226463,0,182828401629,0.8995,74033967111,0.5951
2024-03-31,1.3877,0.3212,22744886149,337288422,97362620798,211105312715.33,18449217606,0,170459185301,1.001,73096564503,0.5712
2023-12-31,1.2591,0.2401,23504481889,243566923,91707234769,246685501721.1,12038771290,0,161992099596,0.855,70284864826,0.5661
2023-09-30,1.2964,0.2798,35825279423,160998882,105380774663,213136218092.28,14159150026,0,172332173877,0.8519,66951399214,0.6115
2023-06-30,1.3552,0.3133,20703721434,198596006,83899752904,231441558384.3,14706767877,0,147267750885,0.9507,63367997981,0.5697
2023-03-31,1.3198,0.2939,19160874005,221315224,85522680194,216122182156.51,15323817187,0,146457366475,0.8536,60934686281,0.5839
2022-12-31,1.183,0.1947,26043354859,501765453,89600449378,225916617254,9205313061,0,148384319075,0.6745,58783869697,0.6038
2022-09-30,1.1677,0.2296,32494345836,353142736,106211165981,208700789161.2,11650217326,0,160110842620,0.6905,53899676640,0.6634
2022-06-30,1.2072,0.2822,16097753809,155810782,81223222903,239417510123.04,12421184632,0,131355121967,0.7468,50131899064,0.6183
2022-03-31,1.1434,0.2787,18250869534,160733731,77190199205,224572356282,7422482085,0,125510269761,0.7259,48320070556,0.615
2021-12-31,1.1154,0.1687,31623185946,268506247,74789454618,347909079988.8,5025096193,0,120572098168,0.7867,45782643550,0.6203
2021-09-30,1.1685,0.2355,16822195284,200924211,63429034266,251698588151.67,5007565311,0,106206085193,0.7123,42777050927,0.5972
2021-06-30,1.2857,0.2995,18645522153,183955808,52433543721,323629726088,5896672368,0,92971383239,0.9025,40537839518,0.564
2021-03-31,1.3242,0.284,15892978533,212861162,51655808347,236701312363.03,6114247214,0,90051537784,0.885,38395729436,0.5736
2020-12-31,1.2918,0.1689,13839155340,152512971,39106153690,392659699964.92,1495199238,0,70012753552,0.8931,30906599862,0.5586
2020-09-30,1.1739,0.1494,13607333341,349704823,39160247376,398988555371.7,1586930532,0,65776702745,0.6935,26616455369,0.5954
2020-06-30,1.188,0.1529,11532044280,319210820,29266564908,358621780471.5,1327886196,0,53680722422,0.8523,24414157514,0.5452
2020-03-31,1.215,0.1829,8982621069,0,30092477135,204732810914.4,1463485022,276961151,53285261466,0.8178,23192784332,0.5647
2019-12-31,1.237,0.1235,13243625572,0,27628207377,195238563510,1562908824,0,49377910671,0.9187,21749703295,0.5595
2019-09-30,1.2649,0.1468,10520946689,0,25987299582,143139286562.4,2048982231,0,45651102993,0.8151,19663803411,0.5693
2019-06-30,1.2936,0.178,8871023437,0,20696706561,102001348488.8,1631650797,0,38700662451,0.9596,18003955890,0.5348
2019-03-31,1.3357,0.2343,8637982054,0,19477114005,102042494656,1520618193,0,36779710273,1.0095,17302596268,0.5296
2018-12-31,1.3434,0.1986,11131003920,0,19766604273,57851511083.2,1499295099,0,36441441236,1.0624,16674836964,0.5424
2018-09-30,1.2781,0.2049,8719667144,0,19292608770,63447389822.4,1380809826,0,34742664279,0.9152,15450055510,0.5553
2018-06-30,1.4243,0.202,5466038814,0,14008818105,71518567988,1245798125,0,28814446115,1.0806,14805628010,0.4862
2018-03-31,1.5313,0.2001,4596033671,0,12043946266,76722225996,867951839,0,26502301359,1.1705,14458355093,0.4544
2017-12-31,1.4833,0.1955,7080023665,0,12960986534,74374233968,706017964,0,26885884292,1.1761,13924897759,0.4821
2017-09-30,1.455,0.1794,5385984450,0,11197735499,65553399052,439312290,0,24174191812,1.0339,12976456312,0.4632
2017-06-30,1.6363,0.1503,4230538133,0,8897131178,61990514341.2,188234887,0,21734174219,1.2645,12837043041,0.4094
2017-03-31,1.7565,0.1483,3730082681,0,7872677728,53637483339,77620971,0,20332443038,1.4316,12459765310,0.3872
2016-12-31,1.6898,0.1507,4720842808,0,8824903214,43991216572.5,84370187,0,20954806393,1.4354,12129903179,0.4211
2016-09-30,1.7183,0.1837,4230464211,0,8479165982,38134150426.8,145758464,0,20062037504,1.4491,11582871522,0.4226
