date,归属于母公司普通股股东的净利润,累积同比,基本每股收益,营业收入
2026-03-31,3659643487,0.2024,0.5,83888491960
2025-12-31,16599769786,0.242,2.29,332344443143
2025-09-30,11518291165,0.2692,1.59,220914627539
2025-06-30,6644272049,0.2313,0.92,124503174116
2025-03-31,3043574685,0.2317,0.42,61787689863
2024-12-31,13365651026,0.2203,1.86,268794737613
2024-09-30,9074954476,0.2306,1.26,177176884792
2024-06-30,5396162859,0.2389,0.75,103597974358
2024-03-31,2471024667,0.2245,0.35,52406775585
2023-12-31,10952656702,0.1953,1.54,231905459830
2023-09-30,7374174505,0.1522,1.03,155874816160
2023-06-30,4355725932,0.1511,0.61,97971180910
2023-03-31,2017931636,0.119,0.25,49942325179
2022-12-31,9163104850,0.296,1.29,214028394291
2022-09-30,6400275270,0.3648,0.9,145252251920
2022-06-30,3784030806,0.2249,0.53,81961159841
2022-03-31,1803320580,0.3363,0.25,41599710846
2021-12-31,7070520387,-0.0214,1.01,153946097790
2021-09-30,4689661384,0.0021,0.67,81012583278
2021-06-30,3089230029,0.2173,0.44,48146984452
2021-03-31,1349512048,0.3744,0.19,21019011536
2020-12-31,7225462753,0.5328,1.03,92501259212
2020-09-30,4679614065,0.6206,0.67,59528120290
2020-06-30,2537774758,0.6901,0.36,36451626149
2020-03-31,981870191,0.594,0.18,16513283461
2019-12-31,4713820645,0.7313,0.88,62516314588
2019-09-30,2887521927,0.7426,0.54,37836138416
2019-06-30,1501538959,0.8182,0.36,21440739020
2019-03-31,615974847,0.8504,0.15,9018704606
2018-12-31,2722631125,0.6105,0.66,35849964160
2018-09-30,1657040101,0.5312,0.4,22131220384
2018-06-30,825827923,0.2111,0.26,12025732572
2018-03-31,332884236,0.1051,0.11,5403603789
2017-12-31,1690568104,0.4618,0.53,22826099790
2017-09-30,1082163727,0.5898,0.34,13898499286
2017-06-30,681898443,0.7007,0.32,8286859132
2017-03-31,301217842,0.5117,0.14,3932532111
2016-12-31,1156533485,0.0723,0.6,13762595894
2016-09-30,680683882,0.043,0.36,8416370697
