date,资产负债率,速动比率,资产合计,流动负债合计,负债合计,流动资产合计,长期负债合计,所有者权益合计,流动比率,有息负债率
2026-03-31,0.3328,1.8956,49364664238,80754057,16427467378,0,635000000,32937196859,2.3061,0.0818
2025-12-31,0.3515,1.8222,49406130604,76166829,17365901101,0,862696972,32040229503,2.1947,0.0823
2025-09-30,0.3425,1.9561,48514006972,77655114,16615440348,0,1080000000,31898566624,2.3092,0.0885
2025-06-30,0.368,1.8475,46382830588,64220931,17071173847,0,1509000000,29311656741,2.1897,0.0996
2025-03-31,0.4491,1.2703,37160724315,56611577,16687249119,0,1762192864,20473475196,1.6499,0.1228
2024-12-31,0.4631,1.2368,36354748426,49461723,16835104903,0,2045772595,19519643523,1.6358,0.124
2024-09-30,0.458,1.2733,34466685789,55601527,15785853974,0,2115000000,18680831815,1.6346,0.1305
2024-06-30,0.4484,1.3294,33100790488,62714790,14841907597,0,2220000000,18258882891,1.728,0.1253
2024-03-31,0.4342,1.3396,32560632194,76934329,14137801306,0,1901496111,18422830888,1.7955,0.1266
2023-12-31,0.4336,1.2977,31890584773,51788802,13826877149,0,1030801111,18063707624,1.6983,0.1229
2023-09-30,0.4258,1.315,30333179933,101697466,12915545629,0,600466667,17417634304,1.6895,0.1313
2023-06-30,0.5172,1.337,29158975279,86674142,15080713995,0,660544809,14078261285,1.7214,0.2284
2023-03-31,0.5143,1.4198,28516934067,77557509,14666613706,0,930776250,13850320361,1.8509,0.2327
2022-12-31,0.5308,1.5126,27961214156,57955081,14841913965,0,1801574167,13119300191,1.9835,0.2393
2022-09-30,0.5383,1.5095,26330760575,110836459,14173392582,0,1801603444,12157367993,1.9733,0.2536
2022-06-30,0.5358,1.5474,25411743394,93619937,13616794992,0,1642149418,11794948401,2.0135,0.2593
2022-03-31,0.5183,1.5955,24290576720,75958017,12590131009,0,1271792417,11700445711,2.0995,0.2551
2021-12-31,0.5236,1.5375,23619966760,79816249,12367376151,0,801461959,11252590609,1.9843,0.2588
2021-09-30,0.5043,1.7002,21880787723,63311704,11034236087,0,757811696,10846551636,2.149,0.2501
2021-06-30,0.4981,1.8239,21007499312,44096561,10462868099,0,917425692,10544631213,2.2879,0.2403
2021-03-31,0.4052,1.6356,17701840826,37554923,7172054141,0,1234274674,10529786685,2.1781,0.1242
2020-12-31,0.4039,1.9475,17032530730,42581608,6879777959,0,1707918995,10152752771,2.4504,0.1309
2020-09-30,0.3977,2.1096,16106524886,0,6405850836,0,1755505385,9700674051,2.5783,0.1613
2020-06-30,0.3823,1.9707,15540725157,0,5940580202,0,1259113765,9600144955,2.4282,0.1631
2020-03-31,0.36,1.8755,14969285982,0,5389384085,0,867506440,9579901897,2.3908,0.1315
2019-12-31,0.3668,1.6582,14790190171,0,5424771705,0,392882280,9365418466,2.1348,0.1292
2019-09-30,0.3645,1.6057,14249503864,0,5194464661,0,112430100,9055039203,1.9965,0.1385
2019-06-30,0.3763,1.5162,13912414966,0,5235712985,0,2000000,8676701981,1.8859,0.134
2019-03-31,0.3684,1.5676,13953269252,0,5139982657,0,2000000,8813286595,1.9582,0.1353
2018-12-31,0.3755,1.5879,13932172479,0,5232095807,0,222000000,8700076672,2.0211,0.1305
2018-09-30,0.3791,1.5896,13611808730,0,5159964444,0,222000000,8451844285,2.0111,0.1432
2018-06-30,0.3614,1.7843,12999887008,0,4698584474,0,452000000,8301302534,2.239,0.1248
2018-03-31,0.3587,1.8488,12733600622,0,4567285140,0,554000000,8166315482,2.364,0.1254
2017-12-31,0.3582,1.8305,12347966593,0,4422721229,0,485429883,7925245364,2.3393,0.1082
2017-09-30,0.3476,2.0983,11792184385,0,4098861791,0,689140750,7693322594,2.593,0.1145
2017-06-30,0.3942,1.5903,8851037557,0,3489031700,0,365114000,5362005858,2.0071,0.1298
2017-03-31,0.3586,1.6468,8665886377,0,3107766332,0,204732750,5558120045,2.1103,0.1079
2016-12-31,0.361,1.6681,8398642646,0,3032203857,0,272936934,5366438789,2.1495,0.111
2016-09-30,0.3633,1.7338,8204124080,0,2980792444,0,337920000,5223331636,2.1776,0.1339
2016-06-30,0.3902,1.7115,8098439649,0,3160219233,0,504812500,4938220416,2.1363,0.1635
