date,资本回报率(ROIC),净资产收益率(ROE),毛利率(GM),净利润率,总资产收益率(ROA)
2026-03-31,0.1376,0.1548,0.2901,0.1329,0.0956
2025-12-31,0.1413,0.1593,0.2878,0.1324,0.0958
2025-09-30,0.1426,0.1614,0.2779,0.1299,0.0984
2025-06-30,0.1378,0.1567,0.2782,0.1221,0.0938
2025-03-31,0.149,0.1743,0.2739,0.1162,0.0972
2024-12-31,0.1419,0.1656,0.2747,0.1113,0.0912
2024-09-30,0.1429,0.1693,0.2803,0.1169,0.0943
2024-06-30,0.1476,0.1881,0.2868,0.1183,0.0977
2024-03-31,0.1457,0.1841,0.282,0.1174,0.0973
2023-12-31,0.1495,0.1882,0.2789,0.1195,0.098
2023-09-30,0.1674,0.2134,0.2776,0.1277,0.1114
2023-06-30,0.1653,0.2325,0.2674,0.1268,0.1102
2023-03-31,0.1555,0.2162,0.2655,0.1243,0.1046
2022-12-31,0.1517,0.214,0.2608,0.1222,0.1011
2022-09-30,0.1277,0.1776,0.2438,0.1027,0.0847
2022-06-30,0.1218,0.1686,0.2431,0.1018,0.0811
2022-03-31,0.1277,0.1615,0.2471,0.1031,0.0855
2021-12-31,0.1231,0.1593,0.2568,0.1064,0.0839
2021-09-30,0.1241,0.1643,0.284,0.1108,0.0888
2021-06-30,0.1248,0.1657,0.2906,0.1154,0.0913
2021-03-31,0.1386,0.1617,0.2977,0.1247,0.0995
2020-12-31,0.1293,0.151,0.2981,0.1217,0.0926
2020-09-30,0.131,0.1573,0.2956,0.131,0.0972
2020-06-30,0.1269,0.1517,0.294,0.1287,0.0941
2020-03-31,0.1286,0.1504,0.2999,0.1259,0.0957
2019-12-31,0.1359,0.1587,0.296,0.127,0.0998
2019-09-30,0.1314,0.1519,0.2918,0.1188,0.0955
2019-06-30,,0.1548,0.2892,0.1186,0.0976
2019-03-31,,0.1556,0.28,0.1196,0.099
2018-12-31,0.1369,0.1577,0.2859,0.121,0.0998
2018-09-30,,0.1605,0.2896,0.1215,0.102
2018-06-30,,0.2072,0.3042,0.1299,0.1295
2018-03-31,,0.1937,0.3119,0.1291,0.1242
2017-12-31,,0.1882,0.3123,0.1306,0.1206
2017-09-30,,0.1824,0.3081,0.1337,0.1178
2017-06-30,,0.1903,0.2977,0.1284,0.1156
2017-03-31,,0.174,0.2928,0.127,0.1085
2016-12-31,,0.1714,0.2977,0.1273,0.1049
2016-09-30,,0.1638,0.2948,0.1184,0.097
2016-06-30,,0.1691,0.2896,0.1102,0.096
