date,应收账款,有息负债率,所有者权益合计,流动比率,长期负债合计,负债合计,流动资产合计,流动负债合计,资产合计,货币资金,资产负债率,速动比率
2026-03-31,1565418634,0.3353,45821336061,0.5655,13569636481,39442912365,2677334386,433175541,85264248426,132099449892.72,0.4626,0.379
2025-12-31,1385342362,0.3462,43754793436,0.4717,12802925353,38300086643,1901747234,356271207,82054880079,72509355747.96,0.4668,0.3287
2025-09-30,1102845938,0.3577,41524900129,0.439,11592839460,36435489944,1273119269,314767242,77960390073,71701901897.76,0.4674,0.3215
2025-06-30,1553464737,0.3688,41199905019,0.5621,11802411861,36680433222,1160450294,369402678,77880338241,50546611022.52,0.471,0.4474
2025-03-31,1402970119,0.3404,41458166643,0.6282,12826790240,30968864182,1086095123,336698451,72427030825,53097617421.56,0.4276,0.4766
2024-12-31,1148128947,0.3421,40849185975,0.592,11792643670,29770122377,1238234882,299538911,70619308352,52201798722.73,0.4216,0.4302
2024-09-30,1250409403,0.342,38086775994,0.5746,10883675532,27826666242,834327766,483270963,65913442236,65476203078.12,0.4222,0.4264
2024-06-30,1474575556,0.328,38450782659,0.7646,11645045412,28873899868,1352765751,475786215,67324682527,68815163682.85,0.4289,0.5703
2024-03-31,1544464016,0.3053,39086271189,0.9368,11880607757,24485985186,1419319924,511724955,63572256375,64824698569.88,0.3852,0.6794
2023-12-31,1156820866,0.3247,37339081186,0.8847,12140255542,25055580328,1503257600,338007970,62394661514,47885581355.64,0.4016,0.6342
2023-09-30,1700964229,0.3306,36766455829,1.0906,14014920937,24721992115,921577489,468876334,61488447944,52363613128.19,0.4021,0.8266
2023-06-30,1665867315,0.3463,35799359008,1.3095,16100437273,25605162216,1340660950,453697045,61404521224,47050987598.43,0.417,0.9701
2023-03-31,1851382890,0.3656,34301486900,1.5033,17072487414,26944063583,1190070282,525874134,61245550483,56965012619.17,0.4399,1.2221
2022-12-31,1181206334,0.4195,33500020065,1.9977,22229927570,31969934305,1844402470,436124623,65469954370,45425737595.03,0.4883,1.6078
2022-09-30,1814358135,0.4306,32590491832,1.8515,22848996034,33568884820,1480226391,465664786,66159376652,57685010292.7,0.5074,1.4647
2022-06-30,1548590508,0.4375,30098899222,1.952,23774258973,34223782382,1409024644,674297324,64322681604,46701168773.76,0.5321,1.5527
2022-03-31,1520181226,0.4569,28220868686,1.4455,19790609743,32354816232,1181884492,537538554,60575684918,38269013300.72,0.5341,1.1796
2021-12-31,1169356276,0.4656,26883352747,1.1538,18094438011,33252182864,972986965,721349780,60135535611,33242151384.1,0.553,0.9559
2021-09-30,1109714795,0.4892,26597918613,1.1289,16934026793,31508132308,911709195,522172226,58106050922,44671969937.04,0.5423,0.9347
2021-06-30,1006247510,0.4923,26011173605,1.0681,16724910610,31817223900,1088124842,570729361,57828397505,37367225912.94,0.5502,0.8573
2021-03-31,1110586107,0.511,26407203232,1.4336,21419827548,34612358130,1019946817,365663834,61019561362,35183426995.08,0.5672,1.2031
2020-12-31,1210836970,0.4939,26004136455,1.6346,22458821721,32630532686,855276538,539038910,58634669141,38081678644.1,0.5565,1.3755
2020-09-30,1441425883,0.4436,28113133302,1.4633,22873593066,35332010880,1143819124,479684996,63445144182,38823091856.64,0.5569,1.2358
2020-06-30,2008895510,0.4535,27958229460,1.3648,23945768242,37428691768,1882529769,536051114,65386921228,39294900241.3,0.5724,1.0928
2020-03-31,1799632753,0.4584,26874469027,0.9915,20538452827,37016862605,1529961025,544796772,63891331632,43069367502.9,0.5794,0.7763
2019-12-31,2663392831,0.4723,25748790778,1.1313,17863225086,29068852897,0,0,54817643675,50110220571.6,0.5303,0.9786
2019-09-30,2144184387,0.5382,21264764235,0.5998,15783320595,31943614215,0,0,53208378451,28937742388.2,0.6003,0.5046
2019-06-30,2008163133,0.539,20478505191,0.5628,14150592419,31850625853,0,0,52329131044,26450431197.6,0.6087,0.4582
2019-03-31,2085770269,0.5158,20291566229,0.6482,15422044102,31368662328,0,0,51660228557,29605069780.8,0.6072,0.5369
2018-12-31,2046952996,0.4841,20326816571,0.5531,12833801763,29628736795,0,0,49955553366,22385800715.4,0.5931,0.4624
2018-09-30,1542484054,0.4914,19587794758,0.5289,12060852954,28786433554,0,0,48374228312,22567799095.2,0.5951,0.4565
2018-06-30,551168139,0.4904,19502125836,0.7839,10484195783,20573659891,430273277,18890956,40075785727,19131043777.1,0.5134,0.6655
2018-03-31,376628177,0.4749,18643692935,1.0339,11237703819,18391333610,532861267,48950652,37035026545,19713984169.2,0.4966,0.8715
2017-12-31,924433179,0.4695,19266356943,1.306,12765493316,18524533834,0,0,37790890777,23264621102.9,0.4902,1.1974
2017-09-30,816445345,0.4752,19608976451,1.5731,13984444285,19217608413,0,0,38826584864,26232317644.5,0.495,1.4575
2017-06-30,819696465,0.4786,21315641788,1.8911,14814867038,21066099185,0,0,42381740973,27345203847.6,0.4971,1.7878
2017-03-31,870707846,0.4353,21395503734,1.9704,13434237144,17726854532,0,0,39122358266,28776057537.3,0.4531,1.8231
2016-12-31,839904669,0.4404,20971722211,2.0871,13562206925,17644899946,0,0,38616622157,26179323063.4,0.4569,1.9721
2016-09-30,863574936,0.4214,20428426872,3.1824,13641535369,15995269720,0,0,36423696591,27027236361,0.4391,2.9668
