date,metric,value
2026-03-31,流动负债合计,54424433000
2026-03-31,资产合计,902076965000
2026-03-31,经营活动产生的现金流量净额对净利润的比率,1.8831
2026-03-31,应收账款,44222213000
2026-03-31,流动比率,0.8154
2026-03-31,资本回报率(ROIC),0.0888
2026-03-31,资产负债率,0.7094
2026-03-31,归属于母公司普通股股东的净利润,4084551000
2026-03-31,基本每股收益,0.448
2026-03-31,毛利率(GM),0.1744
2026-03-31,所有者权益合计,262120423000
2026-03-31,长期负债合计,60570442000
2026-03-31,货币资金,959585043716.25
2026-03-31,营业收入,150225314000
2026-03-31,经营活动产生的现金流量净额,2790305000
2026-03-31,速动比率,0.4703
2026-03-31,负债合计,639956542000
2026-03-31,流动资产合计,928185000
2026-03-31,有息负债率,0.1667
2026-03-31,净资产收益率(ROE),0.1115
2026-03-31,自由现金流量,-86038596000
2026-03-31,净利润率,0.0361
2026-03-31,总资产收益率(ROA),0.0325
