date,经营活动产生的现金流量净额对净利润的比率,自由现金流量,经营活动产生的现金流量净额,累积同比
2026-03-31,1.8831,-86038596000,2790305000,-0.6748
2025-12-31,1.7516,-95574651000,59135544000,-0.5569
2025-09-30,2.9826,-22399316000,40845498000,-0.2742
2025-06-30,3.4727,22579628000,31833471000,1.2452
2025-03-31,2.8492,24620227000,8580961000,-0.161
2024-12-31,3.209,37162121000,133453873000,-0.2137
2024-09-30,3.6336,38110942000,56273315000,-0.425
2024-06-30,2.9965,-910258000,14178310000,-0.827
2024-03-31,5.213,49998576000,10227984000,-0.2929
2023-12-31,5.4149,48102309000,169725025000,0.2051
2023-09-30,4.9137,13908124000,97860288000,0.075
2023-06-30,7.1224,52685454000,81971177000,0.8981
2023-03-31,6.7718,27369778000,14465699000,0.2122
2022-12-31,7.951,43649032000,140837657000,1.1513
2022-09-30,11.6923,44162448000,91036733000,1.8562
2022-06-30,16.253,36799604000,43185167000,3.4627
2022-03-31,17.6884,31498111000,11933340000,83.1229
2021-12-31,16.5017,28949462000,65466682000,0.4422
2021-09-30,11.0245,25993761000,31873711000,0.112
2021-06-30,7.265,24050678000,9676845000,-0.3772
2021-03-31,6.5429,28799161000,141856000,-0.9713
2020-12-31,7.5479,33877551000,45392668000,2.0793
2020-09-30,7.72,25550683000,28663476000,6.4787
2020-06-30,11.333,17312553000,15538447000,8.5265
2020-03-31,12.4212,-5665000,4948683000,11.1326
2019-12-31,6.9571,-5473034000,14741007000,0.1771
2019-09-30,2.9366,-10603030000,3832666000,-0.4237
2019-06-30,2.7863,-5254368000,-2064503000,-0.417
2019-03-31,3.1452,-1520682000,407884000,3.4975
2018-12-31,3.5214,-1383407000,12522909000,0.9035
2018-09-30,3.4217,-831929000,6650351000,8.555
2018-06-30,2.2701,-7804935000,-1606579000,0.537
2018-03-31,1.9475,-6744226000,-217952000,0.9099
2017-12-31,1.2951,-8194859000,6367887000,4.4504
2017-09-30,0.3379,-12321068000,696008000,1.246
2017-06-30,-0.751,-17280951000,-3470247000,-1.4293
2017-03-31,-0.5613,-16434330000,-2418308000,-0.9295
2016-12-31,-0.3368,-14702380000,-1845571000,-1.4804
2016-09-30,0.5184,-10147131000,-2828936000,-0.8358
