date,净资产收益率(ROE),资本回报率(ROIC),净利润率,总资产收益率(ROA),毛利率(GM)
2026-03-31,0.1115,0.0888,0.0361,0.0325,0.1744
2025-12-31,0.1477,0.1166,0.042,0.0405,0.1774
2025-09-30,0.1853,0.1446,0.047,0.0475,0.1759
2025-06-30,0.2179,0.1897,0.0514,0.0568,0.1861
2025-03-31,0.2307,0.1982,0.0562,0.0609,0.192
2024-12-31,0.2382,0.1998,0.0535,0.0569,0.1944
2024-09-30,0.2276,0.1898,0.0517,0.0508,0.2089
2024-06-30,0.2387,0.2015,0.0529,0.0533,0.2088
2024-03-31,0.2259,0.1849,0.0523,0.0518,0.2102
2023-12-31,0.2306,0.1923,0.052,0.0534,0.2021
2023-09-30,0.237,0.1999,0.0519,0.0573,0.1957
2023-06-30,0.2131,0.1773,0.0473,0.0538,0.1866
2023-03-31,0.1829,0.1498,0.0443,0.049,0.1789
2022-12-31,0.157,0.1331,0.0418,0.0449,0.1704
2022-09-30,0.1046,0.0843,0.0315,0.0314,0.1531
2022-06-30,0.0623,0.0545,0.0221,0.0214,0.1337
2022-03-31,0.0449,0.0422,0.0181,0.0162,0.1292
2021-12-31,0.047,0.0438,0.0184,0.016,0.1302
2021-09-30,0.0554,0.0474,0.0224,0.0197,0.1392
2021-06-30,0.0695,0.0563,0.0291,0.0259,0.1609
2021-03-31,0.0817,0.0616,0.0349,0.0299,0.1801
2020-12-31,0.0947,0.0688,0.0384,0.0303,0.1938
2020-09-30,0.0787,0.0605,0.0369,0.026,0.1984
2020-06-30,0.0441,0.0424,0.0226,0.0144,0.1746
2020-03-31,0.0249,0.0356,0.0133,0.008,0.1581
2019-12-31,0.0344,0.04,0.0166,0.0109,0.1629
2019-09-30,0.054,0.06,0.0245,0.0169,0.1613
2019-06-30,0.0712,0.0629,0.0314,0.0221,0.1692
2019-03-31,0.0684,,0.0308,0.0219,0.1686
2018-12-31,0.0589,0.0507,0.0273,0.0191,0.164
2018-09-30,0.0607,,0.0298,0.0202,0.1659
2018-06-30,0.0622,,0.0315,0.021,0.1705
2018-03-31,0.0755,,0.0401,0.0268,0.1821
2017-12-31,0.0852,,0.0464,0.0304,0.1901
2017-09-30,0.0876,,0.0475,0.0333,0.1951
2017-06-30,0.1079,,0.05,0.0376,0.2014
2017-03-31,0.1151,,0.0515,0.0415,0.2075
2016-12-31,0.1199,,0.053,0.0421,0.2036
2016-09-30,0.1129,,0.0472,0.041,0.194
