日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PS-TTM,PS-TTM 分位点,PS-TTM 80%分位点值,PS-TTM 50%分位点值,PS-TTM 20%分位点值
2026-07-03,=36.8300,=36.8300,=36.8300,=36.8300,=928846913484.83,=759764023320.0,=580615557650.23,,=2.7261,,,,
2026-07-02,=36.6000,=36.6000,=36.6000,=36.6000,=923046348996.6,=755019366101.0,=576989666304.6,,=2.7091,,,,
2026-07-01,=35.9100,=35.9100,=35.9100,=35.9100,=905644655531.91,=740785394445.0,=566111992267.71,,=2.6580,,,,
2026-06-30,=35.5000,=35.5000,=35.5000,=35.5000,=895304518835.5,=732327527230.0,=559648446825.5,,=2.6277,,,,
2026-06-29,=36.4200,=36.4200,=36.4200,=36.4200,=918506776788.42,=751306156104.0,=574152012208.02,,=2.6958,,,,
2026-06-26,=36.0000,=36.0000,=36.0000,=36.0000,=907914441636.0,=742641999444.0,=567530819316.0,,=2.6647,,,,
2026-06-25,=36.2300,=36.2300,=36.2300,=36.2300,=913715006124.23,=747386656663.0,=571156710661.63,,=2.6817,,,,
2026-06-24,=36.7600,=36.7600,=36.7600,=36.7600,=927081524292.76,=758319997210.0,=579512025501.5599,,=2.7209,,,,
2026-06-23,=37.4000,=37.4000,=37.4000,=37.4000,=943222225477.4,=771522521645.0,=589601462289.4,,=2.7683,,,,
2026-06-22,=37.6500,=37.6500,=37.6500,=37.6500,=949527186877.65,=776679757752.0,=593542648534.65,,=2.7868,,,,
2026-06-18,=37.2600,=37.2600,=37.2600,=37.2600,=939691447093.26,=768634469425.0,=587394397992.0599,,=2.7579,,,,
2026-06-17,=38.2300,=38.2300,=38.2300,=38.2300,=964154697326.23,=788644545521.0,=602686200623.63,,=2.8297,,,,
2026-06-16,=38.5700,=38.5700,=38.5700,=38.5700,=972729444830.57,=795658386627.0,=608046213917.17,,=2.8549,,,,
2026-06-15,=38.9500,=38.9500,=38.9500,=38.9500,=982312986158.95,=803497385510.0,=614036817009.9501,,=2.8830,,,,
2026-06-12,=39.3400,=39.3400,=39.3400,=39.3400,=992148725943.34,=811542673837.0,=620185067552.54,,=2.9119,,,,
2026-06-11,=38.7300,=38.7300,=38.7300,=38.7300,=976764620126.73,=798959017735.0,=610568573114.13,,=2.8668,,,,
2026-06-10,=38.9000,=38.9000,=38.9000,=38.9000,=981051993878.9,=802465938288.0,=613248579760.9,,=2.8793,,,,
2026-06-09,=38.4900,=38.4900,=38.4900,=38.4900,=970711857182.49,=794008071072.0,=606785034318.6901,,=2.8490,,,,
2026-06-08,=38.5000,=38.5000,=38.5000,=38.5000,=970964055638.5,=794214360517.0,=606942681768.5,,=2.8497,,,,
2026-06-05,=38.5800,=38.5800,=38.5800,=38.5800,=972981643286.58,=795864676071.0,=608203861366.98,,=2.8557,,,,
