date,营业收入,累积同比,基本每股收益,归属于母公司普通股股东的净利润
2026-03-31,86940000000,0.0381,1.49,37852000000
2025-12-31,337532000000,0.0001,5.7,150181000000
2025-09-30,251420000000,-0.0051,4.43,113772000000
2025-06-30,169969000000,-0.0172,2.89,74930000000
2025-03-31,83751000000,-0.0309,1.48,37286000000
2024-12-31,337488000000,-0.0048,5.66,148391000000
2024-09-30,252709000000,-0.0291,4.41,113184000000
2024-06-30,172945000000,-0.0309,2.89,74743000000
2024-03-31,86417000000,-0.0465,1.51,38077000000
2023-12-31,339123000000,-0.0164,5.63,146602000000
2023-09-30,260279000000,-0.0172,4.44,113890000000
2023-06-30,178460000000,-0.0035,2.93,75752000000
2023-03-31,90636000000,-0.0147,1.54,38839000000
2022-12-31,344783000000,0.0408,5.26,138012000000
2022-09-30,264833000000,0.0534,4.15,106922000000
2022-06-30,179091000000,0.0613,2.67,69420000000
2022-03-31,91990000000,0.0854,1.43,36022000000
2021-12-31,331253000000,0.1404,4.61,119922000000
2021-09-30,251410000000,0.1354,3.62,93615000000
2021-06-30,168749000000,0.1375,2.35,61150000000
2021-03-31,84751000000,0.1064,1.27,32015000000
2020-12-31,290482000000,0.077,3.79,97342000000
2020-09-30,221430000000,0.066,3.02,76603000000
2020-06-30,148353000000,0.0727,1.97,49788000000
2020-03-31,76603000000,0.1144,1.1,27795000000
2019-12-31,269703000000,0.0851,3.62,92867000000
2019-09-30,207730000000,0.1036,3.05,77239000000
2019-06-30,138301000000,0.0964,2.01,50612000000
2019-03-31,68739000000,0.1214,1,25240000000
2018-12-31,248555000000,0.1252,3.13,80560000000
2018-09-30,188221000000,0.1321,2.66,67380000000
2018-06-30,126146000000,0.1175,1.77,44756000000
2018-03-31,61296000000,0.072,0.9,22674000000
2017-12-31,220897000000,0.0533,2.78,70150000000
2017-09-30,165703000000,0.0338,2.33,58805000000
2017-06-30,112666000000,-0.0022,1.56,39259000000
2017-03-31,57075000000,-0.0202,0.79,19977000000
2016-12-31,209025000000,0.0375,2.46,62081000000
2016-09-30,160291000000,0.026,2.07,52142000000
