date,经营活动产生的现金流量净额对净利润的比率,经营活动产生的现金流量净额,累积同比,自由现金流量
2026-03-31,1.4266,3734648413,2.9392,14241368781
2025-12-31,1.2458,14343920490,-0.3402,11403935891
2025-09-30,2.1623,9399863343,-0.3223,14168279416
2025-06-30,2.3847,2964215363,-0.4434,15966387788
2025-03-31,2.7395,948079883,-0.5819,17030156053
2024-12-31,2.5686,21739740393,0.1886,17897939261
2024-09-30,1.7316,13869612283,0.1846,15462168756
2024-06-30,1.5251,5325543661,-0.1142,11950268853
2024-03-31,1.5272,2267600205,0.7699,12805346475
2023-12-31,1.7785,18290357651,0.3629,11397753446
2023-09-30,1.5283,11708284111,0.3193,9795305861
2023-06-30,1.4644,6011805326,0.0871,7206602881
2023-03-31,1.5127,1281223901,1.9025,8202064412
2022-12-31,1.4402,13420320580,-0.1357,7470639558
2022-09-30,1.359,8874706465,-0.2854,5848964274
2022-06-30,1.5412,5529910822,-0.1274,8666066986
2022-03-31,1.5773,441419297,-0.6065,8331394464
2021-12-31,1.7782,15527519680,0.5761,8883562498
2021-09-30,1.5912,12418665062,0.5691,8062286681
2021-06-30,1.4393,6337063460,0.7027,6266508272
2021-03-31,1.553,1121729589,1.4228,6958690141
2020-12-31,1.3878,9851639165,0.1651,3351406795
2020-09-30,1.384,7914554527,0.2759,3152413703
2020-06-30,1.2175,3721859265,-0.0115,734410719
2020-03-31,0.7647,-2652825692,-2.9651,-3892141137
2019-12-31,1.2165,8455480282,-0.0196,-753138713
2019-09-30,1.001,6202913592,-0.2023,-1972679385
2019-06-30,1.048,3765135993,-0.2873,-327356020
2019-03-31,1.2533,1349987110,-0.1917,2457288315
2018-12-31,1.3368,8624771800,0.231,3581339861
2018-09-30,1.3181,7775597727,0.1578,3853216997
2018-06-30,1.5499,5282697539,0.8673,5313912165
2018-03-31,1.4446,1670064865,4.1533,5186346373
2017-12-31,1.1672,7006297179,-0.4534,3727739770
2017-09-30,1.1662,6715718945,-0.454,3980801321
2017-06-30,1.4007,2829076524,-0.6229,4782505940
2017-03-31,1.9358,-529628984,-1.548,7966321166
2016-12-31,2.2609,12817325815,0.344,9421194505
2016-09-30,2.2968,12299081131,0.3051,8992146110
2016-06-30,2.1033,7501869692,0.2306,7322877700
