日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值
2026-07-03,=1116.0000,=1116.0000,=1116.0000,=1116.0000,=1244601859356.0,=1238692792248.0,=1020389485536.0,,=83.7585,,,,
2026-07-02,=1143.0000,=1143.0000,=1143.0000,=1143.0000,=1274713194663.0,=1268661166254.0,=1045076327928.0,,=85.7849,,,,
2026-07-01,=1223.1700,=1223.1700,=1223.1700,=1223.1700,=1364121555831.97,=1357645038256.0,=1118377963282.32,,=91.8018,,,,
2026-06-30,=1270.0000,=1270.0000,=1270.0000,=1270.0000,=1416347994070.0,=1409623518060.0,=1161195919920.0,,=95.3165,,,,
2026-06-29,=1220.0000,=1220.0000,=1220.0000,=1220.0000,=1360586262020.0,=1354126529160.0,=1115479545120.0,,=91.5639,,,,
2026-06-26,=1253.8900,=1253.8900,=1253.8900,=1253.8900,=1398381564003.49,=1391742388236.0,=1146466103959.4402,,=94.1074,,,,
2026-06-25,=1323.4000,=1323.4000,=1323.4000,=1323.4000,=1475901523899.4,=1468894302205.0,=1210021008206.4,,=99.3243,,,,
2026-06-24,=1312.1800,=1312.1800,=1312.1800,=1312.1800,=1463388591227.38,=1456440777896.0,=1199762253701.28,,=98.4822,,,,
2026-06-23,=1310.0100,=1310.0100,=1310.0100,=1310.0100,=1460968532056.41,=1454032208578.0,=1197778163034.96,,=98.3194,,,,
2026-06-22,=1382.3300,=1382.3300,=1382.3300,=1382.3300,=1541622301293.53,=1534303053323.0,=1263902327545.68,,=103.7472,,,,
2026-06-18,=1367.8800,=1367.8800,=1367.8800,=1367.8800,=1525507160731.08,=1518264423531.0,=1250690295228.48,,=102.6627,,,,
2026-06-17,=1276.1100,=1276.1100,=1276.1100,=1276.1100,=1423162077726.51,=1416405250104.0,=1166782460920.5598,,=95.7751,,,,
2026-06-16,=1248.0900,=1248.0900,=1248.0900,=1248.0900,=1391913203085.69,=1385304737524.0,=1141163004482.64,,=93.6721,,,,
2026-06-15,=1245.0000,=1245.0000,=1245.0000,=1245.0000,=1388467128045.0,=1381875023610.0,=1138337732520.0,,=93.4402,,,,
2026-06-12,=1149.0000,=1149.0000,=1149.0000,=1149.0000,=1281404602509.0,=1275320804922.0,=1050562292904.0,,=86.2352,,,,
2026-06-11,=1124.0000,=1124.0000,=1124.0000,=1124.0000,=1253523736484.0,=1247572310472.0,=1027704105504.0,,=84.3589,,,,
2026-06-10,=1147.0000,=1147.0000,=1147.0000,=1147.0000,=1279174133227.0,=1273100925366.0,=1048733637912.0,,=86.0851,,,,
2026-06-09,=1180.0000,=1180.0000,=1180.0000,=1180.0000,=1315976876380.0,=1309728938040.0,=1078906445280.0,,=88.5618,,,,
2026-06-08,=1154.9900,=1154.9900,=1154.9900,=1154.9900,=1288084858008.59,=1281969344192.0,=1056039114605.04,,=86.6848,,,,
2026-06-05,=1179.9900,=1179.9900,=1179.9900,=1179.9900,=1315582876278.09,=1309334990887.0,=1078897302005.04,,=88.5353,,,,
2026-06-04,=1280.0000,=1280.0000,=1280.0000,=1280.0000,=1427085044480.0,=1420307619840.0,=1170339194880.0,,=96.0391,,,,
2026-06-03,=1275.0000,=1275.0000,=1275.0000,=1275.0000,=1421510493525.0,=1414759543200.0,=1165767557400.0,,=95.6640,,,,
2026-06-02,=1191.8100,=1191.8100,=1191.8100,=1191.8100,=1328761114735.71,=1322450644064.0,=1089704653007.76,,=89.4222,,,,
2026-06-01,=1130.0000,=1130.0000,=1130.0000,=1130.0000,=1259848515830.0,=1253865320640.0,=1033190070480.0,,=84.7845,,,,
2026-05-29,=1161.1600,=1161.1600,=1161.1600,=1161.1600,=1293068396059.4402,=1286920212938.0,=1061680515255.36,,=87.0201,,,,
2026-05-28,=1197.9900,=1197.9900,=1197.9900,=1197.9900,=1334082303726.66,=1327739110801.0,=1095355196933.04,,=89.7803,,,,
2026-05-27,=1111.3700,=1111.3700,=1111.3700,=1111.3700,=1237622225471.5798,=1231737673579.0,=1016156149229.52,,=83.2888,,,,
