date,货币资金,资产合计,所有者权益合计,有息负债率,速动比率,流动负债合计,应收账款,流动比率,资产负债率,长期负债合计,流动资产合计,负债合计
2026-03-31,632681890562.94,56580677311,38114902412,0.0304,1.4087,45593202,9535572287,2.4613,0.3264,530899159,0,18465774899
2025-12-31,677782183740,45288970888,31621198598,0.0369,1.5806,26327404,6276876022,2.6893,0.3018,510000000,0,13667772290
2025-09-30,448536249069.12,39726194820,28017524691,0.0464,1.7034,12037278,6694526710,2.9094,0.2947,1074000000,0,11708670129
2025-06-30,162067720197.24,34786708491,24243802114,0.0813,1.7659,6607424,6344804480,2.9234,0.3031,978864340,0,10542906377
2025-03-31,108967659687.36,31582872453,21983729738,0.0884,1.6939,14560461,4805734851,2.7536,0.3039,607921785,0,9599142715
2024-12-31,138475275526.59,28866276555,20292841179,0.0935,1.7029,9997267,4603556643,2.8005,0.297,606280785,0,8573435376
2024-09-30,173623845583.74,27124286367,18686695531,0.0741,1.3625,16183890,4708725316,2.404,0.3111,0,0,8437590836
2024-06-30,154586438260.92,24422765089,17139816882,0.0584,1.5802,11554064,3982305103,2.7298,0.2982,463242000,0,7282948207
2024-03-31,125690475821.28,22340346979,16655765211,0.058,1.77,4624854,3295720077,2.9359,0.2545,560505000,0,5684581767
2023-12-31,90647110532.58,20006747461,14774499084,0.0478,1.5974,2606534,2581372127,2.5959,0.2615,318721500,0,5232248377
2023-09-30,92967278360.4,18965066038,14051094990,0.0699,1.9957,3088647,2014105536,3.0799,0.2591,793091000,0,4913971048
2023-06-30,118376728793.1,17196540371,13324075013,0.0794,2.3278,22959226,1431925619,3.4723,0.2252,595612800,0,3872465358
2023-03-31,47176649313.2,17014411475,12497470626,0.1083,1.9265,20920966,1160114772,2.9947,0.2655,672897830,0,4516940850
2022-12-31,21649997129.64,16556988220,12069000448,0.1191,1.7262,22414368,1509253639,2.937,0.2711,695891060,0,4487987772
2022-09-30,20889083431.04,16719727737,11949495556,0.1298,1.7031,21995339,1596159703,3.0301,0.2853,1017836680,0,4770232181
2022-06-30,24829580799.9,16752720771,11806647049,0.127,1.5502,15644042,1517534054,2.7038,0.2952,741534322,0,4946073723
2022-03-31,25277392885.18,16425091373,11838441410,0.1445,2.1523,1629119,1259029763,3.5119,0.2792,1259102063,0,4586649963
2021-12-31,34004091942.5,16564680791,11603040308,0.1561,1.9428,585690,1997351739,3.1657,0.2995,1261618313,0,4961640483
2021-09-30,24870007881.28,14379363595,8656343527,0.232,0.8942,70929318,1649166232,1.9092,0.398,1161363237,0,5723020068
2021-06-30,27465387144.12,14013007801,8311165475,0.2427,0.9459,49904868,1586125497,1.9964,0.4069,1365420217,0,5701842326
2021-03-31,25126693742.44,13155274835,8162338175,0.1749,1.0237,30245202,1398082227,2.3401,0.3795,1488253969,0,4992936660
2020-12-31,36271578816.96,13615732311,7993486731,0.2076,1.1048,21737624,1514463206,2.1161,0.4129,1429745569,0,5622245581
2020-09-30,35872206542,13214262584,7687351955,0.1809,1.0158,74391840,1714911276,1.9287,0.4183,1061053356,0,5526910629
2020-06-30,44929403820,12560466058,7354593234,0.1685,0.935,61330263,1728421014,1.7738,0.4145,717707910,0,5205872823
2020-03-31,38332626275,11016083474,7095882026,0.1624,1.0721,39924885,1111820193,2.0846,0.3559,568092248,0,3920201448
2019-12-31,37222968867,10491166091,6926216477,0.1333,1.2111,0,1132542173,2.12,0.3398,465500000,0,3564949614
2019-09-30,29007506323.2,9809079379,6737261453,0.1537,1.4624,0,1100433528,2.5638,0.3132,677927246,0,3071817925
2019-06-30,24260953246.2,9719779547,6464953459,0.1834,1.456,0,982463167,2.4005,0.3349,677927246,0,3254826089
2019-03-31,26387797455,9484712742,6410115792,0.1946,1.2628,0,818768269,2.0986,0.3242,269506146,0,3074596950
2018-12-31,19346296908.9,8080200992,4776481631,0.2131,0.6921,0,840106718,1.4501,0.4089,269506146,0,3303719362
2018-09-30,20589325798,7979364984,4537805147,0.2165,0.7033,0,1043521770,1.4267,0.4313,329297546,0,3441559837
2018-06-30,28450377882.4,8122954078,4349244450,0.1719,0.8465,0,1105400607,1.5771,0.4646,299297546,0,3773709628
2018-03-31,36178986531,7608804535,4176421183,0.1315,0.7876,0,870973732,1.7139,0.4511,493919446,0,3432383352
2017-12-31,27720638010,7810022719,4005858286,0.1308,0.7686,0,1012565848,1.4617,0.4871,241276446,0,3804164433
2017-09-30,23024714545.4,7496892762,4225941738,0.1438,0.8723,0,898812566,1.5973,0.4363,181734846,0,3270951025
2017-06-30,8884524204,623141460,557859639,0.0124,3.8879,0,56866246,5.442,0.1048,0,0,65281822
2017-03-31,7409170440,620436785,551420221,0.0119,3.3056,0,37831128,4.9594,0.1112,0,0,69016564
2016-12-31,5141057040,632153427,555782210,0.0115,3.286,0,55876004,4.5142,0.1208,0,0,76371217
2016-09-30,2935586772,625474291,549672202,0,3.467,0,53294800,4.9718,0.1212,0,0,75802089
