date,经营活动产生的现金流量净额对净利润的比率,经营活动产生的现金流量净额,累积同比,自由现金流量
2026-03-31,0.7466,3367573677,0.5558,7827738011
2025-12-31,0.941,10896126160,2.4431,8144069818
2025-09-30,0.8052,5454821227,3.1454,4872669517
2025-06-30,0.7513,3218463287,2.3245,2864501293
2025-03-31,0.7753,2164459570,2.3274,2120012676
2024-12-31,0.5891,3164582958,0.6681,307709717
2024-09-30,0.3714,1315866294,-0.0879,-1271673459
2024-06-30,0.4309,968101520,-0.1623,-900674737
2024-03-31,0.6846,650503647,0.3006,-231468365
2023-12-31,0.8593,1897126919,-0.2253,215577407
2023-09-30,1.43,1442720574,-0.017,1490721920
2023-06-30,1.7159,1155626086,-0.0508,1566258815
2023-03-31,1.6226,500145090,-0.4441,1283826360
2022-12-31,1.9851,2448940873,2.0131,1665025847
2022-09-30,1.6451,1467681835,3.1594,1255191358
2022-06-30,1.9659,1217516058,329.0836,1270866060
2022-03-31,1.9071,899773137,7.8536,1093002896
2021-12-31,0.9168,812760603,36.4748,-19019193
2021-09-30,0.6098,352856093,3.5878,-426019828
2021-06-30,0.2845,3688508,1.0169,-573622851
2021-03-31,0.2708,-131284623,0.616,-750835254
2020-12-31,0.0247,21688211,-0.9619,-926148444
2020-09-30,0.2459,-136351128,-1.5537,-894199079
2020-06-30,0.3731,-218046569,-3.1682,-711444066
2020-03-31,0.6505,-341847037,-1.4135,-441687921
2019-12-31,1.109,569457699,-0.1372,-189027892
2019-09-30,1.1945,246255105,-0.2046,86085005
2019-06-30,1.0488,100564210,-0.547,-100730471
2019-03-31,0.9788,-141639302,-2.1989,-41948773
2018-12-31,1.0592,660013526,14.5821,57403826
2018-09-30,0.6636,309580488,37.2636,-367760111
2018-06-30,0.5327,221985162,19.9591,-420526590
2018-03-31,-0.0225,-44276823,-11.7136,-534059733
2017-12-31,0.2561,41357112,0.2224,-377873984
2017-09-30,0.8022,8090740,-0.7745,-60886717
2017-06-30,2.104,10591346,-0.5945,16174384
2017-03-31,3.0088,4132758,2.0621,45471703
2016-12-31,3.3651,33833601,0.2546,20576962
2016-09-30,-3.1197,-64126924,-0.0316,-95462055
2016-06-30,2.163,26118064,0.4168,-18763607
