date,市值(元),PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,股息率,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值
2026-07-03,361395533139.3001,46.7976,,,,,5.8010,,,,,0.0037,11.0979,,,,,44.5109,,,,,5.8010,,,,
2026-07-02,355023821260.26,45.9725,,,,,5.6987,,,,,0.0037,10.9022,,,,,43.7261,,,,,5.6987,,,,
2026-07-01,356948609223.7201,46.2218,,,,,5.7296,,,,,0.0037,10.9613,,,,,43.9632,,,,,5.7296,,,,
2026-06-30,345399881442.96,44.7263,,,,,5.5442,,,,,0.0038,10.6067,,,,,42.5408,,,,,5.5442,,,,
2026-06-29,351306989330.82,45.4913,,,,,5.6391,,,,,0.0038,10.7881,,,,,43.2683,,,,,5.6391,,,,
2026-06-26,323032517867.58,41.8299,,,,,5.1852,,,,,0.0041,9.9198,,,,,39.7859,,,,,5.1852,,,,
2026-06-25,332125481694.96,43.0074,,,,,5.3312,,,,,0.0040,10.1990,,,,,40.9058,,,,,5.3312,,,,
2026-06-24,333519293668.5,43.1879,,,,,5.3535,,,,,0.0040,10.2418,,,,,41.0775,,,,,5.3535,,,,
2026-06-23,325090049828.52,42.0964,,,,,5.2182,,,,,0.0041,9.9830,,,,,40.0393,,,,,5.2182,,,,
2026-06-22,327612185780.64,42.4230,,,,,5.2587,,,,,0.0041,10.0604,,,,,40.3500,,,,,5.2587,,,,
2026-06-18,321373217899.08,41.6151,,,,,5.1586,,,,,0.0041,9.8689,,,,,39.5816,,,,,5.1586,,,,
2026-06-17,311882022079.26,40.3861,,,,,5.0062,,,,,0.0043,9.5774,,,,,38.4126,,,,,5.0062,,,,
2026-06-16,314271414033.9,40.6955,,,,,5.0446,,,,,0.0042,9.6508,,,,,38.7069,,,,,5.0446,,,,
2026-06-15,317789129967.12,41.1510,,,,,5.1010,,,,,0.0042,9.7588,,,,,39.1401,,,,,5.1010,,,,
2026-06-12,321837821890.26,41.6752,,,,,5.1660,,,,,0.0041,9.8831,,,,,39.6388,,,,,5.1660,,,,
2026-06-11,311815650080.52,40.3775,,,,,5.0052,,,,,0.0043,9.5754,,,,,38.4044,,,,,5.0052,,,,
2026-06-10,312014766076.74,40.4032,,,,,5.0084,,,,,0.0043,9.5815,,,,,38.4289,,,,,5.0084,,,,
2026-06-09,307833330156.12,39.8618,,,,,4.9412,,,,,0.0043,9.4531,,,,,37.9139,,,,,4.9412,,,,
2026-06-08,304912962211.56,39.4836,,,,,4.8944,,,,,0.0044,9.3634,,,,,37.5542,,,,,4.8944,,,,
2026-06-05,312479370067.92,40.4634,,,,,5.0158,,,,,0.0042,9.5957,,,,,38.4862,,,,,5.0158,,,,
2026-06-04,309492630124.62,40.0766,,,,,4.9679,,,,,0.0043,9.5040,,,,,38.1183,,,,,4.9679,,,,
2026-06-03,313275834052.8001,40.5665,,,,,5.0286,,,,,0.0042,9.6202,,,,,38.5842,,,,,5.0286,,,,
2026-06-02,321240473901.6,41.5979,,,,,5.1564,,,,,0.0041,9.8648,,,,,39.5652,,,,,5.1564,,,,
2026-06-01,326351117804.58,42.2597,,,,,5.2385,,,,,0.0041,10.0217,,,,,40.1947,,,,,5.2385,,,,
2026-05-29,333121061676.06,43.1363,,,,,5.3471,,,,,0.0040,10.2296,,,,,41.0285,,,,,5.3471,,,,
2026-05-28,318585593952.0,41.2541,,,,,5.1138,,,,,0.0042,9.7833,,,,,39.2382,,,,,5.1138,,,,
2026-05-27,334315757653.38,43.2910,,,,,5.3663,,,,,0.0040,10.2663,,,,,41.1756,,,,,5.3663,,,,
2026-05-26,326550233800.8001,42.2855,,,,,5.1323,,,,,0.0041,10.0278,,,,,40.2192,,,,,5.1323,,,,
2026-05-25,328076789771.82,42.4831,,,,,5.1563,,,,,0.0040,10.0747,,,,,40.4072,,,,,5.1563,,,,
2026-05-22,334979477640.78,43.3770,,,,,5.2648,,,,,0.0040,10.2867,,,,,41.2574,,,,,5.2648,,,,
2026-05-21,341483933517.3001,44.2192,,,,,5.3670,,,,,0.0039,10.4864,,,,,42.0585,,,,,5.3670,,,,
2026-05-20,338165333580.3001,43.7895,,,,,5.3149,,,,,0.0039,10.3845,,,,,41.6497,,,,,5.3149,,,,
2026-05-19,342413141499.6601,44.3396,,,,,5.3816,,,,,0.0039,10.5150,,,,,42.1729,,,,,5.3816,,,,
