date,流动负债合计,速动比率,货币资金,资产合计,资产负债率,负债合计,有息负债率,应收账款,流动比率,长期负债合计,流动资产合计,所有者权益合计
2026-03-31,1454498612,8.4531,366506177042.28,71293862441,0.1002,7146776163,0.0009,5021464385,9.2331,0,0,64147086278
2025-12-31,1912553216,7.4664,395377996494.18,69867315774,0.1155,8070492359,0.0011,5146562124,8.0842,0,0,61796823414
2025-09-30,3971298591,6.0147,474891650984.7,68327540486,0.1214,8295022483,0.0012,5095387377,6.5464,0,0,60032518003
2025-06-30,161335627,12.3243,344470673460.6,62893517149,0.0614,3863719109,0.0015,5022548840,13.4948,0,0,59029798039
2025-03-31,162694388,9.5136,313846911880.8,51292781691,0.073,3743012633,0.0021,4829566959,10.6961,0,0,47549769058
2024-12-31,159793448,8.7381,292796204376.6,50135645304,0.0807,4045394571,0.0022,4914872611,9.719,0,0,46090250733
2024-09-30,1277373860,7.902,333621818930.2,48338099413,0.0829,4006580717,0.0018,5673776364,8.9976,0,0,44331518695
2024-06-30,1225506649,6.4478,245336427458.04,48181360044,0.1037,4994223888,0.002,6153271690,7.2326,0,0,43187136156
2024-03-31,1451487264,8.1162,293242734535.78,46340001351,0.0842,3900646049,0.0017,4825082704,9.1162,0,0,42439355302
2023-12-31,198090504,10.8677,288522272853.02,43784506636,0.0628,2751420194,0.0017,5194493563,12.252,0,0,41033086441
2023-09-30,184581973,11.1429,286672362193.56,42871390741,0.0622,2664804605,0.0021,5625149972,12.5261,0,0,40206586136
2023-06-30,217295163,11.6132,305554208924.6,41961333251,0.0602,2525468198,0.0021,5985763383,13.2263,0,0,39435865052
2023-03-31,199745648,10.6666,273148877372.68,42293829996,0.0667,2819745941,0.0022,5708771519,12.0827,0,0,39474084055
2022-12-31,187075474,7.537,245782957617.22,42355009128,0.0931,3941852985,0.0321,5891397328,8.5002,0,0,38413156143
2022-09-30,305954459,10.1919,223902979817.4,40175041689,0.0713,2865322043,0.0037,5690610026,11.4735,0,0,37309719646
2022-06-30,206145923,7.1814,236597194342.66,40745925627,0.1009,4110887151,0.0032,5745590548,8.0528,0,0,36635038476
2022-03-31,177216187,9.6939,234874863728.68,39817549289,0.0762,3034768956,0.0036,5938776998,11.0853,0,0,36782780333
2021-12-31,219554459,7.8823,324341764158.94,39266221700,0.0941,3694413773,0.0039,4632515378,8.8747,0,0,35571807927
2021-09-30,171285766,6.8815,321345299546.62,38950347935,0.1061,4131024697,0.0013,6231247502,7.7031,0,0,34819323238
2021-06-30,346615111,7.7501,434836552064.18,37000499019,0.0979,3622878973,0.0014,6076671936,8.7322,0,0,33377620046
2021-03-31,389085385,7.6179,490997822305.69,36157171063,0.1019,3685279995,0.0013,5700609577,8.4602,0,0,32471891069
2020-12-31,358059364,6.8167,594273181389.86,34729589915,0.1135,3942587977,0,5073694217,7.4372,0,0,30787001939
2020-09-30,302450866,5.9567,476652315628.62,32535474255,0.1269,4130229674,0,5895590073,6.5238,0,0,28405244581
2020-06-30,0,7.5794,489813056382,29677472567,0.0999,2964837818,0,4338118283,8.5619,0,0,26712634749
2020-03-31,0,7.7737,407031590826,29166504365,0.0994,2898356634,0,4588418062,8.6904,0,0,26268147731
2019-12-31,0,8.1344,387084698784,27556475495,0.095,2618947868,0,4906245354,9.0233,0,0,24937527628
2019-09-30,0,7.6256,356832649656,25952860480,0.1039,2697702939,0,5418868513,8.3943,0,0,23255157541
2019-06-30,0,7.26,291905737200,24411927045,0.1054,2573046330,0,4237410535,8.1582,0,0,21838880716
2019-03-31,0,6.6241,289354915027.4,23181490118,0.1159,2685714823,0,3843567112,7.2616,0,0,20495775295
2018-12-31,0,6.6048,194229569662.5,22361229608,0.1146,2563491135,0,3772692760,7.2462,0,0,19797738474
2018-09-30,0,7.3294,233835095575,20801332184,0.1036,2154493986,0,4038848984,8.1491,0,0,18646838198
2018-06-30,0,6.4857,278981840012,20064636123,0.1188,2382900766,0,3682819780,7.085,0,0,17681735357
2018-03-31,0,7.557,246468705960.4,18902238600,0.1009,1907223106,0,3521147098,8.2151,0,0,16995015494
2017-12-31,0,6.5103,194308592099.2,18039384776,0.1162,2096169951,0,3188576007,7.0564,0,0,15943214825
2017-09-30,0,8.3947,168815800587.2,16535582432,0.0938,1551149881,0,2919272191,9.2193,0,0,14984432551
2017-06-30,0,7.9047,142506456499.7,15734595639,0.0989,1555497855,0,2900868700,8.6472,0,0,14179097784
2017-03-31,0,7.2377,127537483871.1,15302432917,0.1057,1617491952,0,2409313003,8.0787,0,0,13684940964
2016-12-31,0,7.5475,106809414985,14330058675,0.1016,1455666832,0,2324589748,8.3474,0,0,12874391843
2016-09-30,0,7.4245,103418955304.5,13632052456,0.1064,1450927050,0.0007,2547488340,8.1315,0,0,12181125406
