date,自由现金流量,经营活动产生的现金流量净额,累积同比,经营活动产生的现金流量净额对净利润的比率
2026-03-31,8530154219,786445901,0.4166,1.4119
2025-12-31,8292383631,11235378131,0.5136,1.4559
2025-09-30,9809610927,9110430290,0.9868,1.5971
2025-06-30,6438126234,4300453251,0.418,1.1802
2025-03-31,4634969063,555174089,-0.5575,0.9821
2024-12-31,5475457290,7422753039,-0.0289,1.1713
2024-09-30,6297388932,4585446009,0.0642,1.4551
2024-06-30,6359563812,3032754841,0.0547,1.4405
2024-03-31,7043452913,1254598909,4.8635,1.9684
2023-12-31,6180057227,7643665075,5.0412,1.7868
2023-09-30,1575708442,4308871181,0.9697,0.8121
2023-06-30,1806632928,2875348469,2.4011,0.8162
2023-03-31,-323727601,213969281,0.4452,0.3466
2022-12-31,-706700102,1265264632,-0.7001,0.3316
2022-09-30,1054713623,2187574452,-0.3747,0.8583
2022-06-30,1159872440,845422388,-0.4357,0.9168
2022-03-31,2118037208,148056762,-0.2571,0.9932
2021-12-31,2570294168,4218816053,0.2293,0.9409
2021-09-30,1440743912,3498310526,-0.1225,0.4704
2021-06-30,429923875,1498280918,-0.5563,0.2459
2021-03-31,1293784581,199284858,-0.8709,0.3212
2020-12-31,2881162636,3431934805,-0.1008,0.544
2020-09-30,4575041202,3986528888,0.5285,0.8902
2020-06-30,5177723538,3376609109,1.3247,1.0315
2020-03-31,4389362429,1543646194,2.6131,0.9071
2019-12-31,3256685241,3816832867,0.3758,0.7166
2019-09-30,2835085124,2608099283,0.2719,0.6882
2019-06-30,2428535508,1452490117,0.0943,0.64
2019-03-31,2262413914,427238760,-0.1379,0.6319
2018-12-31,2248657546,2774212734,0.089,0.6831
2018-09-30,2198703654,2050607777,-0.0933,0.605
2018-06-30,2315479164,1327383917,-0.0214,0.6912
2018-03-31,2064976425,495597950,-0.1871,0.7036
2017-12-31,2168666140,2547385417,-0.0175,0.7736
2017-09-30,1916106028,2261631041,0.1743,0.9528
2017-06-30,1625143026,1356355457,0.0572,0.917
2017-03-31,1552887967,609660638,0.0654,0.9533
2016-12-31,1482238974,2592628396,0.1385,0.9842
2016-09-30,1807486601,1925955962,0.2426,1.0347
