date,经营活动产生的现金流量净额,累积同比,自由现金流量,经营活动产生的现金流量净额对净利润的比率
2026-03-31,33680852000,0.0247,89808505000,1.5832
2025-12-31,133219982000,0.3735,91087373000,1.7349
2025-09-30,80660430000,0.196,70295386100,1.631
2025-06-30,58687066000,0.3126,73514841200,1.8046
2025-03-31,32868257000,0.1591,67150106797,1.7599
2024-12-31,96990345000,0.0449,65885512000,1.7959
2024-09-30,67443601100,0.2809,79702217442,2.0313
2024-06-30,44708954600,0.2061,71492903102,2.0026
2024-03-31,28357910599,0.3525,70004761903,2.0933
2023-12-31,92826124400,0.5165,59214081400,1.9851
2023-09-30,52653692287,1.0276,48491665837,1.8967
2023-06-30,37070369759,0.9842,37629434847,1.7586
2023-03-31,20966278500,1.9631,28026172200,1.8069
2022-12-31,61208843300,0.4265,12994169100,1.8295
2022-09-30,25967948599,-0.0948,-8631482091,1.4177
2022-06-30,18682343042,-0.2742,-12525638397,1.6144
2022-03-31,7075886400,-0.3548,-7451735381,2.2305
2021-12-31,42908008697,1.3282,-856539011,2.4024
2021-09-30,28686238553,1.7835,892593976,3.1824
2021-06-30,25742059687,3.4181,10114982308,4.1298
2021-03-31,10966870552,2.4851,6121390727,3.4802
2020-12-31,18429902632,0.368,5127571522,3.0194
2020-09-30,10305924782,-0.0018,2437566776,2.7262
2020-06-30,5826552889,-0.1992,1871048336,2.4994
2020-03-31,3146750316,-0.3677,1973079274,2.4249
2019-12-31,13471954557,0.1905,3860056401,2.6876
2019-09-30,10324929541,0.8199,6765043890,3.3041
2019-06-30,7276302909,5.6069,8788595851,3.4981
2019-03-31,4976851201,2.522,12581718537,4.4629
2018-12-31,11316265701,3.6204,4687285534,3.0291
2018-09-30,5603430680,4.2327,3762507525,2.4164
2018-06-30,1058326103,2.708,-1689261736,1.2219
2018-03-31,-3269834484,-17.878,-7511032209,-0.2416
2017-12-31,2340748210,0.1098,-4838959985,0.5581
2017-09-30,-1733364574,,,
2017-06-30,-619644119,,,
2017-03-31,193733604,,,
2016-12-31,2109126727,2.1738,-686646028,0.7227
