date,自由现金流量,经营活动产生的现金流量净额,累积同比,经营活动产生的现金流量净额对净利润的比率
2026-03-31,7936639872,1381035479,-0.0759,1.2255
2025-12-31,8145640532,10144968535,-0.184,1.2004
2025-09-30,6617093048,7272860295,-0.3432,0.9752
2025-06-30,5850389342,3922092201,-0.5383,0.8363
2025-03-31,9038356135,1494408057,-0.4783,0.9815
2024-12-31,10503329142,12432041281,0.1238,1.059
2024-09-30,12263838061,11072880996,0.425,1.1542
2024-06-30,12560516709,8495794956,0.8951,1.1859
2024-03-31,10048606046,2864694162,1.1485,1.035
2023-12-31,8395022202,11062025295,-0.0889,0.9554
2023-09-30,10603011297,7770665653,0.1527,1.1614
2023-06-30,10477575961,4483129148,0.0996,1.1657
2023-03-31,10533265386,1333357505,0.533,1.251
2022-12-31,10298946698,12141147876,0.3492,1.2633
2022-09-30,8026877949,6741514564,0.1057,1.021
2022-06-30,7975119889,4076887598,0.1572,1.0675
2022-03-31,7362405915,869750366,-0.2168,1.0432
2021-12-31,7617889365,8998649175,0.0145,1.1243
2021-09-30,7666737789,6096983983,0.0178,1.1276
2021-06-30,6834326201,3523055793,-0.163,1.0838
2021-03-31,7280918792,1110538731,-0.2179,1.2123
2020-12-31,7690226720,8870109849,0.8785,1.3319
2020-09-30,6318231110,5990309778,0.8239,1.1651
2020-06-30,5906302409,4209290815,1.0057,1.1844
2020-03-31,4869567750,1419859741,2.0434,1.1367
2019-12-31,3948829359,4721794915,0.1703,1.0079
2019-09-30,4092109899,3284343314,0.3397,1.0823
2019-06-30,3942447899,2098621543,0.3945,1.0968
2019-03-31,3428702958,466541684,0.0785,1.0372
2018-12-31,3359610601,4034585376,0.2225,1.0829
2018-09-30,2936591919,2451550112,0.0926,1.0028
2018-06-30,,1504903251,,
2018-03-31,,432599002,,
2017-12-31,2844613308,3300366919,0.0858,1.2688
2017-09-30,,2243878842,,
2016-12-31,2664319147,3039526487,0.5018,1.8853
