date,市值(元),PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,股息率
2026-06-02,144629979987.92,5.0737,0.2803,15.0315,7.7372,3.5466,3.1131,0.2547,12.5069,6.8870,2.0408,37.9997,0.3922,450.5826,59.0112,20.1162,0.0022
2026-06-01,146475071063.44,5.1384,0.2870,15.0315,7.7416,3.5466,3.1528,0.2581,12.5069,6.9025,2.0408,38.4844,0.3943,450.5826,59.0517,20.1162,0.0021
2026-05-29,149871715997.92,5.2575,0.2979,15.0216,7.7476,3.5466,3.2259,0.2628,12.4993,6.9190,2.0422,39.3769,0.3973,449.8742,59.0838,20.1276,0.0021
2026-05-28,152639352611.2,5.3546,0.3054,15.0216,7.7503,3.5466,3.2855,0.2670,12.4993,6.9269,2.0422,40.1040,0.4007,449.8742,59.0920,20.1276,0.0021
2026-05-27,153687699813.2,5.3914,0.3105,15.0315,7.7530,3.5466,3.3081,0.2692,12.5069,6.9348,2.0408,40.3795,0.4034,450.5826,59.1003,20.1162,0.0020
2026-05-26,157252080300.0,5.5164,0.3200,15.0315,7.7536,3.5466,3.3848,0.2779,12.5069,6.9348,2.0408,41.3160,0.4100,450.5826,59.2554,20.1162,0.0020
2026-05-25,157461749740.4,5.5238,0.3200,15.0315,7.7574,3.5466,3.3893,0.2787,12.5069,6.9398,2.0408,41.3710,0.4104,450.5826,59.5060,20.1162,0.0020
2026-05-22,159139105263.6,5.5826,0.3210,15.0216,7.7686,3.5466,3.4254,0.2838,12.5142,6.9515,2.0422,41.8118,0.4134,449.8742,59.6101,20.1276,0.0020
2026-05-21,157943989453.32,5.5407,0.3203,15.0216,7.7722,3.5466,3.3997,0.2794,12.5142,6.9524,2.0422,41.4978,0.4102,449.8742,59.6139,20.1276,0.0020
2026-05-20,161801907156.68,5.6760,0.3278,15.0315,7.7757,3.5466,3.4827,0.2882,12.5222,6.9532,2.0408,42.5114,0.4191,450.5826,59.6177,20.1162,0.0019
2026-05-19,159495543312.28,5.5951,0.3216,15.0315,7.7780,3.5466,3.4331,0.2841,12.5233,6.9610,2.0408,41.9054,0.4137,450.5826,59.6694,20.1162,0.0020
2026-05-18,166435601789.52,5.8386,0.3410,15.0315,7.7791,3.5466,3.5824,0.3031,12.5442,6.9721,2.0408,43.7288,0.4331,450.5826,59.6746,20.1162,0.0019
2026-05-15,163667965176.24,5.7415,0.3313,15.0216,7.7864,3.5466,3.5229,0.2925,12.5695,7.0033,2.0422,43.0017,0.4237,449.8742,59.7988,20.1276,0.0019
2026-05-14,167693618431.92,5.8827,0.3471,15.0216,7.7891,3.5466,3.6095,0.3054,12.5695,7.0046,2.0422,44.0593,0.4354,449.8742,59.8026,20.1276,0.0019
2026-05-13,174004668587.96,6.1041,0.3671,15.0315,7.7918,3.5466,3.7454,0.3262,12.5739,7.0059,2.0408,45.7175,0.4422,450.5826,59.8063,20.1162,0.0018
2026-05-12,175388486894.6,6.1527,0.3708,15.0315,7.7971,3.5466,3.7752,0.3320,12.5778,7.0137,2.0408,46.0811,0.4443,450.5826,59.8117,20.1162,0.0018
2026-05-11,178596429332.72,6.2652,0.3790,15.0315,7.8098,3.5466,3.8442,0.3452,12.5878,7.0296,2.0408,46.9239,0.4451,450.5826,59.8818,20.1162,0.0018
2026-05-08,177736784627.08,6.2350,0.3746,15.0216,7.8174,3.5466,3.8257,0.3416,12.5778,7.0460,2.0422,46.6981,0.4443,449.8742,60.1059,20.1276,0.0018
2026-05-07,184509107552.0,6.4726,0.3925,15.0216,7.8181,3.5466,3.9715,0.3714,12.5778,7.0496,2.0422,48.4774,0.4461,449.8742,60.1465,20.1276,0.0017
2026-05-06,191742703245.8,6.7264,0.4092,15.0315,7.8189,3.5466,4.1272,0.3931,12.5878,7.0532,2.0408,50.3779,0.4480,450.5826,60.1870,20.1162,0.0016
2026-04-30,185934859746.72,6.5226,0.3963,15.0216,7.8316,3.5466,4.0022,0.3757,12.5994,7.0577,2.0422,48.8520,0.4462,449.8742,60.2515,20.1276,0.0017
2026-04-29,182202743707.6,7.8938,0.5058,15.0216,7.8346,3.5466,4.0359,0.3804,12.5994,7.0578,2.0422,112.9603,0.6522,449.8742,60.2516,20.1276,0.0017
2026-04-28,172138610568.4,7.4578,0.4666,15.0216,7.8346,3.5466,3.8130,0.3366,12.5994,7.0632,2.0422,106.7208,0.6382,449.8742,60.2516,20.1276,0.0018
2026-04-27,176352966320.44,7.6404,0.4835,15.0216,7.8346,3.5466,3.9063,0.3564,12.5994,7.0640,2.0422,109.3336,0.6460,449.8742,60.2516,20.1276,0.0018
2026-04-24,178198057395.96,7.7203,0.4885,15.0315,7.8449,3.5466,3.9472,0.3660,12.5994,7.0660,2.0422,110.4775,0.6472,449.8742,60.2890,20.1276,0.0018
2026-04-23,167483948991.52,7.2561,0.4487,15.0315,7.8498,3.5466,3.7099,0.3196,12.5994,7.0690,2.0422,103.8350,0.6330,449.8742,60.2703,20.1276,0.0019
2026-04-22,172390213896.88,7.4687,0.4670,15.0315,7.8547,3.5466,3.8185,0.3383,12.5994,7.0720,2.0422,106.8768,0.6390,449.8742,60.2516,20.1276,0.0018
2026-04-21,174780445517.44,7.5722,0.4769,15.0525,7.8602,3.5466,3.8715,0.3478,12.5994,7.0721,2.0422,108.3587,0.6436,449.8742,60.2516,20.1276,0.0018
2026-04-20,173417594154.84,7.5132,0.4711,15.0700,7.8688,3.5466,3.8413,0.3424,12.5994,7.0820,2.0422,107.5137,0.6399,449.8742,60.2516,20.1276,0.0018
2026-04-17,176248131600.24,7.6358,0.4810,15.1236,7.8740,3.5466,3.9040,0.3533,12.5994,7.0856,2.0422,109.2686,0.6443,449.8742,60.2890,20.1276,0.0018
2026-04-16,179477040982.4,7.7757,0.4911,15.1236,7.8746,3.5466,3.9755,0.3687,12.5994,7.0872,2.0422,111.2704,0.6482,449.8742,60.2703,20.1276,0.0018
2026-04-15,172285379176.68,7.4641,0.4666,15.1236,7.8752,3.5466,3.8162,0.3366,12.5994,7.0888,2.0422,106.8118,0.6378,449.8742,60.2516,20.1276,0.0018
2026-04-14,185096181985.12,8.0192,0.5074,15.1283,7.8763,3.5466,4.1000,0.3866,12.5994,7.0921,2.0422,114.7541,0.6531,449.8742,60.2516,20.1276,0.0017
2026-04-13,176919073809.52,7.6649,0.4814,15.2622,7.8763,3.5466,3.9189,0.3568,12.5994,7.0995,2.0422,109.6845,0.6444,449.8742,60.2516,20.1276,0.0018
2026-04-10,176080396047.92,7.6286,0.4798,15.3460,7.8878,3.5466,3.9003,0.3516,12.5994,7.1113,2.0422,109.1646,0.6434,449.8742,60.2890,20.1276,0.0018
2026-04-09,169853213668.04,7.3588,0.4577,15.3460,7.8884,3.5466,3.7624,0.3299,12.5994,7.1124,2.0422,105.3039,0.6338,449.8742,60.2703,20.1276,0.0019
2026-04-08,171949908072.04,7.4496,0.4653,15.3460,7.8891,3.5466,3.8088,0.3346,12.5994,7.1134,2.0422,106.6038,0.6370,449.8742,60.2516,20.1276,0.0018
2026-04-07,165554990139.84,7.1726,0.4402,15.3618,7.8973,3.5466,3.6671,0.3135,12.5994,7.1190,2.0422,102.6391,0.6308,449.8742,60.2516,20.1276,0.0019
2026-04-03,167211378719.0,7.2443,0.4460,15.4027,7.8998,3.5466,3.7038,0.3174,12.5994,7.1313,2.0422,103.6661,0.6319,449.8742,60.2890,20.1276,0.0019
2026-04-02,167588783711.72,7.2607,0.4482,15.4027,7.9013,3.5466,3.7122,0.3196,12.5994,7.1348,2.0422,103.9000,0.6322,449.8742,60.2703,20.1276,0.0019
2026-04-01,162095444373.24,7.0227,0.4262,15.4027,7.9028,3.5466,3.5905,0.3032,12.5994,7.1382,2.0422,100.4943,0.6250,449.8742,60.2516,20.1276,0.0019
2026-03-31,164338907385.52,7.1199,0.4344,15.4231,7.9090,3.5466,3.6402,0.3086,12.5994,7.1440,2.0422,101.8852,0.6279,449.8742,60.2516,20.1276,0.0019
2026-03-30,168050056480.6,8.5714,0.5223,15.4356,7.9126,3.5466,4.0375,0.3733,12.5994,7.1469,2.0422,-119.3449,0.8436,449.8742,60.2516,20.1276,0.0018
2026-03-27,167043643166.68,8.5200,0.5194,15.5292,7.9213,3.5466,4.0134,0.3706,12.5994,7.1637,2.0422,-118.6302,0.8442,449.2404,60.2890,20.1276,0.0018
2026-03-26,151863575681.72,7.7458,0.4841,15.5292,7.9170,3.5466,3.6487,0.3101,12.5994,7.1679,2.0422,-107.8497,0.8478,446.6677,60.2703,20.1276,0.0020
2026-03-25,148089525754.52,7.5533,0.4724,15.5292,7.9213,3.5466,3.5580,0.2979,12.5994,7.1721,2.0422,-105.1695,0.8511,441.8207,60.2516,20.1276,0.0020
2026-03-24,145112219700.84,7.4014,0.4600,15.5571,7.9469,3.5466,3.4864,0.2884,12.5994,7.1776,2.0422,-103.0551,0.8548,417.4367,60.2516,20.1276,0.0021
2026-03-23,141694607822.32,7.2271,0.4435,15.5940,7.9516,3.5466,3.4043,0.2793,12.5994,7.1894,2.0422,-100.6280,0.8622,415.0505,60.2516,20.1276,0.0021
2026-03-20,141380103661.72,7.2111,0.4429,15.5948,7.9564,3.5466,3.3968,0.2788,12.5994,7.2018,2.0422,-100.4046,0.8627,409.1969,60.2703,20.1276,0.0021
2026-03-19,133014292989.76,6.7844,0.4130,15.5948,7.9606,3.5466,3.1958,0.2616,12.5994,7.2047,2.0422,-94.4634,0.8758,403.8105,60.2516,20.1276,0.0023
