date,流动比率,有息负债率,长期负债合计,负债合计,流动资产合计,所有者权益合计,流动负债合计,资产合计,速动比率,资产负债率
2026-03-31,1.0292,0.2988,17970452728,65687472212,0,53186294791,1944141764,118873767003,0.6383,0.5526
2025-12-31,0.9186,0.301,16144090954,61420515700,0,51837575972,1850204111,113258091671,0.5541,0.5423
2025-09-30,0.7291,0.3466,16470440072,63462895742,0,46736509950,950055657,110199405692,0.4334,0.5759
2025-06-30,0.7496,0.3583,16780585044,62994769016,0,44594909757,362106139,107589678774,0.4569,0.5855
2025-03-31,0.7398,0.3366,16088489514,57443135753,0,47085620908,273688709,104528756661,0.4404,0.5495
2024-12-31,0.6948,0.3148,15258660651,53244401050,0,47587896947,174285251,100832297997,0.4128,0.528
2024-09-30,0.8212,0.3022,15096794000,46545327922,0,52126357198,262641286,98671685120,0.4968,0.4717
2024-06-30,0.9065,0.2789,14525793209,45375282739,0,52589133316,244717189,97964416055,0.5872,0.4632
2024-03-31,1.254,0.2791,16638700143,41306477399,0,54256940368,323693813,95563417767,0.8923,0.4322
2023-12-31,1.3904,0.2752,15616318338,39382038193,0,52315862777,282307349,91697900969,0.9613,0.4295
2023-09-30,1.5619,0.2645,15453187318,38777746556,0,54084572398,925414816,92862318954,0.9847,0.4176
2023-06-30,1.8499,0.2343,14680017694,35897950070,0,53573528814,604393905,89471478884,1.1897,0.4012
2023-03-31,2.3545,0.2235,14014345214,29693841544,0,51239565967,569810794,80933407511,1.5344,0.3669
2022-12-31,1.7135,0.1616,9137119073,30293601966,0,48866308102,492654767,79159910068,1.1376,0.3827
2022-09-30,2.0426,0.1548,7713200000,25697576592,0,43889772806,365989999,69587349398,1.4882,0.3693
2022-06-30,1.9606,0.1728,5995730160,19751428461,0,35022926081,381363583,54774354542,1.35,0.3606
2022-03-31,1.5755,0.147,3437256706,14724411075,0,30197134414,403809404,44921545489,1.1164,0.3278
2021-12-31,1.7818,0.1636,3638955880,12889954121,0,26166698439,150496946,39056652560,1.3553,0.33
2021-09-30,2.2793,0.1946,3017577360,10464967195,0,23424632275,185812902,33889599470,1.7739,0.3088
2021-06-30,2.1105,0.1769,1757205240,8966697699,0,21169148926,140211813,30135846625,1.6096,0.2975
2021-03-31,1.8717,0.264,1885984120,8667510707,0,14640183781,66345162,23307694488,1.1351,0.3719
2020-12-31,2.1519,0.2778,1658008360,8601969957,0,13418403362,41033419,22020373320,1.4752,0.3906
2020-09-30,2.2331,0.2963,1596807270,9644688076,0,12310852721,44253333,21955540797,1.6587,0.4393
2020-06-30,1.5336,0.3665,2079421819,7749371386,0,8261548358,24332747,16010919744,0.9804,0.484
2020-03-31,1.7179,0.3663,1954536040,6995623896,0,8481686654,28975814,15477310550,1.0667,0.452
2019-12-31,1.7543,0.2951,1430219280,5802750651,0,8410281232,39045680,14213031883,0.9675,0.4083
2019-09-30,1.6832,0.3133,1167578760,5827554895,0,8193957171,39700520,14021512066,1.0212,0.4156
2019-06-30,1.5587,0.2929,625492560,6330664913,0,8048752890,60934540,14379417803,1.0644,0.4403
2019-03-31,1.8873,0.2145,698665800,5545604519,0,8207121294,23978077,13752725813,1.3094,0.4032
2018-12-31,2.0653,0.2053,706112640,5543543565,0,7977173187,46050085,13520716752,1.4875,0.41
2018-09-30,1.6725,0.2198,674027200,4004846316,0,4926156646,0,8931002962,1.0192,0.4484
2018-06-30,1.7216,0.2601,655214960,4180629422,0,4600768865,0,8781398287,1.1166,0.4761
2018-03-31,1.6474,0.2507,330975360,3989013266,0,4298764675,0,8287777941,1.1428,0.4813
2017-12-31,1.623,0.2748,319889200,3955929927,0,4043170129,0,7999100056,1.2304,0.4945
2017-09-30,1.2314,0.3248,415126000,3130955763,0,3035732082,0,6166687846,0.7825,0.5077
2017-06-30,1.118,0.3472,243500000,2599059083,0,2706494222,0,5305553305,0.6376,0.4899
2017-03-31,1.2113,0.2507,186000000,1929564187,0,2618031522,0,4547595709,0.7406,0.4243
2016-12-31,1.2382,0.1561,56000000,1318236284,0,2490505820,0,3808742104,0.7207,0.3461
2016-09-30,1.577,0.1346,156000000,1169743410,0,2283915483,0,3453658893,0.8671,0.3387
2016-06-30,1.6376,0.1455,156000000,1016647010,0,2078014813,0,3094661824,0.9081,0.3285
