date,资产负债率,货币资金,资产合计,长期负债合计,速动比率,流动资产合计,流动负债合计,流动比率,应收账款,所有者权益合计,负债合计,有息负债率
2026-03-31,0.6489,129193293018.79,132764683530,20830432145,0.7719,347955841,1287498132,0.9948,16387344668,46616148744,86148534786,0.2706
2025-12-31,0.6418,136394083392.48,125542296570,20532087295,0.8342,432901286,1489994067,1.0272,14860257383,44971430583,80570865987,0.2634
2025-09-30,0.6347,186161671878,116370312830,21763780848,0.8887,470294212,523465711,1.0514,15130487840,42515135895,73855176936,0.278
2025-06-30,0.6257,93714501777.57,110693660018,20266874641,0.8694,300824234,569537207,1.034,13802699965,41434177432,69259482586,0.2854
2025-03-31,0.6198,96373939723.67,108500838294,20474605188,0.9464,266364764,600520053,1.1017,12807923722,41252152651,67248685643,0.2996
2024-12-31,0.5936,95617022769.78,100890624125,17568758922,0.8022,256055754,367130958,0.9535,13098572528,40999186873,59891437253,0.2531
2024-09-30,0.6035,99790294623.66,100844748499,15793349870,0.8233,239418592,512632858,0.9958,12493222677,39980224860,60864523640,0.2635
2024-06-30,0.6058,81665202160.24,98889088471,15812041187,0.8389,210731448,501140574,1.0221,12502761822,38984191373,59904897098,0.2667
2024-03-31,0.594,80110453822.52,96234365792,16020266325,0.8315,204273082,340294986,1.0428,12086041697,39066570167,57167795625,0.2504
2023-12-31,0.5972,86329447173.4,94355337999,14000794013,0.7921,222322609,397395559,0.9708,12427533748,38005267621,56350070377,0.2299
2023-09-30,0.6015,92302953944.64,92573110455,14465258573,0.7345,211221926,714721112,1.0156,11008577641,36894784176,55678326279,0.2432
2023-06-30,0.6016,123766150568.5,89681367040,16050100477,0.7698,222468289,1175384474,1.071,8950792570,35732613441,53948753599,0.2612
2023-03-31,0.5968,142586788340.9,86347326767,14420173584,0.8122,211422016,910877057,1.1176,9207710487,34818581151,51528745616,0.2517
2022-12-31,0.6035,179470640536.2,83637813182,13837225097,0.809,190559680,966969893,1.1452,9410805918,33160179525,50477633656,0.2425
2022-09-30,0.663,160637521228.2,67026685597,13725773535,0.5922,144633307,724151910,0.9652,7480505656,22590409786,44436275811,0.2891
2022-06-30,0.6547,185128335307.5,61543696556,10815178259,0.6723,68098176,727993240,0.9895,6935829293,21251360669,40292335887,0.2651
2022-03-31,0.5858,153172336505.19,50107179857,7765616833,0.8079,57516853,577637944,1.1291,5529060189,20755196059,29351983798,0.2394
2021-12-31,0.5422,224040040258.94,44533907483,5480698075,0.9326,57259457,293562158,1.2225,5002058003,20387748304,24146159179,0.2161
2021-09-30,0.4683,187736378294.49,36530080205,3433485439,0.8857,48475645,110841422,1.162,4913947104,19423750929,17106329276,0.1505
2021-06-30,0.417,196267718368.47,31806764443,1720133507,0.9404,45188152,124510101,1.25,3793462292,18544555287,13262209156,0.0967
2021-03-31,0.3996,141948236989.35,29061079005,1651350178,1.0575,35593812,95346244,1.3536,3277345664,17448621375,11612457630,0.095
2020-12-31,0.3513,153942532463.5,25700202987,1105080000,1.2732,42795829,223234692,1.5842,2975751284,16671044991,9029157996,0.0546
2020-09-30,0.534,91101047647.5,18256040235,845860000,1.1397,0,63389513,1.3776,2456554441,8506523442,9749516793,0.0678
2020-06-30,0.5461,88064346298.5,17442878709,595540000,1.1264,0,56475265,1.3323,2430507496,7918148689,9524730020,0.0749
2020-03-31,0.5148,56316707967,16422726004,134000000,1.0524,0,0,1.2544,2225991394,7968871886,8453854118,0.0544
2019-12-31,0.5267,48612047352,16294548765,134000000,1.1765,0,0,1.3763,2094087449,7711759648,8582789117,0.0803
2019-09-30,0.4818,29452155483,14155893650,238999250,1.3649,0,0,1.5791,2141910586,7335629697,6820263953,0.1033
2019-06-30,0.4705,29560667586.2,12601809406,460999250,1.2694,0,0,1.5461,1967753432,6672185006,5929624399,0.1166
2019-03-31,0.6196,20856591916.6,10261709798,411934928,0.743,0,0,1.0186,1878841754,3903988939,6357720859,0.1892
2018-12-31,0.631,13448138840.4,10031920313,585805708,0.8008,0,0,1.0954,1817065693,3702014808,6329905505,0.1702
2018-09-30,0.6568,12147809894,10320039630,717286411,0.803,0,0,1.0856,2023169085,3542276623,6777763007,0.181
2018-06-30,0.627,15056440432,8901452642,450083191,0.6734,0,0,0.9716,1764054059,3320472418,5580980224,0.17
2018-03-31,0.6002,15346082841.6,8317664210,584592272,0.6186,0,0,1.0092,1399331126,3325609853,4992054358,0.1766
2017-12-31,0.5715,16793341770.3,7460335989,477389052,0.6931,0,0,1.0266,1285705224,3197090014,4263245975,0.1458
2017-09-30,0.6661,21639315715.2,6712882519,378101625,0.6184,0,0,1.0246,1066988897,2241612242,4471270277,0.1502
2017-06-30,0.6315,15536138458.5,5833547688,304159027,0.7102,0,0,1.1147,884166485,2149937175,3683610513,0.1472
2017-03-31,0.5864,15323929206.3,5188273195,149956315,0.9125,0,0,1.304,880068692,2145752984,3042520211,0.1365
2016-12-31,0.5227,12471445852,4387616064,27043340,0.8953,0,0,1.2074,825216146,2094157689,2293458375,0.1599
2016-09-30,0.4609,13953537884.6,3655781098.79,105000000,0.7654,0,0,1.1902,674997996.15,1970772217.8,1685008880.99,0.1553
