date,基本每股收益,累积同比,营业收入,归属于母公司普通股股东的净利润
2026-03-31,0.7,0.2963,20679868145,1446303779
2025-12-31,2.02,0.0151,61469630776,4134303671
2025-09-30,1.38,-0.1154,45001518159,2815688702
2025-06-30,0.78,-0.25,28169564043,1605171456
2025-03-31,0.54,0.0385,12796142215,1101115916
2024-12-31,1.99,0.0051,48614556525,4075585284
2024-09-30,1.56,-0.0659,34049276929,3188651050
2024-06-30,1.04,-0.0095,21659398588,2137249689
2024-03-31,0.52,-0.0714,9317321355,1065713846
2023-12-31,1.98,0.0761,48783587176,4050174700
2023-09-30,1.67,0.1929,35528837485,3424389233
2023-06-30,1.05,0.4583,22975722909,2150924034
2023-03-31,0.56,1.0741,11185548136,1139709770
2022-12-31,1.84,0.1948,36303947809,3508963827
2022-09-30,1.4,0.1966,24283331179,2665545015
2022-06-30,0.72,-0.0886,14926334923,1359054441
2022-03-31,0.27,-0.2059,6733932863,521169247
2021-12-31,1.54,0.7303,16899804086,2905792904
2021-09-30,1.17,1.2941,11447744268,2215804927
2021-06-30,0.79,2.95,6559759687,1494702496
2021-03-31,0.34,1.4286,2957502886,646839236
2020-12-31,0.89,0.0349,8161806164,1652034439
2020-09-30,0.51,-0.2388,5339693105,946178396
2020-06-30,0.2,-0.3333,3175950833,363237649
2020-03-31,0.26,0.1304,1308721333,252459524
2019-12-31,1.64,1.4478,6411641552,1522008066
2019-09-30,1.26,1.8636,4577189580,1158766723
2019-06-30,0.56,1.9474,2529714487,500505804
2019-03-31,0.23,1.5556,1097919523,200279267
2018-12-31,0.67,0.4255,4351190560,570707025
2018-09-30,0.44,0.1579,3008974829,378755584
2018-06-30,0.19,-0.2963,1883628763,158773484
2018-03-31,0.09,0.5,684106995,74229811
2017-12-31,0.47,0.6207,2982304750,403364781
2017-09-30,0.3777,0.0161,1986957140,323135591
2017-06-30,0.27,0.2857,1343990646,232529302
2017-03-31,0.13,0.4444,569994096,53761393
2016-12-31,0.59,0.5526,2339712008,251815187
2016-09-30,0.3717,0.5817,1448098537.81,158767280.81
2016-06-30,0.21,0.4,821281179.05,88966086.67
