date,资产合计,货币资金,所有者权益合计,长期负债合计,速动比率,有息负债率,流动资产合计,应收账款,资产负债率,流动负债合计,流动比率,负债合计
2026-03-31,92611845839,79280620679.52,38236247271,3486485214,0.7944,0.2752,0,10801552416,0.5871,3552822388,1.0816,54375598567
2025-12-31,90530293647,101866378896.36,37248851399,3550585214,0.8042,0.2078,0,13294604934,0.5885,3479722109,1.0837,53281442248
2025-09-30,94822692863,130931143462.5,36636098090,6453127343,0.8634,0.2183,0,18833849359,0.6136,3188926782,1.1971,58186594772
2025-06-30,86406459692,81421681473,34830674748,5074174041,0.8509,0.2246,0,13301675108,0.5969,3015657866,1.1608,51575784944
2025-03-31,78518771099,91133051608.16,34512184169,2346847883,0.8381,0.2472,0,8310610751,0.5605,3299715818,1.1177,44006586930
2024-12-31,82706773087,89714621135.44,34048076709,1341201984,0.8614,0.1844,0,17881372032,0.5883,4052359576,1.0997,48658696378
2024-09-30,81377678511,77466441132.63,33011179272,2698229305,0.7935,0.2158,0,14597688254,0.5943,2881761655,1.1269,48366499239
2024-06-30,73817246633,66668295831.39,31861291868,4296100376,0.8307,0.2056,0,11144933211,0.5684,3309405163,1.1727,41955954766
2024-03-31,70649314311,54605810732.22,31423688497,6091892677,0.8357,0.2103,0,7351563247,0.5552,3567040253,1.2222,39225625814
2023-12-31,73744409441,71862671232,31527564316,6631470752,0.8669,0.184,0,12424618677,0.5725,3472638215,1.1973,42216845125
2023-09-30,78372316229,53973962496,31429100658,6241672764,0.81,0.1809,0,17041862838,0.599,2381178565,1.1838,46943215571
2023-06-30,72504958823,60712156800,30941865221,6102246923,0.8192,0.1892,0,13051532803,0.5732,2493593953,1.1824,41563093601
2023-03-31,70246111442,73119924502.8,30915629822,3469528253,0.7429,0.1825,0,11389813307,0.5599,2686362991,1.1277,39330481620
2022-12-31,77176355468,57505062120.66,30257824954,2206000000,0.6592,0.1438,0,14396180783,0.6079,2295347547,1.0665,46918530514
2022-09-30,80486893724,90545700903,32508042442,1502064500,0.7043,0.1622,0,18255432768,0.5961,2844211119,1.1261,47978851282
2022-06-30,65080526769,114788386809.6,30288721164,400000000,0.6412,0.1464,0,8970172191,0.5346,2196286644,1.11,34791805605
2022-03-31,58767183100,117521443638.4,29022911700,690043889,0.6758,0.1381,0,7735848214,0.5061,1947562540,1.1377,29744271400
2021-12-31,61079051133,184822968047.6,27931388708,2204215785,0.7711,0.1181,0,11899214526,0.5427,2210825762,1.1798,33147662425
2021-09-30,57292164620,147243436651.6,26827532314,2870766000,0.7249,0.1446,0,7836245836,0.5317,1706688522,1.2408,30464632306
2021-06-30,50118491609,146013561078.64,24831674112,3328030000,0.8589,0.1612,0,6050070245,0.5045,1890175350,1.3278,25286817497
2021-03-31,49000314799,92753116127.4,24101768419,2871390000,0.8411,0.1497,0,8226262837,0.5081,449760391,1.3048,24898546381
2020-12-31,49117826313,122239362095.64,19733670788,2754299262,0.8208,0.1836,0,9951611597,0.5982,772033188,1.2372,29384155525
2020-09-30,49873615205,131199552698.5,17890507346,2831116648,0.6917,0.2148,0,11008680542,0.6413,787819887,1.202,31983107859
2020-06-30,41019506562,95276251972,16575367785,2511195584,0.7054,0.2819,0,5754813026,0.5959,465238934,1.2776,24444138777
2020-03-31,34246675170,53252155819.5,15940708456,2512991883,0.5799,0.233,0,4859968788,0.5345,237925465,1.0868,18305966713
2019-12-31,34660304627,64642470684,16129204999,343653860,0.6942,0.2053,0,8103952323,0.5346,0,1.0083,18531099628
2019-09-30,33508496893,57048927441,15895521245,237044284,0.6957,0.2257,0,8211758347,0.5256,0,1.0096,17612975647
2019-06-30,30924780306,28848974115.5,15411229780,667195797,0.6963,0.2554,0,6503546655,0.5017,0,1.0422,15513550526
2019-03-31,28788503121,34073591475,15412062807,637477329,0.676,0.256,0,5733883048,0.4646,0,1.0392,13376440315
2018-12-31,29742455325,22326315176,15189746340,606423511,0.7516,0.2556,0,7191930014,0.4893,0,1.0273,14552708985
2018-09-30,30034423711,26934362785,15410146501,1598358294,0.7557,0.2308,0,7066454159,0.4869,0,1.1751,14624277209
2018-06-30,26313486735,33067609250.5,14995562459,1007088384,0.6793,0.2318,0,3980751707,0.4301,0,1.1806,11317924275
2018-03-31,24917768263,43549295009,15072037924,956773340,0.8448,0.218,0,3469294832,0.3951,0,1.3042,9845730339
2017-12-31,26570592215,56302553532.5,14917472495,995743710,0.9718,0.2142,0,6290563594,0.4386,0,1.2661,11653119720
2017-09-30,26136738028,65680903948,14234715847,1088220995,0.8544,0.2115,0,6044717698,0.4554,0,1.2378,11902022181
2017-06-30,24845882429,62565604156,13681465797,1034922952,0.8894,0.2357,0,4623627771,0.4493,0,1.2598,11164416633
2017-03-31,23514910360,52058236275.6,11213213824,837018417,1.0145,0.3395,0,4571649612,0.5231,0,1.3394,12301696537
2016-12-31,22912092546,40495890162,10848432154,321306645,1.011,0.3103,0,5404065024,0.5265,0,1.2823,12063660392
2016-09-30,23377344893,46153189376.4,10351878892,323787448,0.9077,0.3295,0,6081238634,0.5572,0,1.2349,13025466000
