date,资产合计,货币资金,速动比率,流动负债合计,有息负债率,流动资产合计,资产负债率,流动比率,长期负债合计,应收账款,所有者权益合计,负债合计
2026-03-31,225724240000,155177871734.28,0.9887,13977116000,0.3149,6287976000,0.6587,1.6573,43213146000,24848541000,77037480000,148686760000
2025-12-31,217739375000,181008960124.08,1.0928,15600702000,0.3112,5881166000,0.6526,1.7557,45712509000,21670066000,75641241000,142098134000
2025-09-30,214657778000,218320532242.68,1.1533,10924465000,0.3154,5476907000,0.6488,1.8196,45697765000,23223399000,75383095000,139274683000
2025-06-30,216310325000,155417048478.63,1.1812,10745743000,0.3241,4986650000,0.6528,1.7536,46358614000,29201211000,75109804000,141200521000
2025-03-31,217918283000,163692563833.14,1.0546,11466351000,0.3103,6117504000,0.667,1.6057,42343976000,24793971000,72568154000,145350129000
2024-12-31,207323230000,193254809434.8,1.148,12859416000,0.2945,4972074000,0.6474,1.7158,44058915000,21288393000,73110282000,134212948000
2024-09-30,199694343000,148998288959.8,1.2768,11821713000,0.3011,4940031000,0.6363,1.9048,45442028000,20840387000,72635576000,127058767000
2024-06-30,205507776000,133787545909.44,1.3225,13255334000,0.3076,5206849000,0.6557,1.9053,47741381000,20925261000,70760698000,134747078000
2024-03-31,208466634000,133883210940.48,1.4003,13896491000,0.3267,5112416000,0.6582,1.9551,45049649000,19819165000,71249353000,137217281000
2023-12-31,200958318000,126660501096.96,1.3523,14889658000,0.3079,4844974000,0.66,1.909,42576057000,20821526000,68331445000,132626873000
2023-09-30,189057761000,156316513659.36,1.3317,12958486000,0.2783,3916776000,0.6467,1.9964,39924091000,17306941000,66795449000,122262312000
2023-06-30,186187171000,217467901159.74,1.274,14789318000,0.2823,4612455000,0.6557,1.9568,39853006000,16664839000,64095796000,122091375000
2023-03-31,183993400000,154223299321.52,1.1909,15863289000,0.2746,4574887000,0.6634,1.8543,37442703000,16306215000,61923458000,122069942000
2022-12-31,180953574000,122475869456.88,1.1159,17699861000,0.2724,4851066000,0.6709,1.7581,35125988000,17751390000,59543223000,121410351000
2022-09-30,181163386000,101352807671.2,1.0443,18495810000,0.2627,5955633000,0.6773,1.6715,31402650000,19878591000,58468999000,122694387000
2022-06-30,179724762000,120905703647.4,1.0667,20166471000,0.267,5738542000,0.6844,1.6357,30703014000,17936988000,56712550000,123012212000
2022-03-31,179243960000,113139659535.2,1.1176,18305669000,0.2887,6084005000,0.6914,1.7078,35403075000,16439675000,55315770000,123928190000
2021-12-31,168763425000,158481665062,1.0721,16101652000,0.2393,6585307000,0.6842,1.6251,29908441000,17509059000,53287660000,115475765000
2021-09-30,176587614000,153805013209.8,1.035,16771223000,0.2771,7573099000,0.7018,1.5597,30210529000,17044482000,52655976000,123931638000
2021-06-30,165902117000,153304441660.54,0.9705,18051874000,0.2743,7338889000,0.6976,1.4748,24243486000,14566155000,50166217000,115735900000
2021-03-31,155551952000,135265911209.36,0.9256,15963720000,0.2643,7749415000,0.6882,1.4781,22823901000,15213582000,48501639000,107050313000
2020-12-31,150634906000,155242084317.7,0.8608,14998172000,0.24,8926411000,0.6938,1.438,22614304000,15891020000,46122506000,104512400000
2020-09-30,165268109000,152704695190,0.8032,14486946000,0.2931,11616304000,0.7292,1.3762,21463854000,14689794000,44756810000,120511299000
2020-06-30,165432364000,185137139727.9,0.8417,14562034000,0.2416,10203533000,0.7324,1.3617,21835076000,16898230000,44276795000,121155569000
2020-03-31,145654417000,197393869212,0.8755,13027828000,0.2669,10820595000,0.6979,1.3728,16411919000,18786651000,44004921000,101649496000
2019-12-31,141202135000,149608704170.3,0.7519,14517057000,0.2836,9537850000,0.7312,1.1875,10045093000,19778280000,37954298000,103247837000
2019-09-30,147159353000,135272938307.1,0.7151,17723027000,0.2876,11132779000,0.747,1.1633,8507003000,19795060000,37227317000,109932036000
2019-06-30,140742648000,136387614955.2,0.6545,15497576000,0.2921,10563305000,0.7597,1.0516,3330373000,21465718000,33816632000,106926016000
2019-03-31,139875707000,122426017728,0.6494,15305725000,0.2734,10691652000,0.7641,1.0381,2458841000,0,32999567000,106876140000
2018-12-31,129350749000,82134441345.6,0.6574,14479355000,0.2387,8462226000,0.7452,1.0388,2366568000,21592325000,32960675000,96390074000
2018-09-30,124214723000,76725894672,0.6683,16848495000,0.2122,5813915000,0.7233,1.094,2768165000,0,34375941000,89838782000
2018-06-30,120709368000,54630514075.2,0.6979,23566149000,0.1741,5856243000,0.7207,1.1141,2561186000,0,33708188000,87001180000
2018-03-31,137876425000,126409055976,0.813,0,0.1465,0,0.7323,1.1205,3220893000,27218926000,36905600000,100970825000
2017-12-31,143962215000,152445548102.4,0.9293,0,0.1568,0,0.6848,1.2356,3002146000,24345283000,45380147000,98582068000
2017-09-30,146028404000,118652613072,0.858,0,0.1776,0,0.6918,1.1699,2029919000,25305952000,45006612000,101021792000
2017-06-30,144670317000,99470944942.2,0.9482,0,0.214,0,0.7015,1.2361,4377412000,26007904000,43178064000,101492253000
2017-03-31,141198258000,70992811593.6,0.9263,0,0.1642,0,0.7046,1.2361,5159683000,30308637000,41706963000,99491295000
2016-12-31,141640910000,66712069495.5,0.9188,0,0.1678,0,0.7113,1.23,5018276000,25998188000,40885090000,100755820000
2016-09-30,132668231000,61478979636,0.9525,0,0.1606,0,0.6565,1.3559,5399514000,28801411000,45577588000,87090643000
