日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PS-TTM,PS-TTM 分位点,PS-TTM 80%分位点值,PS-TTM 50%分位点值,PS-TTM 20%分位点值
2026-07-03,=526.0000,=526.0000,=526.0000,=526.0000,=733379015784.0,=659731901108.0,=627552102578.7999,,=25.1782,,,,
2026-07-02,=509.0000,=509.0000,=509.0000,=509.0000,=709676652156.0,=638409767422.0,=607270000404.2,,=24.3645,,,,
2026-07-01,=575.5600,=575.5600,=575.5600,=575.5600,=802478377043.0399,=721892192018.0,=686680395741.9279,,=27.5505,,,,
2026-06-30,=607.0000,=607.0000,=607.0000,=607.0000,=846313807188.0,=761325596906.0,=724190354116.6,,=29.0555,,,,
2026-06-29,=556.9600,=556.9600,=556.9600,=556.9600,=776545202720.64,=698563269280.0,=664489389833.248,,=26.6602,,,,
2026-06-26,=566.0000,=566.0000,=566.0000,=566.0000,=789149283144.0,=709901627428.0,=675274695930.7999,,=27.0929,,,,
2026-06-25,=610.4900,=610.4900,=610.4900,=610.4900,=851179763015.16,=765702905527.0,=728354150386.562,,=29.2225,,,,
2026-06-24,=555.3000,=555.3000,=555.3000,=555.3000,=774230736625.2,=696481225637.0,=662508902209.1399,,=26.5807,,,,
2026-06-23,=552.0000,=552.0000,=552.0000,=552.0000,=769629689568.0,=692342223216.0,=658571788257.6,,=26.4228,,,,
2026-06-22,=579.9700,=579.9700,=579.9700,=579.9700,=808627049019.48,=727423404345.0,=691941811658.986,,=27.7616,,,,
2026-06-18,=581.4800,=581.4800,=581.4800,=581.4800,=810732376612.3201,=729317311514.0,=693743339558.024,,=27.8339,,,,
2026-06-17,=557.8800,=557.8800,=557.8800,=557.8800,=777827918869.92,=699717172985.0,=665587009480.344,,=26.7042,,,,
2026-06-16,=549.0000,=549.0000,=549.0000,=549.0000,=765446919516.0,=688579493742.0,=654992593756.2,,=26.2792,,,,
2026-06-15,=540.4900,=540.4900,=540.4900,=540.4900,=753581795135.16,=677905884467.0,=644839612020.562,,=25.8718,,,,
2026-06-12,=506.4600,=506.4600,=506.4600,=506.4600,=706135240178.64,=635223989801.0,=604239615726.3479,,=24.2429,,,,
2026-06-11,=526.0000,=526.0000,=526.0000,=526.0000,=733379015784.0,=659731901108.0,=627552102578.7999,,=25.1782,,,,
2026-06-10,=772.5000,=772.5000,=772.5000,=772.5000,=769330920720.0,=685423592970.0,=658316131507.5,,=26.4125,,,,
2026-06-09,=785.7300,=785.7300,=785.7300,=785.7300,=782506646391.36,=697162303824.0,=669590594186.91,,=26.8649,,,,
2026-06-08,=725.0000,=725.0000,=725.0000,=725.0000,=722025783200.0,=643277805700.0,=617837146075.0,,=24.7885,,,,
2026-06-05,=748.0000,=748.0000,=748.0000,=748.0000,=744931428736.0,=663685239536.0,=637437496916.0,,=25.5748,,,,
2026-06-04,=775.9400,=775.9400,=775.9400,=775.9400,=772756808574.0801,=688475835248.0,=661247662241.9801,,=26.5301,,,,
2026-06-03,=782.2500,=782.2500,=782.2500,=782.2500,=779040922632.0,=694074570357.0,=666624975885.75,,=26.7459,,,,
2026-06-02,=747.0000,=747.0000,=747.0000,=747.0000,=743935531104.0,=662797959804.0,=636585307749.0,,=25.5407,,,,
2026-06-01,=679.8200,=679.8200,=679.8200,=679.8200,=677031128186.24,=603190507408.0,=579335239509.9401,,=23.2437,,,,
2026-05-29,=706.4500,=706.4500,=706.4500,=706.4500,=703551882126.4,=626818766671.0,=602029037027.15,,=24.1542,,,,
2026-05-28,=718.3400,=718.3400,=718.3400,=718.3400,=715393104970.88,=637368522685.0,=612161566222.78,,=24.5607,,,,
2026-05-27,=695.0000,=695.0000,=695.0000,=695.0000,=692148854240.0,=616659413740.0,=592271471065.0,,=23.7627,,,,
2026-05-26,=700.0000,=700.0000,=700.0000,=700.0000,=697128342400.0,=621095812400.0,=596532416900.0,,=23.9337,,,,
2026-05-25,=659.0100,=659.0100,=659.0100,=659.0100,=656306498464.32,=584726216185.0,=561601182944.67,,=22.5322,,,,
2026-05-22,=606.7700,=606.7700,=606.7700,=606.7700,=604280806168.64,=538374722986.0,=517082820860.59,,=20.7461,,,,
2026-05-21,=566.0000,=566.0000,=566.0000,=566.0000,=562609270592.0,=501131539192.0,=482339068522.0,,=19.3154,,,,
2026-05-20,=587.9700,=587.9700,=587.9700,=587.9700,=584447655176.64,=520583588514.0,=501061664520.99,,=20.0651,,,,
2026-05-19,=572.5000,=572.5000,=572.5000,=572.5000,=569070331120.0,=506886583370.0,=487878298107.5,,=19.5372,,,,
2026-05-18,=599.9200,=599.9200,=599.9200,=599.9200,=596326066455.0399,=531164015887.0,=511245325066.64,,=20.4730,,,,
2026-05-15,=610.0500,=610.0500,=610.0500,=610.0500,=606395380785.6,=540133030891.0,=519878001328.35,,=20.8187,,,,
2026-05-14,=617.9000,=617.9000,=617.9000,=617.9000,=614198353884.7999,=547083353475.0,=526567686289.3,,=21.0865,,,,
2026-05-13,=628.9900,=628.9900,=628.9900,=628.9900,=625221917154.88,=556902344234.0,=536018464151.33,,=21.4650,,,,
2026-05-12,=592.5200,=592.5200,=592.5200,=592.5200,=588970397546.24,=524612119438.0,=504939125230.84,,=20.2204,,,,
2026-05-11,=563.7000,=563.7000,=563.7000,=563.7000,=560323049174.4,=499095138944.0,=480379033437.9,,=19.2369,,,,
2026-05-08,=551.6700,=551.6700,=551.6700,=551.6700,=548365117151.04,=488443880258.0,=470127197758.89,,=18.8264,,,,
2026-05-07,=563.5000,=563.5000,=563.5000,=563.5000,=560124247312.0,=498918060662.0,=480208595604.5,,=19.2301,,,,
2026-05-06,=522.4800,=522.4800,=522.4800,=522.4800,=519349985333.76,=462599304942.0,=445251795974.1601,,=17.8302,,,,
2026-04-30,=525.7900,=525.7900,=525.7900,=525.7900,=522640156156.48,=465529950515.0,=448072542116.93,,=17.9432,,,,
2026-04-29,=537.0000,=537.0000,=537.0000,=537.0000,=533783000544.0,=475455188244.0,=457625582679.0,,=18.3257,,,,
2026-04-28,=535.4600,=535.4600,=535.4600,=535.4600,=532252226203.52,=474091685470.0,=456313211361.82,,=18.2732,,,,
2026-04-27,=538.0000,=538.0000,=538.0000,=538.0000,=534777009856.0,=476340579656.0,=458477771846.0,,=18.3599,,,,
2026-04-24,=537.2700,=537.2700,=537.2700,=537.2700,=534051383058.24,=475694243925.0,=457855673754.09,,=18.3350,,,,
2026-04-23,=608.2800,=608.2800,=608.2800,=608.2800,=604635984303.36,=538582749613.0,=516631713972.72,,=30.1998,,,,
2026-04-22,=622.7100,=622.7100,=622.7100,=622.7100,=618979538675.52,=551359347688.0,=528887575800.54,,=30.9162,,,,
