date,有息负债率,应收账款,流动比率,负债合计,流动负债合计,资产合计,货币资金,所有者权益合计,长期负债合计,流动资产合计,资产负债率,速动比率
2026-03-31,0.0005,5566729064,2.9125,9228600383,292334612,29736124932,440187083726.08,20507524549,0,0,0.3103,1.7331
2025-12-31,0.0006,4437509481,2.9749,7816815525,90697430,25881071176,428298732354.56,18064255652,0,0,0.302,1.9235
2025-09-30,0.002,3993178817,2.4627,6832326153,21788210,21356332940,363565267191.04,14524006787,0,0,0.3199,1.4784
2025-06-30,0.0025,5017300994,2.3563,5977230791,7291181,18071339565,126045669210.24,12094108774,0,0,0.3308,1.3413
2025-03-31,0.0031,3067703921,2.304,4922057613,9617618,14850327707,69548108694.24,9928270095,0,0,0.3314,1.1661
2024-12-31,0.0038,2538533232,2.3337,3938420036,9740382,12266549854,81923872838.16,8328129818,0,0,0.3211,1.2525
2024-09-30,0.0047,1557893066,2.6849,2738086244,9713026,9821803616,92124146434.44,7083717372,0,0,0.2788,1.5033
2024-06-30,0.009,1542083033,3.0302,2059544388,11449972,8302736260,74814985428.6,6243191871,0,0,0.2481,1.8768
2024-03-31,0.0102,828938108,3.5706,1556730521,19161535,7354053814,47564574742,5797323294,0,0,0.2117,2.517
2023-12-31,0.0118,715139103,4.9982,974005087,13751981,6439983560,35013206362.32,5465978474,0,0,0.1512,3.8781
2023-09-30,0.0128,563809273,5.3755,878127408,14125161,6081888071,32656275196,5203760663,0,0,0.1444,3.9911
2023-06-30,0.0176,551062101,5.6257,826842422,13786925,5889248624,48253196197.22,5062406202,0,0,0.1404,3.9635
2023-03-31,0.017,474018339,5.3782,882765855,17327020,5820940965,24593681621.5,4938175110,0,0,0.1517,3.4584
2022-12-31,0.017,661963107,4.5135,1046893880,24898725,5876061496,12043297701.25,4829167616,0,0,0.1782,2.9325
2022-09-30,0.014,679708269,4.5096,982824299,22841871,5648341450,10719802669.66,4665517151,0,0,0.174,2.7484
2022-06-30,0.0134,514855325,3.6975,1183419519,21865682,5546502714,13285658937.8,4363083194,0,0,0.2134,2.054
2022-03-31,0.0001,591725391,4.4616,915426619,24223175,5006577035,15821090032.8,4091150416,0,0,0.1828,2.6151
2021-12-31,0.0001,577209380,4.3878,905511092,17047852,4864234763,19867638060.42,3958723671,0,0,0.1862,2.6776
2021-09-30,0,429385198,4.8661,776335075,14222751,4577621066,17073592993.73,3801285991,0,0,0.1696,3.052
2021-06-30,0,550958403,4.9694,726464848,15748659,4385879063,15846444343.75,3659414215,0,0,0.1656,3.3945
2021-03-31,0,550107467,4.9913,715770180,11419676,4272204171,14774320168.14,3556433991,0,0,0.1675,3.5213
2020-12-31,0.017,368873595,4.6029,773088241,15597235,4217115643,20095103773.68,3444027402,0,0,0.1833,3.3255
2020-09-30,0.0461,447762162,2.2595,806684517,2532705,2451427731,21265344852.5,1644743213,0,0,0.3291,1.1851
2020-06-30,0.0251,386616584,2.6803,540127276,0,2031111466,20895422167.2,1490984191,0,0,0.2659,1.5396
2020-03-31,0,209573056,3.3707,375883537,0,1765623146,13797391402.5,1389739609,0,0,0.2129,2.1268
2019-12-31,0,311927765,3.5932,337188740,0,1665182568,9491470281,1327993828,0,0,0.2025,2.5017
2019-09-30,0,215382973,3.7516,295968969,0,1541263317,8176757407,1245294348,0,0,0.192,2.5416
2019-06-30,0,196042351,3.9734,263705946,0,1454577332,5842441700,1190871387,0,0,0.1813,2.7752
2019-03-31,0,182889796,4.1045,244617884,0,1414616559,6631123675,1169998676,0,0,0.1729,2.874
2018-12-31,0,189027092,4.0518,243757264,0,1379534728,4683823125,1135777464,0,0,0.1767,2.8149
2018-09-30,0,168504552,3.6604,260432104,0,1351149769,4242852500,1090717665,0,0,0.1927,2.4001
2018-06-30,0,149181662,3.8803,238416841,0,1299354470,3516211575,1060937630,0,0,0.1835,2.416
2018-03-31,0.0114,187376513,3.851,256462115,0,1347872396,5679668325,1091410281,0,0,0.1903,2.3347
2017-12-31,0.0151,218017476,3.2736,314646500,0,1402358492,6892155075,1087711991,0,0,0.2244,1.8704
2017-09-30,0.0243,235651625,3.4823,294061617,0,1359005209,7959432000,1064943592,0,0,0.2164,1.8803
2017-06-30,0.0094,217330001,4.0028,239717668,0,1270753355,5582544000,1031035688,0,0,0.1886,2.1918
2017-03-31,0,162423583,4.3819,221050245,0,1246472188,6925024000,1025421943,0,0,0.1773,2.5756
2016-12-31,0,180195567,4.6446,201785315,0,1197334065,9139728000,995548750,0,0,0.1685,3.1726
2016-09-30,0,115434440,4.7795,196604236,0,1167336721,10027472000,970732485,0,0,0.1684,3.2619
