date,市值(元),PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,股息率,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值
2026-06-02,84674601763.6,3.7264,0.0004,13.9819,10.3537,6.4226,0.0197,3.6743,0.0004,19.8584,12.6391,6.5279,25.1180,0.0083,97.1499,74.7437,36.4362
2026-06-01,85793649364.0,3.7756,0.0017,13.9819,10.3537,6.4316,0.0195,3.7229,0.0017,19.8584,12.6391,6.5371,25.4499,0.0096,97.1499,74.7437,36.4406
2026-05-29,85047617630.4,3.7428,0.0004,13.9819,10.3504,6.4420,0.0196,3.6905,0.0004,19.8584,12.6391,6.5484,25.2286,0.0083,97.1499,74.7049,36.4920
2026-05-28,86073411264.1,3.7879,0.0012,13.9819,10.3521,6.4450,0.0194,3.7350,0.0012,19.8584,12.6429,6.5554,25.5329,0.0095,97.1499,74.7243,36.4920
2026-05-27,85700395397.3,3.7715,0.0008,13.9819,10.3537,6.4452,0.0195,3.7188,0.0008,19.8584,12.6467,6.5691,25.4222,0.0087,97.1499,74.7437,36.5434
2026-05-26,84581347796.9,3.7223,0.0000,13.9819,10.3537,6.4588,0.0197,3.6703,0.0000,19.8584,12.6467,6.5828,25.0903,0.0079,97.1499,74.7437,36.5790
2026-05-25,87099204897.8,3.8331,0.0004,13.9819,10.3537,6.4678,0.0192,3.7795,0.0004,19.8584,12.6467,6.5834,25.8372,0.0087,97.1499,74.7437,36.6205
2026-05-22,85607141430.6,3.7674,0.0000,13.9819,10.3504,6.4736,0.0195,3.7148,0.0000,19.8584,12.6546,6.5919,25.3946,0.0079,97.1499,74.7049,36.6976
2026-05-21,87285712831.2,3.8413,0.0000,13.9819,10.3521,6.4792,0.0191,3.7876,0.0000,19.8584,12.6583,6.6011,25.8925,0.0083,97.1499,74.7243,36.7490
2026-05-20,88311506464.9,3.8864,0.0000,13.9819,10.3537,6.4859,0.0189,3.8321,0.0000,19.8584,12.6621,6.6102,26.1968,0.0087,97.1499,74.7437,36.7740
2026-05-19,92134919099.6,4.0547,0.0054,13.9819,10.3537,6.4995,0.0181,3.9980,0.0000,19.8584,12.6663,6.6102,27.3310,0.0129,97.1499,74.7437,36.8518
2026-05-18,95025792067.3,4.1819,0.0100,13.9819,10.3537,6.5007,0.0176,4.1235,0.0029,19.8584,12.6663,6.6183,28.1885,0.0270,97.1499,74.7437,36.9289
2026-05-15,98662696768.6,4.3420,0.0216,13.9819,10.3504,6.5131,0.0169,4.2813,0.0104,19.8584,12.6726,6.6194,29.2674,0.0378,97.1499,74.7049,36.9690
2026-05-14,100527776102.6,4.4241,0.0262,13.9819,10.3521,6.5182,0.0166,4.3622,0.0120,19.8584,12.6731,6.6239,29.8207,0.0444,97.1499,74.7243,37.0060
2026-05-13,101553569736.3,4.4692,0.0287,13.9819,10.3537,6.5188,0.0164,4.4068,0.0154,19.8584,12.6735,6.6582,30.1249,0.0490,97.1499,74.7437,37.0574
2026-05-12,98476188835.2,4.3338,0.0208,13.9819,10.3537,6.5221,0.0170,4.2732,0.0100,19.8584,12.6735,6.6751,29.2121,0.0370,97.1499,74.7437,37.1088
2026-05-11,99874998335.7,4.3953,0.0245,13.9819,10.3537,6.5312,0.0167,4.3339,0.0104,19.8584,12.6735,6.6834,29.6270,0.0403,97.1499,74.7437,37.1175
2026-05-08,98382934868.5,4.3297,0.0203,13.9819,10.3504,6.5402,0.0170,4.2692,0.0095,19.8584,12.6726,6.7108,29.1844,0.0361,97.1499,74.7049,37.1602
2026-05-07,98289680901.8,4.3256,0.0191,13.9819,10.3521,6.5402,0.0170,4.2651,0.0091,19.8584,12.6731,6.7183,29.1567,0.0357,97.1499,74.7243,37.1602
2026-05-06,100434522135.9,4.4200,0.0241,13.9819,10.3537,6.5492,0.0166,4.3582,0.0100,19.8584,12.6735,6.7199,29.7930,0.0411,97.1499,74.7437,37.1919
2026-04-30,100527776102.6,4.4241,0.0241,13.9819,10.3474,6.5538,0.0166,4.3622,0.0100,19.8584,12.6695,6.7230,29.8207,0.0423,97.1499,74.6705,37.2116
2026-04-29,102113093536.5,4.4938,0.0274,13.9819,10.3504,6.5817,0.0164,4.4310,0.0149,19.8584,12.6726,6.7474,30.2909,0.0469,97.1499,74.7049,37.2373
2026-04-28,103325395103.6,4.5472,0.0303,13.9819,10.3504,6.6126,0.0162,4.4836,0.0203,19.8584,12.6726,6.7629,30.6505,0.0485,97.1499,74.7049,37.2941
2026-04-27,101460315769.6,4.4651,0.0257,13.9819,10.3504,6.6207,0.0165,4.4027,0.0124,19.8584,12.6726,6.7748,30.0973,0.0456,97.1499,74.7049,37.3951
2026-04-24,102486109403.3,4.5102,0.0282,13.9819,10.3443,6.6397,0.0163,4.4472,0.0162,19.8584,12.6726,6.8068,30.4016,0.0464,97.1499,74.6362,37.5540
2026-04-23,97077379334.7,4.3797,0.0232,13.9819,10.3474,6.6407,0.0230,4.4756,0.0178,19.8584,12.6731,6.8114,30.1574,0.0460,97.1499,74.6705,37.5714
2026-04-22,91948411166.2,4.1483,0.0091,13.9819,10.3504,6.6488,0.0243,4.2392,0.0087,19.8584,12.6735,6.8178,28.5640,0.0286,97.1499,74.7049,37.7256
2026-04-21,90363093732.3,4.0768,0.0066,13.9819,10.3504,6.6723,0.0247,4.1661,0.0066,19.8584,12.6735,6.8479,28.0716,0.0241,97.1499,74.7049,37.7769
2026-04-20,90176585798.9,4.0684,0.0058,13.9819,10.3504,6.6745,0.0247,4.1575,0.0058,19.8584,12.6735,6.8525,28.0136,0.0232,97.1499,74.7049,37.7770
2026-04-17,88218252498.2,3.9800,0.0008,13.9819,10.3443,6.6759,0.0253,4.0672,0.0008,19.8584,12.6857,6.8616,27.4053,0.0129,97.1499,74.6362,37.7988
2026-04-16,89337300098.6,4.0305,0.0021,13.9819,10.3474,6.6903,0.0250,4.1188,0.0021,19.8584,12.6885,6.8627,27.7529,0.0182,97.1499,74.6705,37.8493
2026-04-15,89710315965.4,4.0473,0.0033,13.9819,10.3504,6.7030,0.0249,4.1360,0.0033,19.8584,12.6912,6.8726,27.8688,0.0199,97.1499,74.7049,37.8493
2026-04-14,89710315965.4,4.0473,0.0033,13.9819,10.3504,6.7184,0.0249,4.1360,0.0033,19.8584,12.6922,6.8776,27.8688,0.0199,97.1499,74.7049,37.9311
