date,资产合计,流动负债合计,所有者权益合计,有息负债率,速动比率,流动比率,资产负债率,流动资产合计,负债合计,长期负债合计
2026-03-31,36581247688,254477146,24611937366,0.1979,1.2679,1.4438,0.3272,0,11969310322,178070811
2025-12-31,36675990723,209543339,23398362226,0.1968,1.0913,1.2383,0.362,0,13277628497,139551779
2025-09-30,35836406967,241039444,23821957147,0.1907,1.3205,1.5051,0.3353,0,12014449820,125620578
2025-06-30,35269308347,262594139,23034651184,0.1991,1.2161,1.3864,0.3469,0,12234657164,72121408
2025-03-31,34584514506,226915384,23067207205,0.197,1.4591,1.6151,0.333,0,11517307302,45126487
2024-12-31,33255307268,190673223,21812012998,0.2039,1.2813,1.4504,0.3441,0,11443294270,43877543
2024-09-30,32979353178,169006984,21538560425,0.1884,1.1827,1.3698,0.3469,0,11440792754,56881746
2024-06-30,31675423330,207491590,20580916114,0.1844,1.2522,1.4187,0.3503,0,11094507216,4836708
2024-03-31,30899280579,169698194,20923724633,0.1811,1.6912,1.8447,0.3228,0,9975555946,5883374
2023-12-31,30186619946,183433054,20024761540,0.1855,1.5258,1.6945,0.3366,0,10161858406,22178412
2023-09-30,29914229615,178635849,19815655244,0.1535,1.5609,1.7048,0.3376,0,10098574371,107511527
2023-06-30,28572850778,221543533,18505193164,0.1594,1.4601,1.6164,0.3524,0,10067657615,109180313
2023-03-31,28360189318,226886070,18602354830,0.1721,1.6019,1.7335,0.3441,0,9757834488,125360042
2022-12-31,26578845623,225203502,17615469369,0.1714,1.6462,1.7988,0.3372,0,8963376254,115146672
2022-09-30,26893314140,207990342,17164281468,0.1821,1.6345,1.7301,0.3618,0,9729032672,34544959
2022-06-30,22931963747,230394977,13139817070,0.2192,1.0416,1.1425,0.427,0,9792146677,43069769
2022-03-31,22327827650,223741558,12849942036,0.239,1.0542,1.1521,0.4245,0,9477885614,55356684
2021-12-31,21849010103,197664910,12224067098,0.2509,1.0461,1.1497,0.4405,0,9624943006,57674500
2021-09-30,21817006254,199252970,11918477211,0.2477,1.2337,1.3373,0.4537,0,9898529043,1262597221
2021-06-30,21095753873,203940159,10925320477,0.2638,1.1394,1.2446,0.4821,0,10170433396,1285323879
2021-03-31,19203617482,199180992,11139323036,0.2764,1.5882,1.7377,0.4199,0,8064294446,1339605188
2020-12-31,15540590965,161459063,10652175673,0.1382,1.5031,1.6932,0.3146,0,4888415292,1381961575
2020-09-30,16525812552,190410072,10217466283,0.1723,1.3901,1.557,0.3817,0,6308346269,1780435682
2020-06-30,14383932776,156038833,7663641008,0.3005,1.2452,1.3615,0.4672,0,6720291768,1776877480
2020-03-31,12484251241,127346643,7122941269,0.2557,1.2811,1.419,0.4294,0,5361309972,1787718940
2019-12-31,11894748817,0,7022731425,0.2123,1.2335,1.399,0.4096,0,4872017392,1635707932
2019-09-30,11492990990,0,6806153915,0.1705,0.9845,1.1166,0.4078,0,4686837075,73913938
2019-06-30,11334198377,0,6299545228,0.2215,1.1857,1.3334,0.4442,0,5034653149,1159588766
2019-03-31,10498757537,0,6295415814,0.1921,1.4389,1.6241,0.4004,0,4203341723,1241125547
2018-12-31,9626580345,0,5970549521,0.1782,1.3525,1.5803,0.3798,0,3656030824,1319982038
2018-09-30,9730541698,0,5849692057,0.1784,1.2624,1.5134,0.3988,0,3880849642,1343554614
2018-06-30,9294773596,0,5239902641,0.214,1.1844,1.3634,0.4363,0,4054870955,1417597340
2018-03-31,9341749671,0,5703928343,0.1798,1.5674,1.7871,0.3894,0,3637821328,1417556765
2017-12-31,9312830202,0,5472047113,0.1876,1.5461,1.7362,0.4124,0,3840783089,1467120385
2017-09-30,7033036997,0,3662337907,0.2554,1.0478,1.3161,0.4793,0,3370699090,1747917558
2017-06-30,5111055596,0,3300027859,0.0923,0.8691,1.1382,0.3543,0,1811027737,301111680
2017-03-31,4620948593,0,3148181009,0.0404,0.9195,1.1796,0.3187,0,1472767584,184660320
2016-12-31,4065932527,0,2937036975,0.046,1.3852,1.7015,0.2776,0,1128895552,186058080
2016-09-30,3885152237,0,2769660859,0.0453,1.2338,1.5953,0.2871,0,1115491379,174200000
2016-06-30,3942682037,0,2836518540,0.0446,1.4406,1.7626,0.2806,0,1106163497,174200000
