date,市值(元),PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,股息率,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值
2026-07-03,79732141528.5,3.5089,,,,,24.4841,,,,,5.8590,,,,,23.6518,,,,,0.0209,3.4598,,,,
2026-07-02,78892855828.2,3.4719,,,,,24.2264,,,,,5.7974,,,,,23.4028,,,,,0.0212,3.4234,,,,
2026-07-01,79638887561.8,3.5048,,,,,24.4555,,,,,5.8522,,,,,23.6242,,,,,0.0210,3.4558,,,,
2026-06-30,77027776494.2,3.3899,,,,,23.6536,,,,,5.6603,,,,,22.8496,,,,,0.0217,3.3425,,,,
2026-06-29,80198411362.0,3.5294,,,,,24.6273,,,,,5.8933,,,,,23.7901,,,,,0.0208,3.4801,,,,
2026-06-26,74603173360.0,3.2832,,,,,22.9091,,,,,5.4821,,,,,22.1304,,,,,0.0224,3.2373,,,,
2026-06-25,77214284427.6,3.3981,,,,,23.7109,,,,,5.6740,,,,,22.9049,,,,,0.0216,3.3506,,,,
2026-06-24,77307538394.3,3.4022,,,,,23.7395,,,,,5.6809,,,,,22.9326,,,,,0.0216,3.3546,,,,
2026-06-23,80011903428.6,3.5212,,,,,24.5700,,,,,5.8796,,,,,23.7348,,,,,0.0209,3.4720,,,,
2026-06-22,79172617728.3,3.4843,,,,,24.3123,,,,,5.8179,,,,,23.4858,,,,,0.0211,3.4356,,,,
2026-06-18,77121030460.9,3.3940,,,,,23.6823,,,,,5.6672,,,,,22.8773,,,,,0.0217,3.3465,,,,
2026-06-17,77400792361.0,3.4063,,,,,23.7682,,,,,5.6877,,,,,22.9602,,,,,0.0216,3.3587,,,,
2026-06-16,77214284427.6,3.3981,,,,,23.7109,,,,,5.6740,,,,,22.9049,,,,,0.0216,3.3506,,,,
2026-06-15,78799601861.5,3.4678,,,,,24.1977,,,,,5.7905,,,,,23.3752,,,,,0.0212,3.4194,,,,
2026-06-12,78892855828.2,3.4719,,,,,24.2264,,,,,5.7974,,,,,23.4028,,,,,0.0212,3.4234,,,,
2026-06-11,78426585994.7,3.4514,,,,,24.0832,,,,,5.7631,,,,,23.2645,,,,,0.0213,3.4032,,,,
2026-06-10,76934522527.5,3.3858,,,,,23.6250,,,,,5.6535,,,,,22.8219,,,,,0.0217,3.3384,,,,
2026-06-09,76934522527.5,3.3858,,,,,23.6250,,,,,5.6535,,,,,22.8219,,,,,0.0217,3.3384,,,,
2026-06-08,77494046327.7,3.4104,,,,,23.7968,,,,,5.6946,,,,,22.9879,,,,,0.0216,3.3627,,,,
