date,总资产收益率(ROA),净利润率,毛利率(GM),净资产收益率(ROE),资本回报率(ROIC)
2026-03-31,0.1018,0.1594,0.4705,0.1519,0.1339
2025-12-31,0.0993,0.1554,0.4711,0.1536,0.1348
2025-09-30,0.0998,0.155,0.469,0.1515,0.1357
2025-06-30,0.1119,0.1708,0.4771,0.1718,0.1518
2025-03-31,0.12,0.1802,0.4805,0.1787,0.1582
2024-12-31,0.1178,0.1781,0.4812,0.1786,0.1569
2024-09-30,0.121,0.1845,0.5008,0.184,0.1642
2024-06-30,0.1305,0.1902,0.5076,0.2011,0.1784
2024-03-31,0.1258,0.1815,0.5097,0.1886,0.1675
2023-12-31,0.1288,0.1795,0.5079,0.1943,0.1715
2023-09-30,0.128,0.1903,0.5071,0.1967,0.1747
2023-06-30,0.1241,0.1751,0.5041,0.202,0.1758
2023-03-31,0.1143,0.1708,0.5044,0.1842,0.1583
2022-12-31,0.1111,0.1669,0.5046,0.1802,0.154
2022-09-30,0.1179,0.1745,0.5165,0.1975,0.1639
2022-06-30,0.121,0.169,0.5207,0.2214,0.1756
2022-03-31,0.1261,0.1673,0.5165,0.2184,0.1736
2021-12-31,0.1321,0.1647,0.5192,0.2159,0.1704
2021-09-30,0.1235,0.1585,0.5396,0.214,0.1631
2021-06-30,0.1356,0.1593,0.5192,0.2588,0.1755
2021-03-31,0.1486,0.1708,0.526,0.2578,0.1819
2020-12-31,0.1368,0.1576,0.5103,0.2124,0.1734
2020-09-30,0.129,0.1669,0.4863,0.2122,0.1717
2020-06-30,0.1093,0.1494,0.4793,0.2013,0.1413
2020-03-31,0.1031,0.1262,0.4683,0.1766,0.1334
2019-12-31,0.133,0.1433,0.493,0.2203,0.1723
2019-09-30,0.1336,0.1474,0.4761,0.224,0.1828
2019-06-30,0.1212,0.1392,0.468,0.2166,
2019-03-31,0.1152,0.1343,0.4707,0.1905,
2018-12-31,0.1126,0.1331,0.47,0.1863,0.1487
2018-09-30,0.1255,0.1365,0.4628,0.2211,
2018-06-30,0.1317,0.1326,0.4677,0.2221,
2018-03-31,0.1242,0.1332,0.4626,0.1959,
2017-12-31,0.1185,0.133,0.4628,0.1885,
2017-09-30,0.1434,0.1477,0.4733,0.2435,
2017-06-30,0.1498,0.1452,0.4636,0.221,
2017-03-31,0.1507,0.1409,0.4567,0.209,
2016-12-31,0.1549,0.1418,0.4611,0.2086,
2016-09-30,0.1563,0.1425,0.4635,0.2082,
