date,货币资金,资产合计,有息负债率,流动负债合计,速动比率,应收账款,长期负债合计,资产负债率,流动比率,流动资产合计,负债合计,所有者权益合计
2026-03-31,292706576905.5,107414481341,0.0789,2764250762,2.8547,7700936967,1818800000,0.2108,3.4225,528212738,22642851932,84771629409
2025-12-31,270447748529.2,103120968579,0.0817,2709159889,2.7017,7262654077,1819100000,0.2218,3.2065,469517513,22873254978,80247713602
2025-09-30,332246536824.62,94606135416,0.0836,2565673752,2.3099,8440088869,1799100000,0.2445,2.7684,819019238,23133638111,71472497305
2025-06-30,199762706607.75,83823779902,0.0901,2227078535,1.6763,7032342936,904891240,0.2793,2.0756,825681662,23414698147,60409081755
2025-03-31,194419660620.24,84512088093,0.0768,2349782751,1.8911,7317693605,763298735,0.2572,2.2946,876183308,21733326336,62778761757
2024-12-31,158955111713.28,80325824409,0.0756,2251025010,1.9768,7951700879,2959508735,0.2644,2.3844,988835930,21240210773,59085613636
2024-09-30,152468508349.08,74238239875,0.0964,2471385962,1.8365,8014543782,2911138290,0.2513,2.3564,1135031691,18654997773,55583242102
2024-06-30,114118427085.57,74397328657,0.1052,2522712030,1.7284,7613774075,2892344086,0.2595,2.2172,1200830900,19302567478,55094761179
2024-03-31,135460736857.06,74939847737,0.1053,2162512791,1.8357,6968834889,2863036641,0.2521,2.3271,1249531080,18891550725,56048297012
2023-12-31,216007028022.68,73669349307,0.0848,1955363182,1.6405,7901380299,687016641,0.2464,2.0617,1234393855,18151903894,55517445413
2023-09-30,255829868669.7,71759281238,0.1033,2297181339,1.3513,7605627345,356647795,0.2755,1.7538,1276675259,19770878846,51988402392
2023-06-30,184912951961.13,69319133731,0.0968,3188409563,1.2419,7804641173,397856528,0.2758,1.6855,1234326928,19120352119,50198781611
2023-03-31,235894081981.5,68188088625,0.0861,3586861136,1.2787,6625200536,189849246,0.2692,1.7422,1132980215,18357086099,49831002525
2022-12-31,239801067891,64690326747,0.0925,2496636590,1.1718,5972777810,279085982,0.2746,1.6551,1048155092,17763654011,46926672736
2022-09-30,212232473811.62,65749216762,0.1031,3959048700,1.0084,6071194201,373235350,0.3135,1.4568,948475555,20612129367,45137087395
2022-06-30,307477031041.79,61913467432,0.0872,3231089721,0.9358,6371306784,0,0.3153,1.4613,862746156,19520122790,42393344641
2022-03-31,332174600843.82,57582930875,0.083,3295966557,1.1353,6389675899,0,0.2941,1.6947,843762288,16935154066,40647776809
2021-12-31,350501953683.42,55127388384,0.0778,2986378875,1.1555,4619550092,0,0.2969,1.6932,773432780,16369925768,38757462616
2021-09-30,451194502385.6,53173933657,0.0815,2548343364,1.4346,4502590254,0,0.2921,1.934,761692370,15534644670,37639288987
2021-06-30,461737139385.62,52177359888,0.0854,2010665614,1.6779,4169227755,0,0.2912,2.1345,680053972,15193844576,36983515311
2021-03-31,343562303944,48610812958,0.0848,1634751802,2.1275,3873508429,0,0.2692,2.6048,604671513,13085021981,35525790977
2020-12-31,328943779085.12,46291165699,0.0931,1580979702,2.4817,3664789833,0,0.2932,2.9114,541952792,13572674390,32718491309
2020-09-30,247865114245,44514742469,0.1071,1281163042,2.8489,3609498993,0,0.2792,3.2628,509975788,12430080638,32084661831
2020-06-30,223298351724,30875395866,0.1817,1244587276,1.2611,3310789237,557700000,0.3959,1.6703,454651700,12222257962,18653137904
2020-03-31,149410439699.7,30231316974,0.205,1053520301,1.4345,2803336145,667100000,0.4095,1.779,399533009,12380571190,17850745784
2019-12-31,152101775943.6,29239134371,0.1984,897139906,1.575,2936543069,762400000,0.4046,1.9087,379395934,11829424285,17409710086
2019-09-30,141989020899,27370406690,0.1921,757323033,1.9009,2982196902,815000000,0.3675,2.1965,301343280,10058221289,17312185401
2019-06-30,101418281879.2,24428422653,0.0931,697159713,2.0135,2503271390,15000000,0.2579,2.3235,322440843,6299257457,18129165196
2019-03-31,109775244047.8,23764446579,0.0209,627569584,2.9945,2192497773,15000000,0.2052,3.4025,344665231,4876102963,18888343616
2018-12-31,87192517997.4,22667201901,0.0231,681863412,2.7621,1994688445,15000000,0.1986,3.1383,384530263,4501971091,18165230810
2018-09-30,96435763578,17150999708,0.1389,610014003,1.1552,1872520292,365000000,0.3574,1.4105,312253612,6130180991,11020818717
2018-06-30,98936528922,16213943364,0.1306,0,1.3808,1899166050,465000000,0.3581,1.5728,0,5806029268,10407914096
2018-03-31,,12710628562,0.1457,0,1.0393,1703009842,495000000,0.444,1.238,0,5643084221,7067544342
2017-12-31,,12580446945,0.13,0,1.0148,1596832559,300000000,0.4644,1.1834,0,5842436615,6738010331
2017-09-30,,,,0,,0,0,,,0,,
2017-06-30,,,,0,,0,0,,,0,,
2017-03-31,,,,0,,0,0,,,0,,
2016-12-31,,10590682810,0.0462,0,1.3067,1374167672,0,0.4276,1.4377,0,4528277751,6062405059
