date,metric,value
2026-03-31,速动比率,2.8547
2026-03-31,流动资产合计,528212738
2026-03-31,营业收入,12435776568
2026-03-31,自由现金流量,11703255443
2026-03-31,货币资金,292706576905.5
2026-03-31,净利润率,0.4206
2026-03-31,长期负债合计,1818800000
2026-03-31,经营活动产生的现金流量净额,3595810327
2026-03-31,所有者权益合计,84771629409
2026-03-31,毛利率(GM),0.4943
2026-03-31,负债合计,22642851932
2026-03-31,资本回报率(ROIC),0.253
2026-03-31,有息负债率,0.0789
2026-03-31,流动比率,3.4225
2026-03-31,应收账款,7700936967
2026-03-31,基本每股收益,1.59
2026-03-31,净资产收益率(ROE),0.275
2026-03-31,资产合计,107414481341
2026-03-31,总资产收益率(ROA),0.2114
2026-03-31,归属于母公司普通股股东的净利润,4651517988
2026-03-31,流动负债合计,2764250762
2026-03-31,经营活动产生的现金流量净额对净利润的比率,0.8677
2026-03-31,资产负债率,0.2108
