date,经营活动产生的现金流量净额,累积同比,经营活动产生的现金流量净额对净利润的比率,自由现金流量
2026-03-31,3595810327,0.1253,0.8677,11703255443
2025-12-31,17203161622,0.3866,0.8898,11740129719
2025-09-30,11412834667,0.3621,1.0177,10377964949
2025-06-30,7430981532,0.4963,1.0662,10292224963
2025-03-31,3195429862,0.4157,1.1784,9434966222
2024-12-31,12406514835,-0.0732,1.2967,8418859831
2024-09-30,8379092385,-0.1878,1.4043,7105499654
2024-06-30,4966294187,-0.1129,1.479,8158617733
2024-03-31,2257117808,-0.2544,1.3318,7572854570
2023-12-31,13386911779,0.261,1.3801,7886471908
2023-09-30,10316787860,0.3382,1.3767,6368096136
2023-06-30,5598180734,0.401,1.2749,4282953783
2023-03-31,3027329258,5.0855,1.3937,4417766609
2022-12-31,10616029917,1.3132,1.1925,947980348
2022-09-30,7709650548,1.4238,1.0138,559519629
2022-06-30,3995746918,0.8648,0.9049,-1895796384
2022-03-31,497469054,-0.2562,0.836,-3655416980
2021-12-31,4589288733,0.1549,0.8936,-2344988157
2021-09-30,3180775809,0.3133,1.1302,-1203200388
2021-06-30,2142714339,0.4925,1.1847,9014327
2021-03-31,668780227,-0.3905,0.8465,-161633023
2020-12-31,3973728222,0.3627,1.3307,951282634
2020-09-30,2421904868,0.3659,1.4373,957896727
2020-06-30,1435658632,0.4667,1.3311,895735242
2020-03-31,1097244434,4.7726,2.1205,1467991394
2019-12-31,2916032313,0.7776,1.5256,400079337
2019-09-30,1773185019,0.9331,1.1488,-290710476
2019-06-30,978806854,0.9645,0.9936,-400149965
2019-03-31,190076618,6.9976,0.7623,-525381217
2018-12-31,1640427764,-0.0854,0.7029,-598998041
2018-09-30,917299031,-0.1825,0.7352,-72268130
2018-06-30,498256772,-0.1325,0.9442,60796945
2018-03-31,-31691939,-1.2931,1.3326,73811332
2017-12-31,1793610275,0.021,1.3832,435994487
2017-09-30,1122083544,,,
2017-06-30,574334220,,,
2017-03-31,108133270,,,
2016-12-31,1756793418,1.3786,1.5672,923171760
