date,流动比率,应收账款,有息负债率,所有者权益合计,负债合计,流动负债合计,货币资金,资产负债率,流动资产合计,长期负债合计,资产合计,速动比率
2026-03-31,3.518,2087717456,0.0649,25135690136,5631915418,920789900,35029595615.23,0.183,0,1249151364,30767605555,1.9402
2025-12-31,3.7632,2030861178,0.0644,24869520479,5211002198,430651506,37754618308.95,0.1732,0,1234084094,30080522677,2.032
2025-09-30,3.8456,2763921410,0.0636,25937595960,5520215441,460448369,53031878770,0.1755,0,1241915798,31457811401,2.1896
2025-06-30,3.5047,2798353586,0.05,25832508377,5962342692,320909564,40459244126.22,0.1875,0,1133844630,31794851069,2.2988
2025-03-31,4.3226,2654328572,0.0482,26562491455,5133838860,515874568,39896290336.2,0.162,0,1125488421,31696330315,2.7673
2024-12-31,4.7589,2721104819,0.0503,26102444732,4948673309,471518928,40569673299.76,0.1594,0,1229164297,31051118040,3.1526
2024-09-30,4.8948,3083204427,0.0477,26015512697,5057267137,470918530,44207756781.21,0.1628,0,853848156,31072779833,3.304
2024-06-30,4.8223,2819046471,0.0518,24920547349,5063132701,258145155,37113906969.3,0.1689,0,885071932,29983680050,3.2402
2024-03-31,4.5882,2960165750,0.0322,25827683168,4823110414,314973603,48622166196.1,0.1574,0,220599875,30650793582,3.1995
2023-12-31,3.7851,3214279382,0.0474,25032257847,5711393078,371650107,58998697542,0.1858,0,176623712,30743650925,2.6232
2023-09-30,4.4827,2822933251,0.0505,24226427167,5431160009,340581253,56247043610,0.1831,0,753958654,29657587176,3.0227
2023-06-30,4.1598,2300944205,0.0554,22629032617,5450768483,800485375,55154475137,0.1941,0,752364405,28079801099,2.6725
2023-03-31,4.2466,2147364686,0.0512,21693947508,5080624430,590883374,66089108707,0.1898,0,634986173,26774571938,2.6772
2022-12-31,4.0148,2196988082,0.0556,20806497203,5220865791,544998291,67365692270.5,0.2006,0,634986173,26027362995,2.5056
2022-09-30,4.1918,2519488241,0.0591,20159272829,5324828997,545350381,68944101401.5,0.2089,0,812397017,25484101826,2.5579
2022-06-30,3.9659,1941349513,0.0639,18706183299,5376330835,754686078,94469810091.8,0.2232,0,812397017,24082514134,2.3383
2022-03-31,3.7541,1864017748,0.0667,18010898372,5357999114,745267933,67932300676.5,0.2293,0,762397017,23368897486,2.3677
2021-12-31,3.7191,1421062460,0.0683,17236818743,5278950778,682654439,109841086706,0.2345,0,712397017,22515769521,2.308
2021-09-30,4.2449,1741209702,0.0688,16886568126,5016044058,440336481,111160474851.4,0.229,0,910481432,21902612184,2.7065
2021-06-30,4.334,1470528721,0.0773,15386359168,4761662391,706512734,156626752230,0.2363,0,910481432,20148021560,2.8577
2021-03-31,4.107,1465669072,0.0834,13217024440,4555403178,746546977,183229016891.7,0.2563,0,961403572,17772427618,2.6334
2020-12-31,3.196,1354832986,0.0855,12323234702,4521388510,654197806,181682985383.9,0.2684,0,329423781,16844623212,2.0807
2020-09-30,2.8427,1478068351,0.0991,11258119506,4766815839,691646619,149600807995.6,0.2975,0,247817676,16024935345,2.1461
2020-06-30,2.7662,1182587436,0.1106,10209377034,4513446751,566036332,176174742237,0.3066,0,257817676,14722823785,2.1106
2020-03-31,2.6443,1023305008,0.1093,9380415635,4540187199,800996090,110893362200,0.3261,0,201413989,13920602834,1.9749
2019-12-31,2.7171,894774090,0.0458,8807574845,3913773135,0,90454987050,0.3077,0,67595394,12721347980,1.9995
2019-09-30,2.2774,1113034802,0.0246,7642508378,3411805121,0,67085474797.2,0.3086,0,16876456,11054313499,1.5377
2019-06-30,2.1802,851189058,0.0268,6875633462,3082326387,0,57497947260,0.3095,0,11810000,9957959849,1.4016
2019-03-31,2.075,840604349,0.0272,6366695738,3460882002,0,53923888467.3,0.3522,0,11810000,9827577740,1.3882
2018-12-31,2.2432,717499876,0.0284,6326014737,3087031008,0,29769647250,0.328,0,11810000,9413045745,1.4633
2018-09-30,2.5173,927702579,0.0118,6098699263,2580847810,0,40316607990,0.2973,0,12375000,8679547073,1.3139
2018-06-30,2.5886,864614193,0.0127,5659118741,2404534554,0,38734563879,0.2982,0,12432500,8063653295,1.3944
2018-03-31,2.5239,642858938,0.0132,5389587507,2412623534,0,31229210526.6,0.3092,0,12490000,7802211042,1.339
2017-12-31,2.6637,537502354,0.0146,5200335469,2151099827,0,31130545410,0.2926,0,12490000,7351435297,1.5888
2017-09-30,2.4578,754923429,0.0122,5011292988,2407120676,0,25270177708.5,0.3245,0,13170000,7418413664,1.4399
2017-06-30,2.6481,619750570,0.012,4700807968,2004784695,0,21963195179.7,0.299,0,3170000,6705592663,1.557
2017-03-31,2.6511,573691598,0.0109,4666672321,1982447259,0,18712349700,0.2982,0,3170000,6649119580,1.8014
2016-12-31,2.7835,446345116,0.0137,4450449758,1753071673,0,19027057399.5,0.2826,0,7670000,6203521430,2.1618
2016-09-30,3.2846,491938487,0.0148,4464637525,1458348131,0,17671262607.6,0.2462,0,8710000,5922985656,2.5041
