date,自由现金流量,经营活动产生的现金流量净额对净利润的比率,经营活动产生的现金流量净额,累积同比
2026-03-31,-716508567,-5.9745,1097974737,0.9227
2025-12-31,-1398442034,-34.0823,802133083,-0.7416
2025-09-30,-1235844398,0.8641,721916282,-0.7668
2025-06-30,181883865,1.2733,1221025282,-0.3825
2025-03-31,311074417,1.1113,571068215,-0.4972
2024-12-31,926552113,1.1465,3104279406,-0.3918
2024-09-30,2224535982,1.169,3095834054,-0.1457
2024-06-30,2857417787,1.1592,1977431299,-0.0224
2024-03-31,3154746017,1.1028,1135769257,0.2126
2023-12-31,3014446177,1.0687,5103687813,0.8057
2023-09-30,2752841104,1.0962,3623708359,1.2669
2023-06-30,1649833078,0.9221,2022719787,1.2184
2023-03-31,985336059,0.8042,936665806,0.5521
2022-12-31,738366344,0.6706,2826408333,-0.1514
2022-09-30,1174007531,0.7646,1598542804,-0.0769
2022-06-30,969609602,0.7261,911797607,-0.3013
2022-03-31,1101912281,0.8019,603486977,-0.0197
2021-12-31,1105653764,0.8546,3330619225,1.9979
2021-09-30,-638318495,0.2811,1731686124,0.028
2021-06-30,99104871,0.4126,1305063706,0.6048
2021-03-31,236531509,0.3817,615587394,0.8248
2020-12-31,141436926,0.3359,1110989855,-0.4257
2020-09-30,1056189368,0.6707,1684549749,0.0687
2020-06-30,1070987999,0.6869,813219183,-0.0424
2020-03-31,745498650,0.6867,337347764,-0.4545
2019-12-31,1094457906,0.8236,1934670685,1.1884
2019-09-30,1351758973,1.076,1576236480,4.2321
2019-06-30,698459232,0.9211,849185729,3.5569
2019-03-31,974060702,1.0281,618405536,3.9831
2018-12-31,225887885,0.6044,884066573,1.318
2018-09-30,150760854,0.4299,301263696,3.3626
2018-06-30,455699308,0.6235,186352854,1.7717
2018-03-31,-82061490,0.1704,-207305319,-356.5123
2017-12-31,152021244,0.4111,381387328,0.238
2017-09-30,38549063,0.2869,69055424,-0.4278
2017-06-30,3127863,0.2305,-241492575,-1.0571
2017-03-31,213777966,0.5471,-579855,0.9934
2016-12-31,123509897,0.4551,308073522,-0.6002
2016-09-30,150863423,0.5613,120692349,-0.7766
