date,净资产收益率(ROE),资本回报率(ROIC),毛利率(GM),总资产收益率(ROA),净利润率
2026-03-31,0.2503,0.2122,0.3136,0.098,0.1398
2025-12-31,0.3008,0.2571,0.3183,0.1158,0.1517
2025-09-30,0.3674,0.2912,0.3269,0.1369,0.1643
2025-06-30,0.355,0.2811,0.3122,0.132,0.1554
2025-03-31,0.3425,0.2711,0.3011,0.1247,0.1537
2024-12-31,0.3234,0.2596,0.2994,0.1138,0.1447
2024-09-30,0.3171,0.2372,0.304,0.1078,0.132
2024-06-30,0.3543,0.2698,0.3157,0.1226,0.1372
2024-03-31,0.3852,0.2948,0.3187,0.1367,0.1409
2023-12-31,0.3907,0.3073,0.3036,0.133,0.133
2023-09-30,0.3947,0.295,0.2914,0.1312,0.1381
2023-06-30,0.3457,0.2697,0.268,0.1167,0.1266
2023-03-31,0.2499,0.1949,0.2498,0.0887,0.0995
2022-12-31,0.2028,0.1654,0.2455,0.0707,0.0918
2022-09-30,0.1287,0.1067,0.2191,0.0477,0.0718
2022-06-30,0.1287,0.1064,0.22,0.0464,0.0658
2022-03-31,0.1221,0.1045,0.2259,0.0477,0.0685
2021-12-31,0.1236,0.1079,0.2225,0.0481,0.0706
2021-09-30,0.1801,0.1572,0.2511,0.0746,0.1042
2021-06-30,0.2201,0.1855,0.2597,0.0863,0.1124
2021-03-31,0.2186,0.185,0.2364,0.0875,0.1061
2020-12-31,0.2014,0.1727,0.2307,0.0777,0.1024
2020-09-30,0.169,0.1468,0.2365,0.0698,0.0874
2020-06-30,0.1187,0.1065,0.2108,0.0484,0.0663
2020-03-31,0.1061,0.0949,0.2398,0.0441,0.071
2019-12-31,0.1102,0.0978,0.2381,0.0441,0.0701
2019-09-30,0.0968,0.0908,0.2301,0.0442,0.0653
2019-06-30,0.0998,,0.2453,0.0443,0.0709
2019-03-31,0.1038,,0.2429,0.0462,0.0727
2018-12-31,0.1103,0.0988,0.2486,0.0471,0.0788
2018-09-30,0.1221,,0.293,0.0552,0.1118
2018-06-30,0.1492,,0.2807,0.0688,0.1116
2018-03-31,0.1637,,0.2767,0.0826,0.1167
2017-12-31,0.1562,,0.2726,0.0727,0.1141
2017-09-30,0.1592,,0.2595,0.077,0.1058
2017-06-30,0.113,,0.26,0.056,0.0958
2017-03-31,0.1216,,0.2614,0.0588,0.0934
2016-12-31,0.1241,,0.2459,0.0592,0.091
2016-09-30,0.1107,,0.2453,0.0558,0.0871
