date,市值(元),PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,股息率,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值
2026-07-03,95104767807.4,-13.7767,,,,,1.4009,,,,,0.0000,1.8972,,,,,1.8843,,,,,-12.6583,,,,
2026-07-02,96847723711.44,-14.0292,,,,,1.4266,,,,,0.0000,1.9320,,,,,1.9188,,,,,-12.8903,,,,
2026-07-01,99954732062.12,-14.4793,,,,,1.4724,,,,,0.0000,1.9940,,,,,1.9804,,,,,-13.3038,,,,
2026-06-30,99424267221.76,-14.4025,,,,,1.4646,,,,,0.0000,1.9834,,,,,1.9699,,,,,-13.2332,,,,
2026-06-29,97075026279.84,-14.0621,,,,,1.4300,,,,,0.0000,1.9365,,,,,1.9233,,,,,-12.9205,,,,
2026-06-26,96014097030.88,-13.9085,,,,,1.4143,,,,,0.0000,1.9154,,,,,1.9023,,,,,-12.7793,,,,
2026-06-25,95559413067.04,-13.8426,,,,,1.4076,,,,,0.0000,1.9063,,,,,1.8933,,,,,-12.7188,,,,
2026-06-24,94346922496.8,-13.6670,,,,,1.3898,,,,,0.0000,1.8821,,,,,1.8693,,,,,-12.5574,,,,
2026-06-23,95559413067.04,-13.8426,,,,,1.4076,,,,,0.0000,1.9063,,,,,1.8933,,,,,-12.7188,,,,
2026-06-22,100257814026.72,-14.5232,,,,,1.4769,,,,,0.0000,2.0000,,,,,1.9864,,,,,-13.3442,,,,
2026-06-18,97302368261.76,-14.0951,,,,,1.4333,,,,,0.0000,1.9411,,,,,1.9278,,,,,-12.9508,,,,
2026-06-17,99045323456.48,-14.3476,,,,,1.4590,,,,,0.0000,1.9759,,,,,1.9624,,,,,-13.1828,,,,
2026-06-16,100788278651.2,-14.6000,,,,,1.4847,,,,,0.0000,2.0106,,,,,1.9969,,,,,-13.4148,,,,
2026-06-15,101394523936.32,-14.6879,,,,,1.4936,,,,,0.0000,2.0227,,,,,2.0089,,,,,-13.4955,,,,
2026-06-12,102000769221.44,-14.7757,,,,,1.5025,,,,,0.0000,2.0348,,,,,2.0209,,,,,-13.5761,,,,
2026-06-11,103364821112.96,-14.9733,,,,,1.5226,,,,,0.0000,2.0620,,,,,2.0480,,,,,-13.7577,,,,
2026-06-10,106699170181.12,-15.4563,,,,,1.5717,,,,,0.0000,2.1285,,,,,2.1140,,,,,-14.2015,,,,
2026-06-09,98060174868.16,-14.2049,,,,,1.4445,,,,,0.0000,1.9562,,,,,1.9429,,,,,-13.0517,,,,
2026-06-08,94271141836.16,-13.6560,,,,,1.3887,,,,,0.0000,1.8806,,,,,1.8678,,,,,-12.5473,,,,
