date,市值(元),PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,股息率,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值
2026-07-03,195353624559.6,41.0200,,,,,41.2084,,,,,5.9308,,,,,0.0069,5.5769,,,,,4.2220,,,,
2026-07-02,185200109769.6,38.8880,,,,,39.0666,,,,,5.6225,,,,,0.0073,5.2870,,,,,4.0026,,,,
2026-07-01,184658588980.8,38.7743,,,,,38.9523,,,,,5.6061,,,,,0.0073,5.2715,,,,,3.9909,,,,
2026-06-30,179595369605.52,37.7111,,,,,37.8843,,,,,5.4524,,,,,0.0075,5.1270,,,,,3.8815,,,,
2026-06-29,176617005267.12,37.0857,,,,,37.2560,,,,,5.3619,,,,,0.0077,5.0420,,,,,3.8171,,,,
2026-06-26,171337177576.32,35.9770,,,,,36.1423,,,,,5.2017,,,,,0.0079,4.8912,,,,,3.7030,,,,
2026-06-25,180976247616.96,38.0010,,,,,38.1756,,,,,5.4943,,,,,0.0075,5.1664,,,,,3.9113,,,,
2026-06-24,179541217526.64,37.6997,,,,,37.8729,,,,,5.4507,,,,,0.0075,5.1255,,,,,3.8803,,,,
2026-06-23,180922095538.08,37.9897,,,,,38.1642,,,,,5.4926,,,,,0.0075,5.1649,,,,,3.9101,,,,
2026-06-22,186689291938.8,39.2007,,,,,39.3807,,,,,5.6677,,,,,0.0072,5.3295,,,,,4.0348,,,,
2026-06-18,192727248733.92,40.4685,,,,,40.6544,,,,,5.8510,,,,,0.0070,5.5019,,,,,4.1653,,,,
2026-06-17,188855375094.0,39.6555,,,,,39.8376,,,,,5.7335,,,,,0.0072,5.3913,,,,,4.0816,,,,
2026-06-16,190182101026.56,39.9341,,,,,40.1175,,,,,5.7738,,,,,0.0071,5.4292,,,,,4.1103,,,,
2026-06-15,187636953319.2,39.3996,,,,,39.5806,,,,,5.6965,,,,,0.0072,5.3566,,,,,4.0552,,,,
2026-06-12,181842680879.04,38.1830,,,,,38.3584,,,,,5.5206,,,,,0.0074,5.1912,,,,,3.9300,,,,
