date,归属于母公司普通股股东的净利润,累积同比,基本每股收益,营业收入
2026-03-31,1013451152,-0.2339,0.37,10143223378
2025-12-31,5050002090,0.1784,1.87,45104844200
2025-09-30,4254130655,0.2684,1.58,31662606470
2025-06-30,2968388047,0.4015,1.1,20509357783
2025-03-31,1322825045,0.6308,0.49,8977911730
2024-12-31,4285493341,-0.0962,1.6,37040952139
2024-09-30,3353827529,0.0104,1.25,25397421789
2024-06-30,2118060738,0.0198,0.79,16183334477
2024-03-31,811139197,0.0856,0.3,6492396169
2023-12-31,4741863347,0.0977,1.78,30419925398
2023-09-30,3319367588,0.076,1.25,20121204085
2023-06-30,2076923359,0.0517,0.78,12450888303
2023-03-31,747152095,0.0415,0.28,4781730120
2022-12-31,4319762362,0.2089,1.64,23008312443
2022-09-30,3084814385,0.2379,1.17,16240936078
2022-06-30,1974878638,0.2636,0.75,10396553539
2022-03-31,717395633,0.11,0.27,4778176036
2021-12-31,3573404586,0.7015,1.37,17943256595
2021-09-30,2491882959,0.6631,0.96,13347819220
2021-06-30,1562912978,1.0181,0.61,8274106006
2021-03-31,646279199,2.7466,0.38,3412719338
2020-12-31,2100142116,1.2062,1.22,11511316766
2020-09-30,1498299053,1.3193,0.87,8098481093
2020-06-30,774443568,0.9433,0.45,4784043444
2020-03-31,172496430,0.3357,0.1,1547534852
2019-12-31,951936270,-0.1842,0.58,7390370858
2019-09-30,646005278,-0.1865,0.39,4908300996
2019-06-30,398526011,-0.1967,0.24,2718925632
2019-03-31,129145489,-0.3428,0.08,1099937381
2018-12-31,1166898441,0.1008,0.71,5874357771
2018-09-30,794088455,0.098,0.48,3939037418
2018-06-30,496117938,0.1572,0.3,2472708274
2018-03-31,196499425,0.1394,0.12,975254510
2017-12-31,1060041826,0.1376,0.65,4777295691
2017-09-30,723196881,0.0503,0.44,3129624426
2017-06-30,428731196,0.1031,0.27,1937009821
2017-03-31,172451688,0.2354,0.11,781883581
2016-12-31,931837484,0.1514,0.59,3660045213
2016-09-30,688585327,0.1746,0.43,2453239756
