date,营业收入,累积同比,归属于母公司普通股股东的净利润,基本每股收益
2026-03-31,10322863909,0.258,1634739049,2.2556
2025-12-31,39353112420,0.3085,5521993005,7.6446
2025-09-30,27301379657,0.3297,5130342603,7.1093
2025-06-30,16141546185,0.2951,3207978524,4.4496
2025-03-31,8206029209,0.379,1580707286,2.9613
2024-12-31,29838069162,0.3514,5621189109,10.5725
2024-09-30,20352770959,0.3951,4462521362,8.4019
2024-06-30,12334907204,0.4638,2780604301,5.2403
2024-03-31,5859163381,0.5136,1126550627,2.1245
2023-12-31,22079458092,0.5032,3899069988,7.3623
2023-09-30,14588362293,0.457,2884216679,5.4478
2023-06-30,8426590088,0.5479,1799236523,3.4
2023-03-31,3871132954,0.8126,591683918,1.1185
2022-12-31,14688111970,0.5168,2352726658,4.4612
2022-09-30,10012301492,0.6219,1686103846,3.1994
2022-06-30,5443813859,0.5087,754624930,1.4332
2022-03-31,2135734862,0.5004,206460351,0.3927
2021-12-31,9683478119,0.599,1077409991,2.1478
2021-09-30,6173374643,0.6095,658295423,1.3372
2021-06-30,3608358720,0.6575,310345603,0.6251
2021-03-31,1423425331,0.5176,72908240,0.1469
2020-12-31,6056043031,0.4923,536930435,1.0935
2020-09-30,3835578895,0.4016,326584910,0.6655
2020-06-30,2176996774,0.3157,184077524,0.3735
2020-03-31,937940634,0.3249,26486491,0.054
2019-12-31,4058312882,0.221,309032271,0.6708
2019-09-30,2736629592,0.3024,219389759,0.479
2019-06-30,1654642958,0.1863,128561483,0.2807
2019-03-31,707938610,0.3051,19913840,0.0435
2018-12-31,3323850957,0.4953,233691725,0.5102
2018-09-30,2101147117,0.3559,168646212,0.3682
2018-06-30,1394741306,0.3344,119005629,0.2598
2018-03-31,542427314,0.3085,15359489,0.0335
2017-12-31,2222818470,0.3701,125610225,0.2743
2017-09-30,1549686643,0.4925,80263571,0.1752
2017-06-30,1045242159,0.4887,52788794,0.1153
2017-03-31,414526271,0.5971,1603983,0.0035
2016-12-31,1622387418,0.3295,92901565,0.2202
2016-09-30,1038322772,0.4213,62773274,0.1531
