date,资产负债率,负债合计,流动比率,长期负债合计,流动资产合计,应收账款,速动比率,所有者权益合计,流动负债合计,货币资金,有息负债率,资产合计
2026-03-31,0.3026,40941492453,2.7214,1205600074,927951274,27395097013,2.0311,94370094773,4670888035,278795392551,0.0492,135311587227
2025-12-31,0.3392,46832791980,2.4186,1210564814,974450160,29812378946,1.9117,91216863355,4200490873,273479767052,0.059,138049655335
2025-09-30,0.338,43891870294,2.4265,1357343269,958384100,33173991627,1.8919,85971502691,3596901370,288876751256,0.0537,129863372986
2025-06-30,0.3103,38605886426,2.6413,1227788621,916055436,34838491118,2.0605,85808878856,3380938673,256036589579.98,0.0578,124414765281
2025-03-31,0.2931,36858261328,3.1452,4587103096,965373065,35064107761,2.4612,88877266726,3266516789,283459188608.2,0.0594,125735528055
2024-12-31,0.3372,44515905408,2.7223,5119185000,985822786,37910128735,2.1708,87500294748,3353943054,283459188608.2,0.0553,132016200156
2024-09-30,0.3296,40900297781,2.8525,5667258530,992428761,39164920133,2.2063,83194000716,3235944809,298139973946.54,0.0677,124094298497
2024-06-30,0.3744,47838540852,2.4952,5680041584,1195004401,36783112910,1.9814,79947505879,3071483494,288408874777.21,0.1206,127786046731
2024-03-31,0.3599,47605204531,2.7695,5968656279,1175454915,33396304551,2.2112,84654444767,3136124458,300072125940.96,0.1277,132259649298
2023-12-31,0.4082,56684395671,2.5477,8940122961,1173312415,35815173511,2.0773,82163611878,2977990775,323958464324.32,0.1243,138848007549
2023-09-30,0.3975,50666547145,2.6974,9251855308,1154739957,35040102720,2.1301,76790846417,3094814815,315374311467.8,0.1372,127457393562
2023-06-30,0.388,46137844851,2.8908,9698069195,1872717726,31626699149,2.2105,72779403225,2770165431,310039814643.79,0.1291,118917248075
2023-03-31,0.3569,41817117229,3.5625,10674015568,2065108385,29312106347,2.7586,75360607665,2686194706,399465372778.74,0.1233,117177724893
2022-12-31,0.388,46263128794,2.8498,7522315342,2118223371,29906294410,2.2196,72970153968,2644496508,327064327240.32,0.1013,119233282761
2022-09-30,0.3844,42382236116,2.9501,7497879117,1364895196,31771688555,2.2427,67882161886,2492365487,286958209231.98,0.1084,110264398003
2022-06-30,0.3861,40504148224,2.7053,4730784322,1351087066,29113163448,1.9861,64390185636,2385309266,341482155627.8,0.0997,104894333860
2022-03-31,0.3486,36403655023,3.0681,3568900791,1496973175,25789666608,2.3359,68029499829,2351116067,386761557479,0.0934,104433154852
2021-12-31,0.3704,38469900919,2.5838,3284371643,1411372625,26174773100,1.9863,65394642276,2580894227,488449375884.48,0.0797,103864543195
2021-09-30,0.3866,37221508177,2.3685,2128684837,282869179,26163648778,1.7783,59046544392,2611871267,513469336270,0.0967,96268052569
2021-06-30,0.3804,33136885138,2.4043,1911015151,184239074,23802312769,1.8833,53981943926,2490674993,602650408755,0.1008,87118829064
2021-03-31,0.3411,29461855509,2.7435,1938063535,196024032,20973667434,2.2163,56916721065,2036442723,522297020921,0.1081,86378576574
2020-12-31,0.3858,34221938984,2.3943,1961167761,245754511,21979380717,2.0094,54479743401,2161166671,453249167886.9,0.1068,88701682384
2020-09-30,0.3896,30862399079,2.7077,4797581206,126490278,23081153717,2.231,48354335199,1352215377,356138357777,0.118,79216734278
2020-06-30,0.3849,27691967125,2.7904,4771375714,111392632,21449479248,2.2375,44246355256,1172844149,283621074745,0.1304,71938322381
2020-03-31,0.3571,26094986235,3.0923,4624468571,684021983,19745451604,2.4068,46988926714,1328269264,260725798530,0.118,73083912948
2019-12-31,0.3966,29885141355,2.7221,4604168571,0,21307927200,2.2299,45472858885,0,305955650318,0.0973,75358000240
2019-09-30,0.3994,27273995295,2.571,4530620000,0,22263835275,2.0978,41014833541,0,301843845610,0.121,68288828836
2019-06-30,0.426,27412534764,2.4077,4631400000,0,19126324207,1.9934,36932366849,0,257816635029.8,0.143,64344901613
2019-03-31,0.3462,20961980552,3.0978,4240800000,0,16764976485,2.7013,39585781552,0,327850700165.1,0.131,60547762105
2018-12-31,0.402,25520215857,2.1703,440000000,0,16619441281,1.92,37964136376,0,237694487307.2,0.1116,63484352233
2018-09-30,0.3887,21352037549,2.2108,190000000,0,18180455834,1.9119,33580866129,0,265191753307.8,0.1353,54932903679
2018-06-30,0.3956,19786925107,2.1563,190000000,0,16949626313,1.8509,30232786510,0,342608552551.1,0.15,50019711617
2018-03-31,0.3538,17765203308,2.4418,190000000,0,15970671829,2.1069,32443058821,0,381086270411,0.1278,50208262129
2017-12-31,0.4066,20966842029,2.5959,490000000,0,14705210073,2.278,30604121438,0,359925739290,0.1022,51570963467
2017-09-30,0.3867,17133954547,3.0502,1310990201,0,15171778608,2.5897,27170454186,0,295323683520,0.1319,44304408733
2017-06-30,0.4163,17288098889,2.8211,1319408176,0,13304046010,2.4148,24236835572,0,298092343053,0.1714,41524934461
2017-03-31,0.3905,16657971342,3.1918,1844041517,0,12046663765,2.7895,25999847708,0,196345576306,0.1745,42657819050
2016-12-31,0.4077,16852333890,3.0145,1722207584,0,11242812903,2.6758,24486673925,0,145305451050.9,0.116,41339007815
2016-09-30,0.4071,14855030154,2.971,759028249,0,12055572930,2.544,21639291047,0,149344285558.6,0.1155,36494321201
