date,资产负债率,长期负债合计,负债合计,流动资产合计,流动比率,应收账款,速动比率,有息负债率,流动负债合计,资产合计,所有者权益合计,货币资金
2026-03-31,0.3313,1239390471,16356055581,0,2.2716,4104054477,1.5583,0.2039,340518798,49366048456,33009992875,119751594162
2025-12-31,0.3543,1617721216,15446649875,0,2.1028,3943876336,1.396,0.2247,240285079,43600508996,28153859121,152308770025.1
2025-09-30,0.3734,2277682646,16508414735,0,2.4593,4716391716,1.6405,0.246,244705208,44208848002,27700433267,182368829222.04
2025-06-30,0.3836,2434671532,16297292045,0,2.4267,4449898954,1.613,0.2412,204463535,42484299696,26187007651,155371833344.85
2025-03-31,0.3754,1243100000,15162240041,0,2.2488,3744034978,1.4818,0.2497,240500808,40386840235,25224600193,161513376783.36
2024-12-31,0.3789,3471950000,14762183203,0,2.8707,3963932711,1.9218,0.2523,225672725,38964573304,24202390101,126975458289.35
2024-09-30,0.409,3332800000,15703558266,0,2.5318,4377050133,1.6444,0.2619,220366473,38392622827,22689064560,130186575686.4
2024-06-30,0.4144,3012800000,15384626190,0,2.4221,4350708712,1.5491,0.2634,212681965,37126885585,21742259394,120811631209.63
2024-03-31,0.4311,2106990000,15976743247,0,2.0449,3888873574,1.3132,0.2697,222163287,37063886693,21087143446,119644485357.67
2023-12-31,0.4305,2977396365,16248476852,0,2.2345,4031470990,1.5131,0.294,186780655,37743164483,21494687630,129706426184.37
2023-09-30,0.4946,3033297248,17745579010,0,1.7734,3885613253,1.0098,0.3471,152135592,35880244522,18134665512,110165239576.26
2023-06-30,0.4935,2884791865,18521531834,0,1.703,3015666127,0.8177,0.3601,175987585,37527537330,19006005495,116096901218.76
2023-03-31,0.4998,3601227898,18322888827,0,1.816,2855931217,0.77,0.3699,240893827,36661415880,18338527053,107878699520.9
2022-12-31,0.4856,2749776000,17089931594,0,1.8908,2501906104,0.6768,0.3636,125370583,35190162216,18100230622,91297839252.75
2022-09-30,0.4689,2861109863,17385693190,0,2.0732,2890140281,0.7048,0.3234,142657318,37077905343,19692212152,94898117256.75
2022-06-30,0.4808,3035671500,18067806448,0,2.0383,3011907041,0.8959,0.3101,164757492,37579769939,19511963491,151752889871.44
2022-03-31,0.4673,2364677515,15095741054,0,2.2242,3031986765,1.0483,0.2873,153290109,32301146052,17205404998,169594240053.6
2021-12-31,0.4918,3447983828,15775552805,0,2.3329,2878259523,1.2982,0.2999,149444136,32079927550,16304374745,272148919957.35
2021-09-30,0.5046,3697111698,15110478844,0,2.424,2713162926,1.4725,0.3146,261516802,29945639357,14835160513,210853439833.68
2021-06-30,0.5068,2994442772,14102169580,0,2.3131,3574228688,1.4853,0.3118,193024964,27823178033,13721008453,279683006008
2021-03-31,0.5202,2977130610,14146142087,0,2.2484,3532316170,1.5088,0.3168,203451227,27193330390,13047188303,222866926366.48
2020-12-31,0.4911,3181591112,11122941878,0,2.0326,2526000315,1.24,0.2756,110036316,22647992329,11525050451,200502217411.3
2020-09-30,0.5143,3009203393,10987115020,0,1.9119,3725566969,1.0466,0.3001,157940410,21362520118,10375405098,153172581542
2020-06-30,0.5426,3050864432,11726400414,0,1.7608,3189194484,0.8567,0.2907,318956298,21611100281,9884699867,174399294370
2020-03-31,0.5341,2806646280,10395472702,0,1.9538,2923322548,1.0693,0.2904,224696359,19463513109,9068040407,134631591940
2019-12-31,0.5448,928000000,9520846720,0,1.4306,2539895677,0.8136,0.2877,0,17476223433,7955376713,123849145140
2019-09-30,0.5463,935000000,9222893774,0,1.4411,2426013910,0.8302,0.3131,0,16882772469,7659878696,84733888631
2019-06-30,0.7039,35000000,3991651416,0,0.6826,790869317,0.3856,0.3449,0,5670514725,1678863309,25022703345.4
2019-03-31,0.6907,42000000,3852339912,0,0.7093,761527568,0.3906,0.3345,0,5577228728,1724888816,22507217596.6
2018-12-31,0.6425,42000000,2955488671,0,0.8885,882660991,0.5297,0.3599,0,4599872274,1644383602,13396371696.6
2018-09-30,0.5926,49000000,2351249555,0,1.2954,1190629270,0.7328,0.2199,0,3967985163,1616735608,16350046027.8
2018-06-30,0.5748,63000000,1964618131,0,1.5328,1089266769,0.944,0.1898,0,3417994908,1453376777,17184185538
2018-03-31,0.598,70000000,1914684609,0,1.4886,998892234,1.0014,0.1898,0,3201833070,1287148462,18692929679.4
2017-12-31,0.5785,70000000,1634267326,0,1.5317,818117206,1.1207,0.198,0,2824908204,1190640878,19039348273.8
2017-09-30,0.4483,0,915489618,0,1.8472,754349269,1.2711,0.2421,0,2042004597,1126514980,10146240000
2017-06-30,0.4281,0,808439829,0,1.9097,599199759,1.2916,0.246,0,1888438664,1079998835,8382400000
2017-03-31,0.4828,0,774143740,0,1.627,499186623,1.0896,0.3363,0,1603601416,829457676,
2016-12-31,0.5085,0,836771485,0,1.5465,664093512,1.1038,0.3369,0,1645671860,808900375,
2016-09-30,,0,,0,,0,,,0,,,
