date,基本每股收益,累积同比,归属于母公司普通股股东的净利润,营业收入
2026-03-31,0.41,-0.4306,502949306,6414033079
2025-12-31,3.37,0.2166,4045416530,28854805517
2025-09-30,2.67,0.3485,3210212165,21782627743
2025-06-30,1.69,0.4825,2027879813,13955815140
2025-03-31,0.72,0.5652,865970221,6472102098
2024-12-31,2.77,4.8936,3323242750,25730639138
2024-09-30,1.98,5.3871,2375297360,18908383806
2024-06-30,1.14,7.7692,1367013500,12091406708
2024-03-31,0.46,1.7059,557792077,5643808881
2023-12-31,0.47,-0.4405,555623917,21020641623
2023-09-30,0.31,-0.8306,368410639,15081409103
2023-06-30,0.13,-0.9326,153116891,8858460865
2023-03-31,0.17,-0.7763,198855973,4335380842
2022-12-31,0.84,-0.7807,990063721,20078179456
2022-09-30,1.83,-0.392,2149060403,15382709795
2022-06-30,1.93,0.0052,2269063214,11071714469
2022-03-31,1.03,-0.1417,896204454,5538237003
2021-12-31,5.16,0.6075,4476187474,24103509571
2021-09-30,4.06,1.2065,3518484331,18314469971
2021-06-30,2.59,1.1583,2243549336,12448143937
2021-03-31,1.2,1.2642,1040832170,6211809018
2020-12-31,3.21,3.2237,2706109338,19823965432
2020-09-30,1.84,9.8235,1726573375,13968868791
2020-06-30,1.2,7,990095934,8042878724
2020-03-31,0.53,4.3,445109124,3816543986
2019-12-31,0.76,1.6207,465632239,13631670630
2019-09-30,0.17,-0.4138,135126461,9405973403
2019-06-30,0.06,-0.8235,25284421,1549504680
2019-03-31,0.11,0.2222,51068927,723171168
2018-12-31,0.32,-0.0588,138804364,3963509425
2018-09-30,0.54,1.25,245927202,3113432497
2018-06-30,0.34,1.4286,155787223,1895428331
2018-03-31,0.09,-0.1,42880034,820275831
2017-12-31,0.34,-0.1053,137156318,2405916267
2017-09-30,0.24,-0.1429,100357753,1618232926
2017-06-30,0.14,-0.1765,58810124,914527448
2017-03-31,,,35966748,398244288
2016-12-31,0.38,0.2258,141690919,2160769530
2016-09-30,0.28,,106483615,1613373371
