date,净资产收益率(ROE),资本回报率(ROIC),净利润率,总资产收益率(ROA),毛利率(GM)
2026-03-31,0.1258,0.1002,0.1272,0.0816,0.3027
2025-12-31,0.154,0.1195,0.1397,0.0977,0.3063
2025-09-30,0.1634,0.1242,0.1439,0.0997,0.3008
2025-06-30,0.1646,0.1253,0.1429,0.0991,0.301
2025-03-31,0.1551,0.1177,0.1352,0.0928,0.3016
2024-12-31,0.1437,0.1086,0.1276,0.0856,0.2944
2024-09-30,0.1249,0.0909,0.1026,0.0687,0.2803
2024-06-30,0.0862,0.0664,0.0724,0.0471,0.2574
2024-03-31,0.0458,0.0421,0.0404,0.0245,0.2274
2023-12-31,0.0275,0.0304,0.0259,0.0149,0.2176
2023-09-30,-0.0429,-0.0007,-0.041,-0.0222,0.2206
2023-06-30,-0.0598,-0.0158,-0.0645,-0.0307,0.237
2023-03-31,0.0149,0.0171,0.014,0.0077,0.2803
2022-12-31,0.0557,0.0467,0.0477,0.0285,0.3075
2022-09-30,0.1793,0.1256,0.1462,0.0924,0.337
2022-06-30,0.27,0.1828,0.1974,0.1372,0.3516
2022-03-31,0.288,0.1964,0.1859,0.1464,0.3523
2021-12-31,0.3267,0.2252,0.1886,0.1661,0.3449
2021-09-30,0.3614,0.2388,0.1885,0.1776,0.3259
2021-06-30,0.3409,0.225,0.166,0.1628,0.3074
2021-03-31,0.2998,0.1983,0.1492,0.1421,0.3022
2020-12-31,0.2755,0.1918,0.1353,0.1337,0.2991
2020-09-30,0.2256,0.156,0.1118,0.1064,0.3016
2020-06-30,0.2885,0.1997,0.0829,0.1223,0.3013
2020-03-31,0.2052,0.1533,0.0662,0.0884,0.2872
2019-12-31,0.1469,0.1181,0.0517,0.0639,0.2739
2019-09-30,0.0569,,0.0257,0.0253,0.2537
2019-06-30,-0.0096,,-0.0041,-0.0033,0.1839
2019-03-31,0.0808,,0.0315,0.0277,0.2222
2018-12-31,0.0816,0.0664,0.0292,0.0312,0.2341
2018-09-30,0.1923,,0.0676,0.0878,0.2595
2018-06-30,0.17,,0.0636,0.0812,0.2516
2018-03-31,0.122,,0.0457,0.0537,0.2285
2017-12-31,0.1234,,0.0513,0.0552,0.2054
2017-09-30,,,0.056,,0.1931
2017-06-30,,,0.0584,,0.1963
2017-03-31,,,0.0653,,0.198
2016-12-31,0.1799,,0.0608,0.0844,0.2012
2016-09-30,,,,,
2016-06-30,,,,,
