date,metric,value
2026-03-31,流动比率,1.3233
2026-03-31,长期负债合计,2458705338
2026-03-31,有息负债率,0.1989
2026-03-31,应收账款,16407251068
2026-03-31,所有者权益合计,19902399934
2026-03-31,毛利率(GM),0.4208
2026-03-31,资产合计,45657478489
2026-03-31,归属于母公司普通股股东的净利润,-169724622
2026-03-31,流动资产合计,782555119
2026-03-31,自由现金流量,-478167670
2026-03-31,资本回报率(ROIC),0.0424
2026-03-31,速动比率,1.0763
2026-03-31,资产负债率,0.5641
2026-03-31,经营活动产生的现金流量净额,-1068812075
2026-03-31,流动负债合计,1782261983
2026-03-31,总资产收益率(ROA),0.0202
2026-03-31,营业收入,5274188660
2026-03-31,货币资金,106823314168.01
2026-03-31,净资产收益率(ROE),0.0454
2026-03-31,经营活动产生的现金流量净额对净利润的比率,3.2469
2026-03-31,净利润率,0.0317
2026-03-31,基本每股收益,-0.07
2026-03-31,负债合计,25755078554
