date,归属于母公司普通股股东的净利润,累积同比,营业收入,基本每股收益
2026-03-31,6082159344,0.0301,42966121178,1.09
2025-12-31,29003103412,-0.0989,170447058534,5.2
2025-09-30,21461336807,-0.0227,137180093144,3.86
2025-06-30,14412407114,0.0195,97324925988,2.6
2025-03-31,5904459443,0.2629,41506860075,1.07
2024-12-31,32184570372,0.1091,189163654065,5.83
2024-09-30,21960897001,0.093,146722377976,3.98
2024-06-30,14136119368,0.1154,99783116497,2.56
2024-03-31,4675160247,0.1377,36364269767,0.85
2023-12-31,29017387604,0.1841,203979266387,5.22
2023-09-30,20092107079,0.0977,155007311817,3.58
2023-06-30,12673238817,0.1052,99236741190,2.26
2023-03-31,4109253018,0.0265,35455753354,0.73
2022-12-31,24506623782,0.0626,188988382707,4.43
2022-09-30,18304124153,0.17,147488959199,3.25
2022-06-30,11466479633,0.2125,95222326022,1.94
2022-03-31,4003315961,0.1628,35259628917,0.68
2021-12-31,23063732373,0.0401,187868874893,4.04
2021-09-30,15644776517,0.1421,138134680783,2.71
2021-06-30,9456819353,0.4864,91052071946,1.62
2021-03-31,3442899755,1.2098,33189408214,0.58
2020-12-31,22175108137,-0.1021,168199204405,3.71
2020-09-30,13698722043,-0.3806,125889395999,2.28
2020-06-30,6362137378,-0.5373,69502322370,1.06
2020-03-31,1558013539,-0.7253,20395535183,0.26
2019-12-31,24696641369,-0.0575,198153027540,4.11
2019-09-30,22117496367,0.0473,155038756972,3.68
2019-06-30,13750194089,0.0737,97296964335,2.29
2019-03-31,5671869041,0.0162,40547673073,0.94
2018-12-31,26202787681,0.1697,198123177057,4.36
2018-09-30,21118435752,0.3659,148698641394,3.51
2018-06-30,12806200463,0.3548,90976100289,2.13
2018-03-31,5581624397,0.3904,39561581993,0.93
2017-12-31,22401576205,0.4487,148286450009,3.72
2017-09-30,15460708932,0.3768,110874678717,2.57
2017-06-30,9452483300,0.4764,69184521573,1.57
2017-03-31,4014536500,0.2705,29681504457,0.67
2016-12-31,15420964991,0.2305,108302565294,2.56
2016-09-30,11229059261,0.1282,82428711390,1.87
