date,应收账款,流动比率,负债合计,流动负债合计,有息负债率,货币资金,资产合计,资产负债率,流动资产合计,长期负债合计,所有者权益合计,速动比率
2026-03-31,27753016435,1.169,165781276308,5207550271,0.1575,200493721917,300575029393,0.5515,1082267848,11435947704,134793753085,0.8032
2025-12-31,27065839108,1.0737,169818067276,8534516749,0.1538,244662357568.5,295795068592,0.5741,1007695592,11165886169,125977001315,0.7175
2025-09-30,29867271948,1.0944,164659659438,4154968982,0.1578,237669194750.22,291516018780,0.5648,1341643012,11367963526,126856359342,0.7582
2025-06-30,31125796666,1.0621,179120809852,5710603667,0.1549,232508592416.52,301700068337,0.5937,1496159398,10595616603,122579258485,0.7534
2025-03-31,28235897045,1.0733,168486573776,5861542437,0.1654,256528850551.56,293704902753,0.5737,1247853188,9513656938,125218328977,0.7408
2024-12-31,26473001745,1.0142,171724857407,10852073573,0.1535,267131542618.98,290113822825,0.5919,987669298,9665074314,118388965418,0.7038
2024-09-30,21278009921,1.1038,143973850432,3525488794,0.1475,301697636188.1,256134008743,0.5621,362538186,18103723176,112160158311,0.7553
2024-06-30,23517845845,1.0709,153666466345,3256026995,0.1438,267853700663.34,262251245012,0.586,300808606,18123651118,108584778666,0.7544
2024-03-31,21669309573,1.1447,147846712311,3935938914,0.1396,235480966580.35,257857863290,0.5734,217606437,18380860175,110011150979,0.7856
2023-12-31,20268099436,1.1054,147468116628,7731916492,0.1399,198200412753,253379859978,0.582,260939409,17936302926,105911743350,0.7634
2023-09-30,20988684345,1.106,144242249694,5631230490,0.1427,222739511474.8,245891519569,0.5866,383331582,15749290257,101649269875,0.7577
2023-06-30,21742220596,1.1302,148307601725,6251026205,0.1419,221606937687.64,246302105778,0.6021,392384817,18366761352,97994504052,0.7923
2023-03-31,20036439030,1.1637,139935047745,6199571988,0.1434,214248853821.24,238079563208,0.5878,338460677,17090550577,98144515463,0.7953
2022-12-31,15913691537,1.099,141128712118,9329554748,0.1376,231063799138.78,235842254827,0.5984,309930359,13590866873,94713542709,0.7368
2022-09-30,18127157926,1.0446,136597284876,6137137399,0.1374,234051216047.27,229607654027,0.5949,448578619,5535539883,93010369151,0.7111
2022-06-30,17920101869,1.0038,139076270966,5397435939,0.1354,259408907496.2,226652759535,0.6136,280621191,2119243999,87576488569,0.6737
2022-03-31,16073565476,1.0246,129998332706,6381711442,0.1243,218214678158.4,215409453493,0.6035,320661363,2969097714,85411120787,0.6799
2021-12-31,14631018397,0.9905,136376532787,10016870340,0.1208,280927278401.7,217459494213,0.6271,304434295,3038573825,81082961426,0.6617
2021-09-30,18116053953,1.0343,133812072843,9324774033,0.135,245702937297.6,212940580271,0.6284,239570183,9520261665,79128507428,0.7116
2021-06-30,20201607271,1.0242,131047644205,7466559173,0.137,243377047162.71,206247420631,0.6354,242265938,9590298915,75199776425,0.7189
2021-03-31,20258153249,1.0749,129204339779,6405773588,0.1578,291477755088.92,205542336998,0.6286,242467022,11656231610,76337997219,0.7666
2020-12-31,15930024287,1.0444,135348488708,7048637659,0.1774,263703394541.61,203459495880,0.6652,263412928,11821416260,68111007172,0.7658
2020-09-30,16667866196,1.0801,131830065015,5074397307,0.2019,143566143801.14,200206564161,0.6585,327756562,14729758287,68376499146,0.803
2020-06-30,17000438423,1.0679,131535037560,4756461008,0.2499,116458329351,198042777870,0.6642,470929672,14716070114,66507740310,0.8004
2020-03-31,14252544699,1.0683,122205438529,4173099312,0.2468,94745759472,188485492970,0.6484,402206741,13830083495,66280054441,0.741
2019-12-31,11015871060,1.0516,122464376015,5583008412,0.2043,128301549285,187454236283,0.6533,422738398,13276452936,64989860268,0.7387
2019-09-30,13204139380,1.0496,123340464510,5609586733,0.2325,97437786228,184273943675,0.6693,477276371,12259244217,60933479165,0.7642
2019-06-30,14414459807,1.075,123078367990,3899786073,0.2325,110109924743,181141384287,0.6795,489724605,12260679425,58063016297,0.8011
2019-03-31,0,1.1053,120284336650,3450932910,0.2238,108963609737,177444803072,0.6779,483179996,13578285443,57160466423,0.8295
2018-12-31,10431193488,1.1771,111569265306,5482325889,0.206,88202571295,166699544244,0.6693,456781407,15541466325,55130278938,0.8845
2018-09-30,17469720700,1.131,116161586558,0,0.2373,100729093099.6,167626386705,0.693,0,16905702296,51464800147,0.88
2018-06-30,16906190692,1.1365,106858183307,0,0.2192,117435976579.8,157465352921,0.6786,0,12958392344,50607169614,0.8528
2018-03-31,15833303930,1.1381,105676276007,0,0.214,107436236102.6,154529514068,0.6839,0,13613417306,48853238061,0.8464
2017-12-31,12448004833,1.1487,104713104570,0,0.2375,114875067433.2,151463110708,0.6913,0,16036492810,46750006137,0.8614
2017-09-30,14080769418,1.0767,100445329811,0,0.2311,92009807195.7,144448659021,0.6954,0,19300470190,44003329210,0.8496
2017-06-30,14761940537,1.0643,97237560547,0,0.2393,91769342486.5,139773857467,0.6957,0,19690132021,42536296920,0.8199
2017-03-31,12585798309,1.0623,94028342791,0,0.2556,74269142291.4,134978297024,0.6966,0,20883596136,40949954233,0.8103
2016-12-31,12247244098,0.9464,93674923914,0,0.2793,60244591612.4,131255290325,0.7137,0,15530801312,37580366411,0.7311
2016-09-30,11792677778,1.0186,84911904574,0,0.2891,61829975602.2,120622337172,0.7039,0,21012511394,35710432598,0.7931
