date,市值(元),股息率,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值
2026-06-02,130266863725.5,0.0653,5.3379,0.0767,14.3730,8.4496,5.9985,2.5246,0.0000,10.6496,6.2277,4.3133,13.0969,0.0656,37.9927,29.0176,16.9317
2026-06-01,133063553455.2,0.0639,5.4525,0.0916,14.3730,8.4496,5.9985,2.5788,0.0017,10.6496,6.2277,4.3133,13.3781,0.0788,37.9927,29.0176,16.9958
2026-05-29,134005596311.52,0.0634,5.4911,0.0973,14.3730,8.4468,5.9966,2.5971,0.0025,10.6496,6.2259,4.3124,13.4728,0.0853,37.9927,29.0084,17.0108
2026-05-28,131032273546.26,0.0649,5.3693,0.0825,14.3730,8.4482,5.9972,2.5395,0.0000,10.6496,6.2268,4.3124,13.1739,0.0680,37.9927,29.0130,17.0157
2026-05-27,135389221756.74,0.0628,5.5478,0.1031,14.3730,8.4496,5.9985,2.6239,0.0029,10.6496,6.2277,4.3133,13.6119,0.0961,37.9927,29.0176,17.1263
2026-05-26,133622891401.14,0.0636,5.4754,0.0949,14.3730,8.4496,5.9985,2.5897,0.0012,10.6496,6.2277,4.3133,13.4343,0.0829,37.9927,29.0176,17.1484
2026-05-25,135197869301.55,0.0629,5.5400,0.1031,14.3730,8.4496,5.9985,2.6202,0.0021,10.6496,6.2277,4.3133,13.5927,0.0936,37.9927,29.0176,17.1528
2026-05-22,132504215509.26,0.0642,5.4296,0.0915,14.3730,8.4468,5.9966,2.5680,0.0004,10.6496,6.2259,4.3124,13.3218,0.0742,37.9927,29.0084,17.1661
2026-05-21,134564934257.46,0.0632,5.5140,0.1006,14.3730,8.4482,5.9972,2.6079,0.0012,10.6496,6.2268,4.3124,13.5290,0.0874,37.9927,29.0130,17.1838
2026-05-20,135713048988.6,0.0626,5.5611,0.1048,14.3730,8.4496,5.9985,2.6302,0.0012,10.6496,6.2277,4.3133,13.6445,0.0986,37.9927,29.0176,17.2148
